0--13,0--20,0--22,1--2,1--6,1--12,2--5,2--13,3--8,3--10,3--21,4--15,4--17,4--20,5--14,5--22,6--12,6--23,7--9,7--13,7--14,8--11,8--16,9--22,9--23,10--15,10--18,11--12,11--21,14--19,15--16,16--19,17--18,17--23,18--19,20--21
0--4,0--16,0--19,1--11,1--19,1--23,2--11,2--13,2--17,3--10,3--14,3--18,4--7,4--18,5--7,5--12,5--17,6--8,6--14,6--20,7--22,8--9,8--15,9--12,9--13,10--11,10--21,12--13,14--22,15--16,15--21,16--19,17--20,18--23,20--21,22--23
0--18,0--20,0--23,1--10,1--15,1--23,2--7,2--11,2--17,3--13,3--16,3--19,4--7,4--9,4--10,5--13,5--16,5--17,6--9,6--10,6--13,7--22,8--11,8--14,8--21,9--14,11--18,12--15,12--19,12--21,14--20,15--18,16--20,17--22,19--22,21--23
0--11,0--14,0--15,1--6,1--17,1--23,2--8,2--11,2--23,3--8,3--14,3--16,4--13,4--16,4--23,5--10,5--14,5--16,6--9,6--21,7--12,7--20,7--22,8--12,9--18,9--19,10--19,10--21,11--12,13--19,13--22,15--18,15--20,17--20,17--21,18--22
0--16,0--18,0--22,1--15,1--19,1--23,2--5,2--9,2--12,3--6,3--20,3--22,4--14,4--17,4--21,5--19,5--20,6--9,6--10,7--16,7--18,7--23,8--10,8--14,8--17,9--21,10--13,11--16,11--19,11--23,12--13,12--14,13--15,15--20,17--22,18--21
0--10,0--11,0--22,1--12,1--13,1--21,2--18,2--19,2--22,3--6,3--9,3--17,4--12,4--15,4--17,5--7,5--9,5--23,6--16,6--18,7--10,7--11,8--13,8--21,8--23,9--11,10--20,12--14,13--17,14--18,14--19,15--16,15--20,16--19,20--21,22--23
0--1,0--7,0--12,1--14,1--23,2--11,2--20,2--23,3--4,3--11,3--12,4--15,4--19,5--9,5--16,5--17,6--9,6--10,6--18,7--15,7--21,8--13,8--14,8--19,9--18,10--16,10--22,11--21,12--14,13--20,13--21,15--17,16--22,17--22,18--23,19--20
0--1,0--8,0--17,1--9,1--19,2--4,2--18,2--23,3--4,3--10,3--19,4--22,5--6,5--18,5--21,6--15,6--16,7--8,7--10,7--11,8--13,9--12,9--15,10--15,11--19,11--21,12--13,12--14,13--20,14--17,14--23,16--18,16--20,17--22,20--21,22--23
0--1,0--7,0--19,1--14,1--16,2--8,2--11,2--21,3--8,3--9,3--16,4--7,4--9,4--14,5--6,5--10,5--13,6--12,6--17,7--22,8--14,9--23,10--11,10--12,11--13,12--17,13--19,15--18,15--20,15--22,16--21,17--21,18--19,18--23,20--22,20--23
0--5,0--6,0--20,1--5,1--19,1--22,2--6,2--13,2--19,3--9,3--11,3--18,4--7,4--12,4--16,5--20,6--8,7--8,7--22,8--18,9--13,9--21,10--11,10--13,10--14,11--23,12--14,12--17,14--17,15--16,15--18,15--19,16--17,20--21,21--23,22--23
