0--2,0--9,0--25,1--11,1--18,1--24,2--22,2--23,3--5,3--7,3--8,4--20,4--21,4--24,5--6,5--9,6--14,6--19,7--20,7--24,8--10,8--19,9--10,10--23,11--22,11--25,12--14,12--15,12--25,13--16,13--18,13--20,14--21,15--17,15--21,16--22,16--23,17--18,17--19
0--3,0--12,0--19,1--3,1--9,1--11,2--15,2--18,2--20,3--6,4--11,4--16,4--24,5--9,5--21,5--23,6--9,6--22,7--13,7--18,7--23,8--10,8--19,8--22,10--13,10--15,11--12,12--14,13--19,14--15,14--17,16--18,16--24,17--21,17--25,20--22,20--25,21--25,23--24
0--3,0--15,0--22,1--3,1--9,1--24,2--8,2--20,2--22,3--11,4--6,4--14,4--19,5--15,5--16,5--25,6--23,6--25,7--14,7--20,7--21,8--12,8--14,9--10,9--12,10--13,10--20,11--13,11--15,12--17,13--23,16--18,16--24,17--18,17--23,18--19,19--21,21--25,22--24
0--1,0--5,0--19,1--15,1--22,2--9,2--11,2--23,3--4,3--6,3--10,4--21,4--25,5--7,5--18,6--13,6--17,7--20,7--21,8--12,8--16,8--24,9--20,9--25,10--14,10--23,11--12,11--21,12--13,13--19,14--18,14--25,15--16,15--19,16--17,17--22,18--24,20--23,22--24
0--18,0--23,0--25,1--7,1--9,1--18,2--4,2--14,2--19,3--6,3--9,3--23,4--10,4--22,5--7,5--11,5--16,6--10,6--16,7--11,8--12,8--14,8--18,9--24,10--17,11--23,12--13,12--22,13--17,13--22,14--25,15--20,15--21,15--24,16--25,17--24,19--20,19--21,20--21
0--5,0--9,0--22,1--3,1--7,1--19,2--3,2--6,2--25,3--22,4--12,4--19,4--23,5--12,5--24,6--11,6--16,7--9,7--10,8--13,8--19,8--20,9--20,10--14,10--24,11--18,11--23,12--15,13--17,13--21,14--15,14--25,15--16,16--24,17--18,17--22,18--20,21--23,21--25
0--2,0--3,0--4,1--2,1--7,1--14,2--14,3--8,3--18,4--17,4--25,5--20,5--22,5--25,6--8,6--10,6--18,7--9,7--22,8--15,9--16,9--19,10--13,10--19,11--12,11--13,11--16,12--17,12--23,13--16,14--17,15--20,15--21,18--22,19--24,20--24,21--23,21--24,23--25
0--2,0--12,0--23,1--7,1--10,1--18,2--5,2--14,3--13,3--16,3--25,4--12,4--14,4--21,5--11,5--24,6--13,6--21,6--25,7--8,7--22,8--15,8--24,9--12,9--15,9--20,10--17,10--19,11--16,11--19,13--17,14--18,15--18,16--22,17--22,19--20,20--24,21--23,23--25
0--16,0--17,0--25,1--5,1--10,1--23,2--13,2--19,2--20,3--11,3--16,3--18,4--10,4--18,4--25,5--14,5--24,6--12,6--19,6--21,7--13,7--18,7--24,8--14,8--16,8--22,9--10,9--17,9--22,11--15,11--22,12--15,12--20,13--19,14--21,15--20,17--23,21--23,24--25
0--14,0--24,0--25,1--15,1--16,1--22,2--6,2--13,2--22,3--8,3--14,3--25,4--8,4--11,4--17,5--13,5--20,5--24,6--11,6--20,7--9,7--10,7--19,8--13,9--10,9--19,10--15,11--12,12--23,12--24,14--16,15--21,16--23,17--18,17--20,18--21,18--25,19--21,22--23
0--6,0--13,0--15,1--5,1--7,1--10,2--9,2--11,2--20,3--5,3--8,3--9,4--7,4--13,4--25,5--13,6--11,6--18,7--21,8--18,8--23,9--16,10--14,10--22,11--12,12--19,12--23,14--16,14--24,15--16,15--21,17--18,17--22,17--25,19--21,19--25,20--22,20--24,23--24
0--4,0--9,0--18,1--10,1--15,1--17,2--3,2--8,2--15,3--15,3--19,4--17,4--22,5--13,5--21,5--23,6--14,6--18,6--20,7--19,7--21,7--24,8--11,8--12,9--14,9--23,10--11,10--25,11--19,12--13,12--14,13--16,16--21,16--23,17--18,20--22,20--25,22--24,24--25
0--11,0--12,0--13,1--13,1--20,1--21,2--10,2--17,2--20,3--8,3--19,3--24,4--7,4--21,4--23,5--8,5--16,5--24,6--17,6--24,6--25,7--9,7--22,8--23,9--15,9--25,10--15,10--19,11--13,11--20,12--18,12--22,14--18,14--21,14--25,15--19,16--17,16--18,22--23
0--4,0--7,0--17,1--8,1--16,1--25,2--5,2--11,2--21,3--8,3--12,3--15,4--19,4--23,5--6,5--22,6--9,6--15,7--11,7--13,8--10,9--17,9--22,10--13,10--16,11--12,12--24,13--20,14--19,14--24,14--25,15--16,17--23,18--21,18--24,18--25,19--21,20--22,20--23
0--1,0--11,0--18,1--4,1--25,2--3,2--14,2--22,3--9,3--11,4--13,4--25,5--8,5--10,5--15,6--14,6--19,6--21,7--10,7--11,7--20,8--15,8--16,9--10,9--25,12--17,12--18,12--21,13--20,13--24,14--24,15--18,16--21,16--22,17--22,17--23,19--23,19--24,20--23
0--1,0--6,0--17,1--7,1--14,2--3,2--12,2--15,3--11,3--18,4--5,4--14,4--22,5--12,5--20,6--10,6--15,7--8,7--10,8--9,8--18,9--24,9--25,10--16,11--19,11--23,12--16,13--20,13--21,13--24,14--17,15--22,16--17,18--19,19--25,20--21,21--24,22--23,23--25
0--8,0--15,0--19,1--9,1--19,1--24,2--5,2--17,2--20,3--7,3--11,3--22,4--9,4--10,4--12,5--13,5--14,6--11,6--16,6--25,7--8,7--25,8--23,9--15,10--18,10--23,11--18,12--21,12--22,13--18,13--20,14--17,14--19,15--16,16--21,17--22,20--23,21--24,24--25
0--3,0--5,0--13,1--15,1--20,1--24,2--16,2--18,2--23,3--19,3--25,4--5,4--11,4--12,5--14,6--11,6--14,6--22,7--12,7--18,7--20,8--9,8--15,8--22,9--10,9--16,10--13,10--17,11--14,12--16,13--25,15--17,17--23,18--20,19--23,19--24,21--22,21--24,21--25
0--3,0--13,0--18,1--21,1--23,1--24,2--3,2--5,2--24,3--6,4--12,4--13,4--14,5--8,5--23,6--10,6--21,7--8,7--9,7--11,8--12,9--14,9--25,10--17,10--25,11--15,11--19,12--22,13--22,14--16,15--17,15--20,16--18,16--21,17--20,18--22,19--23,19--25,20--24
0--10,0--14,0--17,1--5,1--20,1--23,2--8,2--15,2--17,3--6,3--12,3--16,4--7,4--18,4--24,5--10,5--23,6--11,6--22,7--12,7--18,8--12,8--22,9--19,9--22,9--24,10--23,11--15,11--25,13--15,13--18,13--21,14--16,14--19,16--25,17--25,19--21,20--21,20--24
0--5,0--15,0--19,1--6,1--9,1--12,2--6,2--12,2--24,3--4,3--22,3--24,4--19,4--20,5--7,5--20,6--17,7--21,7--25,8--14,8--17,8--23,9--13,9--18,10--15,10--19,10--21,11--23,11--24,11--25,12--25,13--17,13--22,14--15,14--16,16--21,16--22,18--20,18--23
0--4,0--18,0--20,1--3,1--20,1--24,2--4,2--9,2--17,3--10,3--21,4--17,5--17,5--22,5--25,6--10,6--23,6--24,7--9,7--12,7--16,8--11,8--12,8--21,9--16,10--22,11--22,11--23,12--13,13--14,13--19,14--19,14--25,15--18,15--24,15--25,16--18,19--21,20--23
0--5,0--13,0--25,1--9,1--12,1--19,2--10,2--14,2--23,3--4,3--14,3--16,4--11,4--21,5--16,5--21,6--9,6--16,6--24,7--11,7--20,7--24,8--14,8--20,8--23,9--17,10--19,10--25,11--15,12--15,12--23,13--17,13--18,15--18,17--25,18--21,19--22,20--22,22--24
0--9,0--22,0--25,1--2,1--6,1--13,2--3,2--5,3--21,3--24,4--8,4--13,4--22,5--11,5--14,6--10,6--19,7--14,7--18,7--19,8--21,8--25,9--16,9--17,10--16,10--17,11--12,11--14,12--22,12--23,13--15,15--18,15--20,16--23,17--23,18--25,19--20,20--24,21--24
0--18,0--20,0--22,1--9,1--13,1--15,2--19,2--23,2--25,3--14,3--18,3--21,4--11,4--13,4--17,5--8,5--17,5--21,6--10,6--12,6--20,7--11,7--17,7--24,8--16,8--23,9--18,9--23,10--19,10--22,11--25,12--14,12--19,13--15,14--16,15--22,16--21,20--24,24--25
0--3,0--6,0--14,1--8,1--20,1--24,2--11,2--22,2--24,3--18,3--25,4--7,4--20,4--23,5--10,5--23,5--25,6--11,6--13,7--11,7--15,8--10,8--17,9--16,9--17,9--23,10--21,12--13,12--18,12--24,13--19,14--15,14--19,15--16,16--21,17--20,18--22,19--22,21--25
