0--18,0--21,0--24,1--5,1--10,1--16,2--12,2--13,2--23,3--5,3--7,3--8,4--6,4--8,4--27,5--19,6--16,6--17,7--9,7--13,8--11,9--13,9--18,10--17,10--28,11--24,11--29,12--17,12--22,14--20,14--26,14--28,15--20,15--23,15--29,16--26,18--25,19--23,19--25,20--22,21--24,21--28,22--25,26--27,27--29
0--1,0--17,0--25,1--3,1--22,2--4,2--15,2--28,3--5,3--25,4--8,4--12,5--9,5--18,6--8,6--19,6--28,7--13,7--15,7--29,8--15,9--13,9--16,10--11,10--16,10--22,11--14,11--16,12--26,12--27,13--23,14--21,14--24,17--18,17--28,18--26,19--21,19--26,20--21,20--27,20--29,22--25,23--24,23--27,24--29
0--1,0--5,0--22,1--16,1--21,2--9,2--12,2--23,3--12,3--20,3--22,4--6,4--7,4--28,5--11,5--19,6--24,6--27,7--15,7--29,8--10,8--16,8--26,9--16,9--28,10--11,10--13,11--25,12--18,13--15,13--20,14--20,14--21,14--27,15--21,17--19,17--23,17--24,18--23,18--24,19--25,22--26,25--26,27--29,28--29
0--16,0--17,0--21,1--13,1--23,1--24,2--14,2--20,2--28,3--9,3--16,3--23,4--16,4--17,4--22,5--8,5--25,5--29,6--11,6--13,6--14,7--12,7--19,7--25,8--15,8--29,9--15,9--21,10--22,10--26,10--27,11--12,11--24,12--25,13--29,14--19,15--28,17--23,18--19,18--20,18--22,20--27,21--26,24--27,26--28
0--2,0--27,0--28,1--3,1--4,1--5,2--10,2--23,3--18,3--21,4--7,4--15,5--15,5--17,6--7,6--17,6--23,7--26,8--10,8--14,8--20,9--13,9--16,9--29,10--29,11--22,11--23,11--26,12--19,12--20,12--27,13--19,13--25,14--21,14--24,15--19,16--20,16--25,17--22,18--28,18--29,21--26,22--24,24--28,25--27
0--9,0--14,0--19,1--2,1--21,1--22,2--13,2--20,3--5,3--17,3--25,4--9,4--28,4--29,5--15,5--24,6--12,6--15,6--18,7--8,7--21,7--25,8--18,8--21,9--29,10--13,10--23,10--24,11--13,11--24,11--26,12--19,12--27,14--20,14--23,15--17,16--22,16--27,16--28,17--23,18--26,19--26,20--29,22--28,25--27
0--9,0--10,0--23,1--16,1--25,1--28,2--11,2--12,2--27,3--17,3--23,3--26,4--14,4--16,4--18,5--7,5--8,5--20,6--17,6--24,6--29,7--13,7--28,8--16,8--26,9--19,9--24,10--13,10--21,11--20,11--29,12--15,12--19,13--25,14--18,14--20,15--22,15--28,17--26,18--22,19--22,21--25,21--27,23--27,24--29
0--4,0--7,0--26,1--2,1--18,1--28,2--25,2--27,3--9,3--10,3--25,4--24,4--27,5--8,5--23,5--24,6--15,6--19,6--21,7--16,7--28,8--11,8--17,9--15,9--26,10--16,10--22,11--19,11--21,12--16,12--27,12--28,13--20,13--25,13--29,14--15,14--19,14--23,17--22,17--26,18--22,18--24,20--21,20--29,23--29
0--13,0--24,0--28,1--5,1--8,1--18,2--3,2--4,2--14,3--13,3--16,4--18,4--23,5--10,5--19,6--8,6--16,6--22,7--20,7--23,7--24,8--22,9--12,9--18,9--26,10--11,10--26,11--25,11--27,12--16,12--29,13--27,14--17,14--21,15--17,15--20,15--25,17--28,19--22,19--25,20--29,21--27,21--29,23--24,26--28
0--4,0--20,0--27,1--5,1--8,1--17,2--7,2--13,2--25,3--5,3--6,3--12,4--8,4--21,5--18,6--7,6--26,7--11,8--24,9--16,9--25,9--26,10--18,10--19,10--21,11--24,11--28,12--23,12--28,13--14,13--15,14--16,14--25,15--21,15--26,16--29,17--22,17--23,18--28,19--22,19--23,20--27,20--29,22--24,27--29
