0--3,0--9,0--30,1--7,1--20,1--24,2--4,2--13,2--25,3--14,3--18,4--18,4--22,5--17,5--22,5--25,6--15,6--19,6--28,7--9,7--15,8--10,8--14,8--26,9--30,10--24,10--27,11--13,11--24,11--29,12--18,12--27,12--29,13--16,14--28,15--23,16--17,16--29,17--21,19--23,19--31,20--21,20--26,21--31,22--23,25--30,26--27,28--31
0--1,0--12,0--24,1--3,1--4,2--13,2--15,2--31,3--5,3--28,4--9,4--14,5--25,5--29,6--10,6--22,6--28,7--25,7--28,7--30,8--10,8--17,8--27,9--19,9--23,10--18,11--15,11--20,11--24,12--15,12--24,13--20,13--26,14--18,14--30,16--17,16--30,16--31,17--23,18--19,19--27,20--22,21--23,21--26,21--29,22--29,25--31,26--27
0--2,0--8,0--16,1--16,1--22,1--25,2--15,2--23,3--4,3--21,3--27,4--7,4--11,5--18,5--29,5--30,6--10,6--23,6--24,7--17,7--24,8--14,8--30,9--10,9--14,9--25,10--20,11--25,11--28,12--21,12--28,12--29,13--26,13--28,13--29,14--15,15--26,16--20,17--19,17--24,18--21,18--31,19--20,19--30,22--26,22--27,23--31,27--31
0--10,0--12,0--20,1--2,1--12,1--13,2--7,2--16,3--5,3--11,3--25,4--9,4--16,4--27,5--10,5--23,6--10,6--26,6--31,7--20,7--30,8--15,8--17,8--23,9--18,9--19,11--26,11--28,12--24,13--27,13--30,14--26,14--27,14--30,15--22,15--24,16--17,17--24,18--19,18--31,19--25,20--31,21--23,21--28,21--29,22--28,22--29,25--29
0--1,0--5,0--27,1--25,1--26,2--6,2--23,2--24,3--4,3--10,3--19,4--14,4--21,5--12,5--28,6--8,6--27,7--9,7--15,7--27,8--11,8--14,9--20,9--29,10--17,10--31,11--18,11--20,12--15,12--31,13--20,13--24,13--25,14--30,15--22,16--19,16--28,16--30,17--18,17--22,18--23,19--29,21--28,21--29,22--26,23--24,25--30,26--31
0--14,0--22,0--23,1--8,1--11,1--21,2--5,2--13,2--21,3--6,3--9,3--25,4--22,4--25,4--28,5--15,5--30,6--25,6--28,7--13,7--15,7--31,8--19,8--23,9--10,9--27,10--12,10--24,11--17,11--26,12--18,12--24,13--24,14--17,14--20,15--20,16--18,16--27,16--29,17--31,18--29,19--22,19--27,20--23,21--26,26--28,29--30,30--31
0--19,0--23,0--25,1--6,1--23,1--28,2--5,2--8,2--27,3--5,3--6,3--29,4--7,4--14,4--15,5--31,6--19,7--29,7--30,8--13,8--20,9--20,9--21,9--22,10--11,10--13,10--18,11--22,11--28,12--14,12--18,12--20,13--26,14--26,15--24,15--29,16--17,16--21,16--27,17--19,17--30,18--31,21--24,22--26,23--31,24--25,25--27,28--30
0--6,0--12,0--26,1--2,1--3,1--29,2--5,2--16,3--12,3--15,4--13,4--20,4--28,5--14,5--16,6--13,6--17,7--8,7--20,7--29,8--14,8--27,9--10,9--18,9--28,10--11,10--30,11--18,11--21,12--26,13--15,14--21,15--28,16--24,17--22,17--30,18--24,19--20,19--25,19--30,21--23,22--25,22--31,23--27,23--31,24--26,25--27,29--31
0--9,0--22,0--23,1--3,1--6,1--22,2--12,2--20,2--31,3--12,3--28,4--7,4--17,4--29,5--18,5--30,5--31,6--20,6--26,7--15,7--22,8--9,8--11,8--19,9--25,10--16,10--19,10--29,11--14,11--18,12--21,13--25,13--27,13--30,14--18,14--30,15--17,15--29,16--27,16--31,17--21,19--21,20--23,23--25,24--26,24--27,24--28,26--28
0--10,0--13,0--29,1--7,1--16,1--18,2--20,2--22,2--31,3--28,3--29,3--31,4--10,4--12,4--23,5--9,5--24,5--30,6--11,6--13,6--22,7--17,7--22,8--15,8--16,8--17,9--25,9--27,10--26,11--15,11--21,12--19,12--24,13--17,14--18,14--21,14--30,15--28,16--27,18--26,19--21,19--23,20--24,20--31,23--27,25--29,25--30,26--28
0--14,0--22,0--23,1--8,1--14,1--28,2--9,2--14,2--17,3--5,3--6,3--15,4--6,4--16,4--25,5--8,5--24,6--15,7--10,7--20,7--27,8--18,9--15,9--29,10--13,10--26,11--22,11--23,11--28,12--13,12--30,12--31,13--30,16--19,16--24,17--27,17--30,18--25,18--28,19--20,19--26,20--24,21--26,21--29,21--31,22--25,23--29,27--31
0--9,0--26,0--30,1--2,1--16,1--22,2--14,2--31,3--4,3--10,3--17,4--10,4--13,5--16,5--23,5--24,6--9,6--25,6--27,7--15,7--21,7--26,8--9,8--11,8--31,10--12,11--17,11--21,12--18,12--25,13--24,13--28,14--23,14--25,15--19,15--21,16--29,17--22,18--20,18--31,19--20,19--30,20--29,22--27,23--30,24--27,26--28,28--29
0--2,0--25,0--28,1--16,1--26,1--27,2--3,2--25,3--9,3--16,4--6,4--14,4--17,5--16,5--24,5--29,6--22,6--31,7--8,7--28,7--29,8--13,8--31,9--11,9--15,10--14,10--21,10--29,11--12,11--25,12--13,12--23,13--31,14--18,15--18,15--26,17--22,17--28,18--30,19--20,19--24,19--27,20--21,20--24,21--30,22--27,23--26,23--30
