0--2,0--15,0--33,1--3,1--14,1--20,2--22,2--24,3--23,3--30,4--7,4--27,4--32,5--8,5--24,5--29,6--16,6--20,6--28,7--12,7--28,8--10,8--27,9--18,9--25,9--31,10--23,10--31,11--18,11--20,11--27,12--18,12--32,13--19,13--31,13--32,14--17,14--29,15--16,15--22,16--21,17--21,17--30,19--26,19--28,21--30,22--24,23--33,25--26,25--29,26--33
0--1,0--20,0--21,1--11,1--15,2--4,2--27,2--29,3--15,3--19,3--22,4--6,4--21,5--15,5--30,5--32,6--19,6--24,7--17,7--31,7--33,8--9,8--25,8--30,9--16,9--27,10--12,10--13,10--20,11--13,11--29,12--14,12--25,13--23,14--25,14--26,16--18,16--33,17--18,17--22,18--23,19--26,20--27,21--30,22--33,23--28,24--31,24--32,26--28,28--32,29--31
0--1,0--6,0--14,1--2,1--28,2--18,2--29,3--8,3--15,3--27,4--15,4--22,4--31,5--9,5--17,5--20,6--11,6--21,7--13,7--22,7--29,8--18,8--24,9--13,9--26,10--11,10--25,10--30,11--27,12--16,12--19,12--24,13--16,14--21,14--28,15--28,16--17,17--20,18--19,19--23,20--31,21--27,22--30,23--26,23--33,24--32,25--26,25--33,29--32,30--31,32--33
0--7,0--21,0--26,1--18,1--22,1--32,2--6,2--8,2--30,3--9,3--14,3--22,4--20,4--26,4--27,5--7,5--9,5--16,6--17,6--22,7--19,8--23,8--27,9--12,10--28,10--31,10--33,11--19,11--30,11--32,12--13,12--21,13--24,13--30,14--16,14--25,15--16,15--17,15--19,17--23,18--29,18--31,20--24,20--27,21--24,23--31,25--28,25--32,26--29,28--33,29--33
0--8,0--9,0--22,1--7,1--32,1--33,2--11,2--20,2--21,3--7,3--15,3--23,4--5,4--20,4--26,5--14,5--15,6--7,6--19,6--29,8--13,8--28,9--16,9--31,10--12,10--24,10--33,11--18,11--27,12--30,12--33,13--28,13--29,14--26,14--27,15--19,16--21,16--24,17--23,17--24,17--25,18--26,18--30,19--20,21--32,22--23,22--27,25--28,25--31,29--32,30--31
0--1,0--23,0--31,1--10,1--33,2--23,2--24,2--26,3--12,3--21,3--30,4--18,4--25,4--27,5--9,5--13,5--30,6--8,6--16,6--32,7--10,7--21,7--23,8--14,8--22,9--14,9--19,10--26,11--15,11--20,11--29,12--19,12--25,13--17,13--27,14--29,15--20,15--29,16--28,16--32,17--22,17--27,18--25,18--31,19--20,21--28,22--30,24--26,24--33,28--32,31--33
0--5,0--9,0--24,1--2,1--24,1--27,2--6,2--32,3--11,3--16,3--30,4--20,4--22,4--30,5--10,5--19,6--15,6--32,7--20,7--31,7--33,8--10,8--14,8--25,9--18,9--26,10--11,11--12,12--17,12--27,13--17,13--26,13--29,14--18,14--22,15--21,15--25,16--23,16--32,17--21,18--26,19--22,19--33,20--28,21--27,23--28,23--30,24--31,25--29,28--29,31--33
0--7,0--8,0--14,1--17,1--32,1--33,2--16,2--24,2--28,3--18,3--20,3--23,4--10,4--19,4--30,5--13,5--16,5--30,6--9,6--13,6--32,7--25,7--29,8--11,8--23,9--25,9--32,10--26,10--28,11--15,11--22,12--15,12--20,12--31,13--28,14--17,14--29,15--24,16--30,17--27,18--21,18--26,19--20,19--27,21--27,21--31,22--29,22--33,23--25,24--26,31--33
0--20,0--25,0--27,1--10,1--12,1--32,2--15,2--16,2--21,3--13,3--18,3--28,4--11,4--17,4--21,5--26,5--30,5--33,6--16,6--17,6--22,7--9,7--24,7--29,8--11,8--13,8--20,9--14,9--22,10--19,10--23,11--26,12--19,12--27,13--32,14--26,14--27,15--25,15--30,16--28,17--28,18--19,18--33,20--31,21--31,22--29,23--32,23--33,24--25,24--29,30--31
0--6,0--14,0--33,1--7,1--12,1--25,2--4,2--8,2--18,3--11,3--16,3--31,4--10,4--29,5--9,5--15,5--18,6--28,6--29,7--27,7--29,8--13,8--26,9--20,9--21,10--24,10--27,11--13,11--31,12--22,12--33,13--32,14--24,14--30,15--17,15--27,16--21,16--23,17--28,17--33,18--21,19--25,19--26,19--32,20--22,20--28,22--32,23--26,23--30,24--25,30--31
0--15,0--21,0--23,1--11,1--14,1--31,2--21,2--26,2--27,3--16,3--22,3--25,4--5,4--13,4--28,5--11,5--16,6--13,6--27,6--32,7--15,7--17,7--28,8--17,8--30,8--31,9--16,9--19,9--32,10--14,10--24,10--29,11--12,12--31,12--33,13--25,14--17,15--26,18--19,18--20,18--33,19--29,20--27,20--30,21--22,22--30,23--24,23--26,24--29,25--32,28--33
0--6,0--22,0--24,1--8,1--17,1--33,2--11,2--20,2--30,3--4,3--12,3--20,4--20,4--24,5--7,5--18,5--21,6--12,6--15,7--21,7--27,8--13,8--14,9--12,9--25,9--31,10--11,10--16,10--19,11--32,13--27,13--28,14--16,14--33,15--29,15--32,16--26,17--22,17--30,18--23,18--29,19--21,19--25,22--33,23--26,23--31,24--25,26--32,27--28,28--29,30--31
