0--8,0--24,0--29,1--2,1--12,1--16,2--11,2--20,3--21,3--24,3--34,4--18,4--19,4--34,5--9,5--28,5--32,6--14,6--16,6--22,7--16,7--33,7--35,8--11,8--14,9--15,9--28,10--11,10--13,10--29,12--20,12--34,13--17,13--18,14--31,15--25,15--27,17--31,17--33,18--22,19--25,19--35,20--30,21--25,21--35,22--27,23--28,23--30,23--32,24--32,26--29,26--30,26--33,27--31
0--8,0--31,0--32,1--2,1--10,1--30,2--15,2--35,3--8,3--13,3--35,4--9,4--12,4--19,5--15,5--21,5--33,6--12,6--30,6--33,7--9,7--20,7--28,8--18,9--25,10--17,10--20,11--14,11--26,11--34,12--15,13--16,13--18,14--22,14--26,16--18,16--24,17--26,17--29,19--25,19--33,20--32,21--25,21--28,22--28,22--31,23--24,23--27,23--29,24--30,27--34,27--35,29--31,32--34
0--5,0--27,0--32,1--15,1--22,1--29,2--14,2--16,2--34,3--17,3--23,3--31,4--6,4--15,4--19,5--30,5--35,6--16,6--26,7--12,7--15,7--24,8--13,8--26,8--35,9--10,9--14,9--21,10--16,10--28,11--23,11--28,11--33,12--18,12--19,13--27,13--34,14--19,17--20,17--31,18--20,18--32,20--32,21--26,21--33,22--25,22--35,23--29,24--25,24--33,25--30,27--34,28--30,29--31
0--1,0--3,0--13,1--6,1--28,2--9,2--12,2--32,3--21,3--25,4--18,4--21,4--33,5--8,5--19,5--34,6--12,6--18,7--22,7--23,7--26,8--25,8--33,9--20,9--24,10--13,10--29,10--31,11--24,11--26,11--35,12--30,13--19,14--15,14--31,14--35,15--27,15--34,16--17,16--20,16--35,17--22,17--34,18--30,19--22,20--27,21--32,23--24,23--29,25--29,26--30,27--28,28--31,32--33
0--4,0--6,0--28,1--9,1--11,1--29,2--3,2--5,2--35,3--4,3--25,4--18,5--22,5--33,6--15,6--21,7--11,7--16,7--20,8--12,8--15,8--35,9--19,9--20,10--18,10--22,10--29,11--34,12--25,12--26,13--18,13--27,13--33,14--23,14--25,14--34,15--16,16--19,17--23,17--34,17--35,19--30,20--24,21--24,21--32,22--31,23--24,26--27,26--33,27--32,28--31,28--32,29--30,30--31
0--26,0--27,0--31,1--10,1--15,1--16,2--4,2--20,2--30,3--20,3--30,3--31,4--19,4--25,5--9,5--11,5--19,6--15,6--24,6--28,7--8,7--16,7--21,8--9,8--18,9--24,10--13,10--23,11--22,11--29,12--20,12--22,12--24,13--16,13--34,14--22,14--23,14--29,15--30,17--19,17--21,17--32,18--34,18--35,21--26,23--35,25--32,25--33,26--27,27--33,28--29,28--31,32--35,33--34
0--21,0--23,0--33,1--25,1--31,1--34,2--5,2--23,2--29,3--4,3--10,3--34,4--7,4--22,5--10,5--20,6--7,6--24,6--35,7--28,8--21,8--25,8--31,9--29,9--32,9--35,10--24,11--18,11--30,11--34,12--24,12--28,12--32,13--14,13--16,13--19,14--15,14--33,15--17,15--19,16--22,16--31,17--26,17--30,18--21,18--26,19--35,20--26,20--27,22--33,23--30,25--27,27--28,29--32
0--26,0--27,0--29,1--22,1--25,1--30,2--4,2--17,2--28,3--8,3--21,3--29,4--12,4--13,5--22,5--25,5--31,6--9,6--20,6--24,7--10,7--14,7--18,8--12,8--19,9--10,9--23,10--23,11--19,11--21,11--33,12--15,13--30,13--33,14--15,14--35,15--16,16--20,16--31,17--18,17--19,18--34,20--28,21--32,22--34,23--28,24--32,24--34,25--32,26--29,26--33,27--31,27--35,30--35
0--14,0--29,0--35,1--12,1--16,1--33,2--5,2--17,2--31,3--13,3--15,3--21,4--9,4--18,4--33,5--8,5--31,6--9,6--27,6--32,7--16,7--27,7--30,8--22,8--28,9--14,10--11,10--20,10--24,11--23,11--34,12--15,12--35,13--23,13--26,14--18,15--34,16--25,17--20,17--21,18--28,19--22,19--24,19--35,20--30,21--27,22--23,24--32,25--26,25--29,26--34,28--30,29--32,31--33
0--3,0--14,0--22,1--9,1--20,1--30,2--5,2--12,2--15,3--16,3--24,4--12,4--22,4--23,5--17,5--21,6--9,6--28,6--31,7--8,7--24,7--26,8--12,8--29,9--35,10--23,10--31,10--33,11--22,11--30,11--34,13--20,13--27,13--30,14--16,14--21,15--17,15--26,16--18,17--29,18--27,18--29,19--25,19--28,19--33,20--35,21--32,23--28,24--25,25--31,26--33,27--34,32--34,32--35
