0--27,0--32,0--35,1--3,1--10,1--14,2--13,2--25,2--37,3--18,3--31,4--12,4--16,4--17,5--6,5--19,5--29,6--25,6--31,7--17,7--23,7--30,8--11,8--28,8--34,9--24,9--28,9--34,10--16,10--36,11--15,11--27,12--33,12--35,13--21,13--37,14--24,14--33,15--16,15--17,18--20,18--22,19--25,19--31,20--22,20--32,21--28,21--35,22--33,23--26,23--29,24--32,26--36,26--37,27--30,29--36,30--34
0--3,0--24,0--25,1--22,1--31,1--32,2--15,2--22,2--37,3--26,3--35,4--10,4--15,4--33,5--14,5--19,5--27,6--20,6--28,6--32,7--11,7--13,7--35,8--10,8--12,8--35,9--10,9--18,9--33,11--29,11--36,12--23,12--34,13--21,13--23,14--25,14--29,15--26,16--21,16--31,16--34,17--24,17--28,17--31,18--20,18--36,19--27,19--28,20--34,21--32,22--29,23--37,24--30,25--37,26--30,27--36,30--33
0--10,0--24,0--35,1--14,1--24,1--25,2--14,2--31,2--32,3--6,3--22,3--37,4--8,4--11,4--29,5--17,5--27,5--35,6--9,6--36,7--15,7--19,7--31,8--10,8--23,9--16,9--25,10--21,11--29,11--30,12--20,12--21,12--28,13--23,13--27,13--36,14--37,15--20,15--26,16--21,16--32,17--19,17--33,18--20,18--25,18--32,19--22,22--33,23--31,24--26,26--36,27--33,28--29,28--30,30--34,34--35,34--37
0--13,0--15,0--30,1--5,1--7,1--27,2--23,2--31,2--34,3--8,3--20,3--36,4--5,4--18,4--22,5--14,6--16,6--24,6--32,7--18,7--26,8--33,8--36,9--16,9--19,9--22,10--20,10--31,10--32,11--17,11--21,11--34,12--16,12--29,12--37,13--19,13--36,14--15,14--22,15--17,17--25,18--28,19--37,20--25,21--26,21--27,23--24,23--27,24--29,25--26,28--32,28--33,29--35,30--33,30--37,31--35,34--35
0--2,0--20,0--23,1--5,1--7,1--25,2--8,2--12,3--19,3--21,3--32,4--8,4--15,4--27,5--15,5--36,6--18,6--26,6--33,7--9,7--27,8--35,9--19,9--33,10--16,10--23,10--34,11--13,11--21,11--32,12--14,12--17,13--28,13--29,14--18,14--27,15--29,16--19,16--22,17--24,17--37,18--26,20--25,20--29,21--26,22--33,22--35,23--24,24--37,25--31,28--30,28--32,30--35,30--36,31--34,31--37,34--36
0--2,0--19,0--20,1--14,1--21,1--24,2--15,2--34,3--22,3--23,3--27,4--28,4--33,4--35,5--12,5--29,5--34,6--9,6--19,6--23,7--17,7--18,7--32,8--9,8--15,8--17,9--20,10--12,10--18,10--21,11--22,11--33,11--35,12--36,13--14,13--16,13--27,14--35,15--26,16--21,16--37,17--23,18--28,19--26,20--36,22--37,24--25,24--26,25--27,25--31,28--29,29--34,30--31,30--32,30--36,31--32,33--37
0--11,0--13,0--36,1--6,1--19,1--31,2--24,2--29,2--31,3--18,3--22,3--24,4--5,4--19,4--31,5--18,5--27,6--33,6--37,7--24,7--25,7--30,8--12,8--22,8--34,9--17,9--28,9--34,10--12,10--13,10--22,11--26,11--36,12--35,13--35,14--16,14--20,14--33,15--21,15--25,15--37,16--18,16--26,17--21,17--28,19--28,20--29,20--30,21--23,23--32,23--34,25--36,26--30,27--32,27--35,29--32,33--37
0--14,0--16,0--23,1--4,1--19,1--20,2--3,2--11,2--27,3--30,3--37,4--22,4--32,5--12,5--33,5--34,6--21,6--22,6--31,7--10,7--17,7--27,8--16,8--24,8--29,9--23,9--25,9--27,10--21,10--37,11--16,11--37,12--26,12--36,13--30,13--33,13--34,14--17,14--23,15--25,15--28,15--32,17--18,18--33,18--36,19--29,19--36,20--24,20--31,21--35,22--30,24--32,25--26,26--28,28--29,31--35,34--35
0--8,0--10,0--33,1--13,1--19,1--34,2--6,2--11,2--28,3--9,3--14,3--29,4--20,4--27,4--30,5--15,5--21,5--24,6--20,6--23,7--14,7--16,7--18,8--14,8--32,9--12,9--23,10--21,10--37,11--16,11--30,12--20,12--32,13--26,13--31,15--30,15--31,16--35,17--28,17--29,17--34,18--24,18--34,19--25,19--33,21--28,22--26,22--31,22--33,23--37,24--36,25--32,25--35,26--27,27--36,29--36,35--37
0--6,0--10,0--21,1--15,1--19,1--28,2--13,2--27,2--29,3--17,3--29,3--32,4--15,4--19,4--35,5--7,5--10,5--35,6--7,6--24,7--16,8--14,8--22,8--34,9--18,9--21,9--33,10--13,11--23,11--35,11--37,12--18,12--20,12--30,13--31,14--19,14--21,15--25,16--28,16--36,17--33,17--37,18--24,20--23,20--32,22--25,22--26,23--37,24--31,25--34,26--30,26--33,27--28,27--32,29--36,30--34,31--36
0--6,0--15,0--17,1--2,1--14,1--35,2--21,2--37,3--16,3--29,3--31,4--17,4--35,4--36,5--7,5--12,5--23,6--26,6--34,7--10,7--13,8--13,8--19,8--32,9--11,9--19,9--23,10--20,10--34,11--26,11--34,12--22,12--25,13--28,14--16,14--18,15--30,15--37,16--20,17--30,18--30,18--37,19--23,20--24,21--22,21--27,22--28,24--29,24--33,25--26,25--29,27--28,27--31,31--35,32--33,32--36,33--36
0--18,0--31,0--36,1--7,1--10,1--13,2--5,2--8,2--17,3--4,3--10,3--20,4--11,4--32,5--24,5--29,6--22,6--27,6--35,7--26,7--33,8--11,8--19,9--21,9--35,9--37,10--35,11--26,12--20,12--31,12--33,13--17,13--30,14--28,14--30,14--37,15--23,15--24,15--32,16--17,16--25,16--34,18--32,18--33,19--22,19--25,20--34,21--23,21--36,22--37,23--31,24--26,25--28,27--30,27--36,28--29,29--34
0--7,0--8,0--11,1--5,1--13,1--34,2--3,2--18,2--31,3--21,3--34,4--19,4--27,4--29,5--17,5--32,6--23,6--24,6--28,7--27,7--33,8--16,8--26,9--15,9--19,9--21,10--15,10--28,10--36,11--19,11--26,12--25,12--28,12--35,13--31,13--37,14--29,14--32,14--37,15--30,16--20,16--31,17--22,17--24,18--23,18--32,20--22,20--26,21--33,22--25,23--36,24--30,25--34,27--35,29--37,30--35,33--36
0--3,0--29,0--35,1--7,1--22,1--36,2--8,2--13,2--37,3--21,3--33,4--14,4--17,4--23,5--12,5--14,5--15,6--15,6--20,6--34,7--31,7--32,8--9,8--31,9--32,9--34,10--18,10--20,10--33,11--19,11--25,11--26,12--25,12--26,13--21,13--30,14--25,15--30,16--19,16--29,16--35,17--28,17--37,18--23,18--32,19--35,20--28,21--37,22--24,22--27,23--34,24--26,24--36,27--30,27--36,28--31,29--33
0--7,0--26,0--35,1--13,1--32,1--36,2--3,2--29,2--35,3--18,3--20,4--5,4--8,4--28,5--11,5--14,6--18,6--34,6--37,7--13,7--37,8--19,8--32,9--22,9--31,9--33,10--24,10--32,10--36,11--21,11--27,12--25,12--28,12--35,13--25,14--25,14--26,15--17,15--28,15--30,16--22,16--27,16--31,17--24,17--31,18--24,19--20,19--30,20--29,21--23,21--37,22--26,23--27,23--33,29--34,30--33,34--36
0--1,0--20,0--27,1--24,1--26,2--4,2--16,2--18,3--4,3--17,3--27,4--26,5--15,5--22,5--36,6--14,6--23,6--24,7--11,7--19,7--33,8--21,8--22,8--24,9--12,9--13,9--37,10--23,10--26,10--29,11--23,11--25,12--29,12--35,13--17,13--37,14--30,14--36,15--30,15--32,16--25,16--33,17--35,18--19,18--31,19--20,20--22,21--30,21--34,25--34,27--31,28--32,28--33,28--37,29--34,31--35,32--36
