0--10,0--11,0--23,1--6,1--20,1--34,2--19,2--34,2--39,3--22,3--32,3--37,4--6,4--8,4--19,5--20,5--26,5--36,6--29,7--15,7--31,7--38,8--13,8--25,9--15,9--21,9--35,10--12,10--27,11--20,11--28,12--24,12--27,13--18,13--27,14--22,14--31,14--38,15--17,16--21,16--28,16--36,17--29,17--33,18--24,18--30,19--26,21--26,22--32,23--30,23--37,24--33,25--30,25--39,28--32,29--37,31--35,33--35,34--39,36--38
0--14,0--15,0--28,1--4,1--24,1--36,2--9,2--25,2--27,3--10,3--18,3--39,4--8,4--37,5--7,5--30,5--32,6--14,6--25,6--35,7--16,7--18,8--25,8--29,9--11,9--35,10--12,10--32,11--26,11--30,12--13,12--22,13--20,13--24,14--28,15--31,15--32,16--29,16--31,17--22,17--33,17--37,18--34,19--33,19--34,19--37,20--33,20--34,21--23,21--26,21--27,22--23,23--39,24--29,26--38,27--31,28--30,35--36,36--38,38--39
0--7,0--17,0--18,1--2,1--8,1--39,2--3,2--34,3--9,3--39,4--16,4--34,4--36,5--28,5--30,5--33,6--14,6--23,6--38,7--9,7--14,8--12,8--33,9--38,10--25,10--33,10--34,11--12,11--28,11--29,12--37,13--15,13--19,13--21,14--25,15--21,15--24,16--26,16--32,17--31,17--36,18--35,18--37,19--27,19--32,20--21,20--22,20--36,22--24,22--37,23--24,23--29,25--27,26--27,26--30,28--30,29--31,31--32,35--38,35--39
0--7,0--12,0--34,1--18,1--21,1--29,2--9,2--12,2--14,3--7,3--8,3--10,4--14,4--15,4--17,5--10,5--27,5--28,6--10,6--16,6--35,7--23,8--18,8--38,9--29,9--32,11--22,11--23,11--36,12--13,13--18,13--19,14--36,15--19,15--29,16--25,16--30,17--24,17--35,19--30,20--24,20--37,20--38,21--26,21--28,22--25,22--37,23--35,24--33,25--34,26--33,26--36,27--31,27--38,28--39,30--31,31--34,32--33,32--39,37--39
0--11,0--13,0--28,1--10,1--13,1--21,2--7,2--33,2--37,3--23,3--25,3--28,4--6,4--20,4--34,5--6,5--29,5--35,6--12,7--17,7--38,8--29,8--33,8--39,9--24,9--32,9--37,10--11,10--32,11--19,12--32,12--36,13--18,14--20,14--21,14--22,15--21,15--29,15--36,16--19,16--26,16--34,17--24,17--38,18--22,18--27,19--30,20--30,22--35,23--31,23--37,24--31,25--33,25--38,26--30,26--39,27--31,27--34,28--35,36--39
0--3,0--4,0--19,1--19,1--26,1--39,2--6,2--14,2--36,3--11,3--14,4--9,4--13,5--10,5--15,5--22,6--13,6--20,7--23,7--31,7--34,8--12,8--19,8--20,9--16,9--37,10--16,10--30,11--17,11--34,12--26,12--32,13--38,14--15,15--25,16--29,17--21,17--37,18--22,18--27,18--31,20--27,21--32,21--36,22--35,23--26,23--30,24--28,24--33,24--35,25--36,25--39,27--30,28--34,28--35,29--31,29--38,32--39,33--37,33--38
0--23,0--26,0--32,1--13,1--19,1--24,2--13,2--19,2--39,3--18,3--28,3--31,4--11,4--37,4--38,5--13,5--21,5--34,6--30,6--33,6--38,7--10,7--22,7--38,8--9,8--20,8--34,9--14,9--24,10--16,10--37,11--23,11--26,12--15,12--19,12--30,14--34,14--36,15--25,15--30,16--32,16--36,17--20,17--26,17--35,18--28,18--35,20--31,21--27,21--35,22--29,22--33,23--28,24--27,25--27,25--39,29--32,29--33,31--36,37--39
0--6,0--28,0--30,1--22,1--32,1--39,2--12,2--36,2--39,3--5,3--13,3--37,4--13,4--16,4--18,5--8,5--23,6--10,6--25,7--18,7--25,7--29,8--11,8--13,9--14,9--30,9--37,10--33,10--38,11--17,11--31,12--14,12--24,14--35,15--19,15--26,15--27,16--20,16--38,17--22,17--32,18--23,19--31,19--36,20--33,20--36,21--33,21--35,21--37,22--26,23--38,24--28,24--39,25--26,27--31,27--34,28--29,29--35,30--34,32--34
0--6,0--16,0--20,1--5,1--21,1--33,2--26,2--28,2--29,3--8,3--31,3--39,4--14,4--34,4--37,5--8,5--36,6--25,6--34,7--9,7--15,7--16,8--39,9--24,9--32,10--11,10--16,10--19,11--15,11--22,12--13,12--27,12--34,13--17,13--37,14--20,14--29,15--17,17--31,18--23,18--26,18--28,19--26,19--33,20--39,21--25,21--31,22--30,22--35,23--30,23--35,24--29,24--38,25--35,27--36,27--38,28--32,30--37,32--33,36--38
0--1,0--31,0--32,1--12,1--14,2--3,2--12,2--22,3--18,3--20,4--5,4--26,4--30,5--18,5--31,6--21,6--22,6--26,7--10,7--14,7--29,8--11,8--37,8--38,9--16,9--21,9--25,10--16,10--17,11--19,11--27,12--39,13--15,13--28,13--29,14--29,15--19,15--36,16--35,17--24,17--38,18--39,19--25,20--26,20--28,21--25,22--32,23--32,23--33,23--34,24--28,24--35,27--36,27--38,30--34,30--35,31--33,33--34,36--37,37--39
