0--11,0--16,0--26,1--4,1--22,1--35,2--11,2--25,2--31,3--14,3--39,3--43,4--14,4--40,5--7,5--11,5--38,6--20,6--42,6--43,7--20,7--37,8--10,8--12,8--33,9--30,9--33,9--41,10--28,10--39,12--24,12--32,13--23,13--35,13--41,14--19,15--17,15--36,15--37,16--29,16--36,17--21,17--26,18--25,18--38,18--40,19--21,19--43,20--27,21--28,22--29,22--32,23--27,23--34,24--30,24--41,25--27,26--37,28--29,30--31,31--34,32--35,33--34,36--42,38--42,39--40
0--17,0--41,0--43,1--7,1--35,1--37,2--12,2--28,2--42,3--16,3--19,3--37,4--5,4--10,4--31,5--18,5--23,6--25,6--35,6--39,7--13,7--32,8--22,8--26,8--33,9--12,9--23,9--34,10--21,10--22,11--31,11--35,11--38,12--38,13--23,13--37,14--27,14--28,14--36,15--16,15--21,15--34,16--29,17--18,17--24,18--33,19--27,19--36,20--22,20--26,20--43,21--41,24--25,24--32,25--29,26--30,27--32,28--43,29--40,30--38,30--39,31--39,33--42,34--36,40--41,40--42
0--21,0--24,0--38,1--16,1--30,1--43,2--10,2--15,2--24,3--7,3--17,3--39,4--29,4--33,4--38,5--14,5--26,5--36,6--10,6--41,6--42,7--26,7--39,8--14,8--23,8--34,9--13,9--22,9--31,10--35,11--20,11--25,11--32,12--14,12--20,12--27,13--15,13--26,15--17,16--31,16--34,17--19,18--25,18--30,18--37,19--21,19--23,20--38,21--28,22--33,22--39,23--40,24--27,25--42,27--36,28--30,28--43,29--37,29--40,31--43,32--36,32--37,33--34,35--41,35--42,40--41
0--18,0--27,0--38,1--2,1--8,1--34,2--9,2--23,3--21,3--28,3--37,4--11,4--16,4--19,5--26,5--41,5--42,6--22,6--32,6--35,7--15,7--33,7--39,8--13,8--18,9--30,9--40,10--31,10--33,10--40,11--32,11--39,12--13,12--23,12--36,13--37,14--19,14--26,14--29,15--25,15--38,16--20,16--29,17--20,17--24,17--40,18--41,19--27,20--29,21--27,21--31,22--28,22--42,23--30,24--33,24--36,25--30,25--41,26--36,28--43,31--37,32--35,34--39,34--43,35--42,38--43
0--18,0--22,0--34,1--28,1--29,1--39,2--32,2--37,2--41,3--9,3--13,3--37,4--25,4--26,4--38,5--15,5--23,5--33,6--13,6--15,6--20,7--34,7--35,7--40,8--20,8--27,8--31,9--17,9--19,10--15,10--33,10--42,11--16,11--24,11--35,12--27,12--30,12--31,13--42,14--27,14--39,14--40,16--17,16--23,17--36,18--35,18--39,19--22,19--28,20--29,21--29,21--33,21--41,22--24,23--43,24--40,25--32,25--37,26--30,26--43,28--43,30--41,31--38,32--34,36--38,36--42
0--17,0--21,0--23,1--10,1--28,1--34,2--24,2--34,2--41,3--17,3--23,3--25,4--12,4--37,4--39,5--20,5--26,5--32,6--21,6--22,6--42,7--24,7--29,7--38,8--22,8--31,8--40,9--12,9--28,9--38,10--20,10--31,11--16,11--25,11--33,12--14,13--14,13--29,13--43,14--26,15--16,15--28,15--37,16--35,17--43,18--36,18--39,18--42,19--24,19--30,19--34,20--29,21--41,22--23,25--27,26--37,27--32,27--39,30--33,30--35,31--40,32--43,33--36,35--38,36--40,41--42
0--18,0--38,0--43,1--11,1--12,1--43,2--4,2--6,2--33,3--19,3--31,3--41,4--23,4--28,5--10,5--24,5--32,6--8,6--18,7--17,7--23,7--29,8--13,8--27,9--14,9--24,9--30,10--17,10--41,11--16,11--29,12--35,12--39,13--28,13--35,14--18,14--27,15--16,15--20,15--25,16--42,17--42,19--26,19--29,20--22,20--43,21--22,21--33,21--37,22--25,23--37,24--40,25--39,26--32,26--41,27--36,28--33,30--34,30--42,31--36,31--37,32--38,34--36,34--40,35--38,39--40
0--6,0--8,0--26,1--5,1--25,1--40,2--27,2--30,2--33,3--9,3--14,3--18,4--9,4--19,4--24,5--27,5--40,6--17,6--39,7--34,7--40,7--42,8--28,8--35,9--11,10--14,10--25,10--37,11--42,11--43,12--22,12--31,12--36,13--14,13--31,13--37,15--20,15--23,15--41,16--17,16--31,16--41,17--42,18--30,18--32,19--28,19--30,20--36,20--39,21--23,21--37,21--39,22--29,22--43,23--26,24--35,24--38,25--33,26--36,27--43,28--29,29--32,32--34,33--34,35--38,38--41
0--27,0--28,0--36,1--21,1--28,1--30,2--5,2--9,2--17,3--12,3--20,3--39,4--17,4--28,4--32,5--10,5--29,6--18,6--24,6--36,7--27,7--32,7--35,8--13,8--20,8--37,9--21,9--33,10--16,10--40,11--18,11--37,11--38,12--26,12--34,13--33,13--42,14--16,14--27,14--38,15--25,15--26,15--29,16--22,17--21,18--30,19--20,19--29,19--42,22--30,22--37,23--31,23--38,23--40,24--31,24--43,25--33,25--35,26--34,31--34,32--36,35--39,39--41,40--43,41--42,41--43
0--6,0--16,0--41,1--27,1--29,1--33,2--7,2--8,2--20,3--9,3--26,3--43,4--9,4--28,4--29,5--33,5--34,5--36,6--14,6--18,7--25,7--37,8--39,8--41,9--13,10--22,10--24,10--35,11--25,11--42,11--43,12--17,12--23,12--41,13--30,13--31,14--19,14--20,15--22,15--24,15--39,16--19,16--40,17--31,17--32,18--26,18--35,19--26,20--29,21--30,21--32,21--34,22--27,23--37,23--42,24--27,25--31,28--38,28--40,30--40,32--43,33--42,34--38,35--36,36--39,37--38
