0--9,0--10,0--34,1--11,1--16,1--41,2--4,2--19,2--26,3--20,3--30,3--34,4--5,4--35,5--21,5--24,6--10,6--35,6--36,7--23,7--24,7--29,8--17,8--26,8--29,9--27,9--37,10--36,11--19,11--23,12--13,12--14,12--17,13--26,13--28,14--25,14--31,15--22,15--39,15--41,16--33,16--39,17--21,18--31,18--37,18--42,19--38,20--34,20--40,21--42,22--32,22--43,23--40,24--44,25--28,25--33,27--41,27--44,28--38,29--32,30--36,30--45,31--43,32--38,33--43,35--45,37--44,39--45,40--42
0--9,0--18,0--22,1--24,1--29,1--35,2--3,2--41,2--43,3--15,3--21,4--10,4--13,4--23,5--22,5--30,5--36,6--11,6--26,6--44,7--11,7--14,7--37,8--10,8--28,8--38,9--23,9--27,10--40,11--41,12--28,12--39,12--42,13--26,13--30,14--31,14--35,15--19,15--42,16--18,16--35,16--37,17--26,17--27,17--45,18--38,19--25,19--37,20--24,20--31,20--33,21--29,21--38,22--31,23--41,24--40,25--33,25--44,27--32,28--34,29--34,30--43,32--36,32--45,33--39,34--39,36--42,40--43,44--45
0--2,0--34,0--42,1--21,1--22,1--43,2--34,2--43,3--11,3--14,3--36,4--27,4--29,4--32,5--13,5--24,5--35,6--19,6--23,6--25,7--8,7--15,7--30,8--17,8--35,9--18,9--37,9--39,10--14,10--31,10--44,11--12,11--36,12--20,12--33,13--21,13--43,14--18,15--41,15--45,16--24,16--25,16--31,17--20,17--22,18--35,19--26,19--28,20--28,21--37,22--40,23--27,23--30,24--40,25--40,26--29,26--32,27--30,28--36,29--32,31--45,33--38,33--42,34--41,37--39,38--39,38--42,41--44,44--45
0--14,0--28,0--39,1--3,1--20,1--40,2--8,2--22,2--33,3--15,3--17,4--6,4--39,4--41,5--19,5--22,5--36,6--11,6--30,7--9,7--23,7--32,8--20,8--36,9--28,9--35,10--12,10--37,10--45,11--24,11--30,12--27,12--30,13--16,13--26,13--33,14--21,14--41,15--16,15--28,16--37,17--38,17--41,18--22,18--40,18--44,19--21,19--37,20--42,21--31,23--29,23--44,24--25,24--29,25--27,25--45,26--31,26--40,27--43,29--31,32--44,32--45,33--35,34--35,34--38,34--43,36--43,38--42,39--42
0--6,0--16,0--25,1--17,1--27,1--41,2--7,2--18,2--44,3--18,3--32,3--37,4--33,4--42,4--43,5--20,5--22,5--36,6--9,6--28,7--11,7--20,8--26,8--34,8--38,9--19,9--32,10--13,10--28,10--38,11--14,11--39,12--15,12--34,12--45,13--16,13--24,14--15,14--27,15--21,16--44,17--23,17--44,18--45,19--26,19--37,20--23,21--27,21--30,22--36,22--45,23--25,24--35,24--43,25--29,26--31,28--33,29--31,29--35,30--32,30--39,31--40,33--36,34--41,35--38,37--42,39--42,40--41,40--43
0--7,0--15,0--22,1--13,1--27,1--34,2--29,2--38,2--40,3--7,3--9,3--34,4--31,4--42,4--44,5--8,5--17,5--23,6--19,6--26,6--45,7--20,8--28,8--36,9--33,9--35,10--16,10--19,10--22,11--13,11--21,11--22,12--14,12--32,12--45,13--23,14--39,14--44,15--28,15--37,16--18,16--42,17--21,17--39,18--32,18--36,19--31,20--34,20--43,21--44,23--30,24--33,24--37,24--41,25--36,25--41,25--45,26--30,26--40,27--37,27--40,28--30,29--35,29--39,31--38,32--42,33--41,35--43,38--43
0--1,0--16,0--30,1--6,1--20,2--6,2--8,2--31,3--11,3--22,3--39,4--17,4--21,4--26,5--10,5--27,5--38,6--37,7--19,7--30,7--35,8--27,8--42,9--11,9--14,9--44,10--16,10--29,11--24,12--20,12--35,12--45,13--17,13--25,13--42,14--40,14--41,15--18,15--40,15--43,16--31,17--45,18--36,18--39,19--20,19--45,21--29,21--34,22--23,22--44,23--31,23--41,24--33,24--36,25--26,25--34,26--28,27--38,28--37,28--40,29--42,30--43,32--36,32--37,32--41,33--34,33--44,35--39,38--43
0--10,0--40,0--42,1--15,1--23,1--24,2--34,2--43,2--45,3--9,3--22,3--44,4--13,4--35,4--43,5--14,5--23,5--45,6--14,6--18,6--32,7--29,7--44,7--45,8--22,8--33,8--35,9--26,9--39,10--24,10--27,11--12,11--18,11--26,12--13,12--22,13--19,14--19,15--20,15--40,16--31,16--38,16--39,17--32,17--36,17--37,18--30,19--38,20--38,20--40,21--31,21--37,21--41,23--34,24--26,25--28,25--41,25--42,27--28,27--31,28--33,29--30,29--35,30--37,32--34,33--36,36--44,39--41,42--43
0--7,0--10,0--26,1--6,1--33,1--39,2--7,2--13,2--14,3--18,3--35,3--40,4--5,4--26,4--41,5--19,5--30,6--33,6--34,7--13,8--23,8--43,8--45,9--27,9--37,9--40,10--21,10--42,11--35,11--44,11--45,12--15,12--25,12--30,13--27,14--15,14--34,15--38,16--20,16--22,16--37,17--22,17--41,17--43,18--32,18--41,19--43,19--44,20--23,20--38,21--24,21--44,22--33,23--42,24--26,24--39,25--27,25--38,28--29,28--31,28--32,29--30,29--42,31--32,31--39,34--36,35--45,36--37,36--40
0--31,0--33,0--39,1--8,1--24,1--40,2--20,2--33,2--37,3--10,3--22,3--33,4--16,4--36,4--44,5--9,5--22,5--44,6--21,6--24,6--42,7--14,7--44,7--45,8--13,8--43,9--18,9--43,10--13,10--29,11--21,11--34,11--45,12--19,12--28,12--38,13--20,14--24,14--37,15--26,15--30,15--42,16--26,16--35,17--18,17--39,17--41,18--30,19--28,19--37,20--38,21--32,22--40,23--27,23--29,23--30,25--38,25--39,25--40,26--27,27--41,28--32,29--42,31--34,31--35,32--41,34--36,35--45,36--43
0--6,0--10,0--36,1--8,1--12,1--14,2--13,2--20,2--38,3--16,3--29,3--43,4--15,4--32,4--36,5--22,5--23,5--30,6--25,6--29,7--20,7--22,7--26,8--10,8--37,9--20,9--32,9--40,10--26,11--12,11--39,11--42,12--16,13--25,13--35,14--28,14--42,15--33,15--42,16--24,17--21,17--23,17--39,18--26,18--41,18--44,19--24,19--34,19--35,21--33,21--38,22--41,23--45,24--45,25--27,27--35,27--41,28--31,28--32,29--34,30--31,30--45,31--36,33--37,34--44,37--39,38--40,40--43,43--44
