0--18,0--32,0--37,1--4,1--29,1--44,2--27,2--45,2--46,3--25,3--32,3--42,4--21,4--28,5--6,5--14,5--30,6--9,6--35,7--11,7--21,7--26,8--10,8--43,8--44,9--13,9--37,10--15,10--39,11--40,11--45,12--35,12--38,12--46,13--28,13--44,14--17,14--27,15--31,15--37,16--24,16--41,16--47,17--23,17--46,18--25,18--34,19--20,19--29,19--35,20--22,20--29,21--27,22--32,22--47,23--26,23--45,24--28,24--47,25--38,26--36,30--41,30--42,31--39,31--43,33--34,33--39,33--41,34--38,36--40,36--43,40--42
0--24,0--29,0--30,1--2,1--20,1--29,2--10,2--13,3--8,3--20,3--34,4--18,4--25,4--45,5--11,5--19,5--37,6--8,6--35,6--39,7--34,7--45,7--47,8--21,9--16,9--18,9--35,10--12,10--13,11--15,11--22,12--23,12--30,13--22,14--28,14--39,14--42,15--26,15--41,16--40,16--43,17--25,17--36,17--40,18--31,19--23,19--27,20--46,21--24,21--45,22--38,23--46,24--36,25--30,26--33,26--35,27--36,27--44,28--33,28--43,29--38,31--34,31--41,32--33,32--38,32--44,37--42,37--43,39--44,40--47,41--46,42--47
0--2,0--25,0--46,1--8,1--13,1--33,2--27,2--28,3--18,3--20,3--44,4--28,4--29,4--43,5--25,5--36,5--46,6--15,6--35,6--45,7--17,7--22,7--37,8--14,8--39,9--20,9--37,9--38,10--11,10--33,10--37,11--12,11--30,12--26,12--43,13--35,13--44,14--26,14--34,15--36,15--47,16--19,16--29,16--46,17--32,17--38,18--24,18--29,19--21,19--23,20--43,21--39,21--42,22--35,22--45,23--34,23--42,24--32,24--42,25--31,26--45,27--39,27--47,28--30,30--41,31--38,31--40,32--34,33--40,36--44,40--41,41--47
0--3,0--9,0--27,1--15,1--28,1--41,2--9,2--18,2--35,3--21,3--44,4--10,4--15,4--37,5--6,5--20,5--32,6--20,6--44,7--26,7--28,7--38,8--13,8--30,8--39,9--41,10--12,10--31,11--27,11--45,11--47,12--22,12--25,13--17,13--32,14--32,14--33,14--36,15--43,16--19,16--36,16--47,17--25,17--27,18--29,18--34,19--30,19--47,20--43,21--36,21--37,22--25,22--35,23--29,23--30,23--37,24--38,24--39,24--40,26--33,26--40,28--38,29--42,31--39,31--45,33--46,34--40,34--44,35--42,41--46,42--45,43--46
0--36,0--39,0--46,1--11,1--12,1--22,2--18,2--24,2--47,3--16,3--20,3--32,4--9,4--34,4--46,5--17,5--36,5--41,6--24,6--36,6--41,7--10,7--14,7--31,8--16,8--27,8--44,9--25,9--32,10--26,10--45,11--22,11--27,12--20,12--40,13--26,13--34,13--47,14--25,14--33,15--23,15--29,15--35,16--33,17--38,17--44,18--40,18--43,19--21,19--24,19--42,20--35,21--39,21--44,22--47,23--37,23--43,25--35,26--32,27--30,28--31,28--34,28--38,29--31,29--45,30--40,30--42,33--43,37--38,37--42,39--46,41--45
0--17,0--31,0--32,1--16,1--37,1--41,2--14,2--18,2--42,3--24,3--36,3--45,4--13,4--25,4--44,5--18,5--23,5--46,6--15,6--33,6--35,7--8,7--10,7--19,8--27,8--34,9--30,9--36,9--38,10--13,10--27,11--29,11--34,11--37,12--14,12--25,12--47,13--24,14--29,15--21,15--46,16--28,16--45,17--23,17--39,18--30,19--22,19--39,20--27,20--32,20--43,21--44,21--46,22--31,22--33,23--30,24--31,25--26,26--43,26--44,28--40,28--41,29--35,32--41,33--43,34--47,35--36,37--42,38--40,38--42,39--45,40--47
0--2,0--11,0--20,1--5,1--38,1--44,2--30,2--33,3--19,3--40,3--47,4--16,4--39,4--43,5--12,5--39,6--21,6--25,6--31,7--28,7--35,7--36,8--9,8--29,8--31,9--14,9--26,10--24,10--43,10--45,11--17,11--41,12--25,12--32,13--16,13--37,13--46,14--27,14--29,15--21,15--22,15--36,16--23,17--34,17--36,18--30,18--31,18--46,19--26,19--38,20--22,20--23,21--28,22--42,23--47,24--27,24--44,25--45,26--30,27--42,28--37,29--40,32--35,32--41,33--40,33--42,34--41,34--47,35--43,37--39,38--46,44--45
0--1,0--23,0--43,1--3,1--36,2--24,2--25,2--29,3--24,3--26,4--8,4--23,4--35,5--11,5--16,5--45,6--10,6--19,6--37,7--11,7--13,7--42,8--15,8--25,9--26,9--30,9--46,10--12,10--34,11--32,12--31,12--34,13--16,13--17,14--16,14--46,14--47,15--29,15--42,17--39,17--42,18--21,18--27,18--38,19--28,19--37,20--22,20--36,20--41,21--28,21--40,22--24,22--31,23--47,25--29,26--34,27--36,27--45,28--30,30--44,31--41,32--39,32--40,33--41,33--43,33--44,35--44,35--47,37--39,38--43,38--45,40--46
0--8,0--13,0--28,1--2,1--24,1--38,2--21,2--47,3--4,3--7,3--19,4--19,4--20,5--6,5--25,5--27,6--11,6--42,7--9,7--32,8--14,8--42,9--20,9--35,10--11,10--27,10--32,11--40,12--17,12--29,12--43,13--20,13--23,14--21,14--30,15--29,15--37,15--41,16--38,16--39,16--45,17--22,17--27,18--23,18--39,18--43,19--47,21--22,22--37,23--31,24--31,24--33,25--34,25--47,26--30,26--36,26--38,28--41,28--46,29--45,30--39,31--43,32--40,33--37,33--40,34--35,34--36,35--44,36--46,41--42,44--45,44--46
0--9,0--42,0--43,1--12,1--21,1--40,2--4,2--44,2--47,3--27,3--32,3--36,4--29,4--34,5--15,5--42,5--44,6--15,6--20,6--39,7--14,7--25,7--34,8--11,8--20,8--35,9--10,9--27,10--17,10--41,11--38,11--41,12--16,12--29,13--33,13--35,13--38,14--19,14--28,15--23,16--19,16--27,17--19,17--40,18--21,18--45,18--47,20--28,21--26,22--30,22--33,22--40,23--32,23--41,24--31,24--39,24--46,25--28,25--33,26--38,26--46,29--42,30--43,30--44,31--43,31--45,32--45,34--47,35--37,36--37,36--39,37--46
