0--29,0--31,0--42,1--5,1--26,1--45,2--21,2--39,2--41,3--10,3--14,3--23,4--38,4--39,4--40,5--25,5--29,6--15,6--30,6--46,7--11,7--18,7--49,8--15,8--20,8--23,9--11,9--25,9--33,10--17,10--38,11--34,12--17,12--36,12--37,13--18,13--28,13--32,14--27,14--47,15--16,16--39,16--41,17--20,18--19,19--22,19--32,20--31,21--24,21--45,22--35,22--46,23--26,24--40,24--43,25--30,26--33,27--35,27--48,28--44,28--47,29--38,30--35,31--47,32--40,33--44,34--42,34--49,36--37,36--44,37--48,41--46,42--45,43--48,43--49
0--23,0--34,0--44,1--34,1--35,1--40,2--9,2--11,2--48,3--22,3--25,3--29,4--41,4--43,4--45,5--16,5--32,5--36,6--7,6--18,6--43,7--26,7--42,8--22,8--29,8--35,9--21,9--28,10--17,10--32,10--46,11--15,11--34,12--15,12--24,12--38,13--21,13--36,13--45,14--39,14--43,14--46,15--37,16--22,16--31,17--31,17--47,18--20,18--25,19--25,19--35,19--44,20--37,20--41,21--49,23--30,23--44,24--26,24--41,26--40,27--32,27--38,27--42,28--29,28--49,30--48,30--49,31--33,33--42,33--46,36--45,37--47,38--40,39--47,39--48
0--3,0--12,0--25,1--2,1--24,1--25,2--11,2--45,3--19,3--28,4--17,4--41,4--48,5--7,5--10,5--33,6--16,6--20,6--33,7--39,7--43,8--19,8--35,8--44,9--11,9--28,9--29,10--11,10--34,12--13,12--22,13--31,13--42,14--18,14--22,14--41,15--20,15--21,15--43,16--26,16--43,17--39,17--49,18--35,18--47,19--36,20--21,21--26,22--46,23--33,23--40,23--48,24--25,24--38,26--34,27--28,27--31,27--47,29--40,29--46,30--37,30--38,30--46,31--32,32--47,32--48,34--36,35--45,36--41,37--38,37--49,39--44,40--42,42--49,44--45
0--2,0--4,0--13,1--19,1--35,1--36,2--20,2--29,3--33,3--35,3--49,4--14,4--17,5--12,5--39,5--48,6--8,6--26,6--46,7--8,7--31,7--45,8--14,9--22,9--28,9--42,10--15,10--25,10--30,11--21,11--36,11--43,12--16,12--37,13--27,13--44,14--37,15--41,15--42,16--43,16--48,17--27,17--37,18--24,18--33,18--42,19--38,19--47,20--29,20--31,21--32,21--41,22--28,22--40,23--25,23--26,23--40,24--29,24--44,25--45,26--32,27--34,28--46,30--36,30--45,31--34,32--47,33--38,34--39,35--47,38--49,39--49,40--48,41--43,44--46
0--6,0--28,0--49,1--4,1--16,1--34,2--4,2--26,2--47,3--4,3--32,3--46,5--10,5--42,5--48,6--18,6--23,7--21,7--26,7--28,8--17,8--39,8--45,9--14,9--42,9--49,10--20,10--38,11--31,11--35,11--47,12--17,12--19,12--24,13--23,13--36,13--38,14--32,14--35,15--19,15--22,15--27,16--37,16--41,17--24,18--36,18--45,19--30,20--25,20--43,21--22,21--45,22--38,23--33,24--34,25--29,25--33,26--30,27--39,27--49,28--44,29--31,29--43,30--43,31--40,32--35,33--42,34--37,36--41,37--39,40--46,40--48,41--44,44--47,46--48
0--12,0--22,0--25,1--8,1--28,1--38,2--19,2--20,2--48,3--11,3--16,3--18,4--29,4--40,4--47,5--6,5--25,5--41,6--10,6--34,7--26,7--27,7--42,8--43,8--48,9--31,9--32,9--49,10--25,10--41,11--40,11--45,12--37,12--44,13--14,13--23,13--35,14--15,14--30,15--21,15--43,16--17,16--26,17--36,17--39,18--27,18--32,19--42,19--48,20--29,20--38,21--30,21--35,22--32,22--40,23--38,23--42,24--41,24--45,24--46,26--30,27--34,28--46,28--47,29--43,31--39,31--49,33--37,33--45,33--49,34--36,35--46,36--39,37--44,44--47
0--6,0--18,0--24,1--14,1--19,1--45,2--9,2--17,2--49,3--26,3--36,3--47,4--18,4--27,4--28,5--10,5--23,5--29,6--24,6--45,7--19,7--24,7--33,8--9,8--37,8--45,9--34,10--22,10--31,11--13,11--19,11--47,12--25,12--28,12--35,13--33,13--48,14--35,14--43,15--17,15--42,15--46,16--21,16--32,16--39,17--41,18--44,20--22,20--23,20--31,21--46,21--49,22--42,23--25,25--36,26--31,26--44,27--34,27--46,28--42,29--34,29--48,30--38,30--41,30--47,32--37,32--38,33--38,35--40,36--44,37--43,39--40,39--49,40--48,41--43
0--2,0--5,0--12,1--25,1--26,1--27,2--6,2--42,3--45,3--47,3--49,4--19,4--33,4--35,5--34,5--40,6--30,6--36,7--8,7--28,7--32,8--14,8--45,9--20,9--30,9--37,10--30,10--37,10--42,11--14,11--19,11--42,12--17,12--39,13--16,13--22,13--41,14--24,15--27,15--38,15--45,16--28,16--41,17--47,17--48,18--22,18--23,18--48,19--43,20--26,20--39,21--31,21--32,21--35,22--25,23--31,23--49,24--35,24--49,25--39,26--27,28--33,29--34,29--44,29--46,31--44,32--46,33--36,34--43,36--44,37--38,38--43,40--47,40--48,41--46
0--6,0--39,0--40,1--6,1--17,1--44,2--11,2--27,2--34,3--13,3--33,3--48,4--20,4--30,4--38,5--13,5--29,5--45,6--39,7--29,7--43,7--45,8--22,8--31,8--35,9--15,9--19,9--38,10--15,10--30,10--41,11--25,11--35,12--16,12--44,12--49,13--25,14--17,14--18,14--37,15--32,16--19,16--46,17--21,18--35,18--36,19--22,20--43,20--48,21--34,21--36,22--26,23--24,23--28,23--47,24--37,24--45,25--49,26--28,26--39,27--28,27--30,29--31,31--47,32--33,32--42,33--42,34--41,36--48,37--40,38--46,40--42,41--46,43--44,47--49
0--11,0--17,0--39,1--30,1--37,1--41,2--14,2--34,2--39,3--11,3--24,3--49,4--10,4--19,4--36,5--7,5--23,5--40,6--8,6--13,6--49,7--16,7--29,8--21,8--48,9--22,9--33,9--35,10--35,10--37,11--46,12--27,12--47,12--48,13--18,13--42,14--24,14--47,15--21,15--44,15--48,16--39,16--49,17--25,17--32,18--30,18--45,19--28,19--43,20--21,20--24,20--43,22--31,22--43,23--27,23--31,25--38,25--46,26--29,26--31,26--42,27--40,28--30,28--32,29--36,32--38,33--46,33--47,34--40,34--41,35--44,36--42,37--45,38--41,44--45
