0--26,0--34,0--48,1--5,1--10,1--13,2--4,2--16,2--41,3--21,3--44,3--45,4--26,4--39,5--11,5--14,6--17,6--40,6--46,7--23,7--35,7--49,8--9,8--27,8--33,9--20,9--47,10--25,10--32,11--12,11--44,12--21,12--24,13--17,13--43,14--30,14--31,15--21,15--50,15--51,16--20,16--37,17--33,18--20,18--22,18--49,19--31,19--43,19--50,22--27,22--37,23--34,23--36,24--36,24--42,25--35,25--39,26--41,27--41,28--33,28--38,28--47,29--38,29--40,29--50,30--32,30--39,31--49,32--38,34--46,35--45,36--42,37--40,42--48,43--48,44--46,45--51,47--51
0--13,0--21,0--43,1--17,1--38,1--42,2--13,2--39,2--45,3--22,3--47,3--51,4--23,4--33,4--36,5--9,5--13,5--19,6--15,6--36,6--46,7--31,7--32,7--44,8--18,8--21,8--49,9--33,9--34,10--11,10--12,10--18,11--24,11--42,12--39,12--51,14--15,14--18,14--37,15--37,16--22,16--26,16--44,17--28,17--41,19--22,19--50,20--21,20--41,20--45,23--25,23--31,24--40,24--43,25--32,25--35,26--30,26--48,27--38,27--46,27--49,28--36,28--40,29--34,29--41,29--46,30--37,30--48,31--34,32--47,33--39,35--43,35--50,38--45,40--50,42--47,44--48,49--51
0--18,0--23,0--29,1--2,1--32,1--40,2--21,2--22,3--11,3--16,3--36,4--26,4--27,4--33,5--6,5--19,5--30,6--27,6--47,7--20,7--33,7--40,8--17,8--35,8--38,9--14,9--25,9--33,10--26,10--45,10--50,11--14,11--28,12--34,12--48,12--51,13--20,13--22,13--23,14--20,15--28,15--39,15--41,16--36,16--46,17--26,17--51,18--25,18--46,19--36,19--49,21--27,21--39,22--48,23--42,24--31,24--35,24--49,25--43,28--32,29--34,29--37,30--44,30--46,31--38,31--50,32--37,34--35,37--40,38--47,39--45,41--42,41--48,42--45,43--47,43--49,44--50,44--51
0--20,0--28,0--47,1--15,1--29,1--45,2--12,2--27,2--28,3--4,3--38,3--40,4--10,4--33,5--27,5--29,5--48,6--8,6--46,6--51,7--39,7--43,7--49,8--18,8--46,9--14,9--22,9--39,10--41,10--49,11--23,11--26,11--41,12--18,12--21,13--23,13--25,13--30,14--36,14--46,15--33,15--38,16--26,16--35,16--40,17--31,17--33,17--49,18--25,19--32,19--45,19--50,20--48,20--51,21--22,21--42,22--25,23--36,24--27,24--34,24--48,26--31,28--29,30--42,30--43,31--32,32--50,34--35,34--39,35--50,36--41,37--44,37--47,37--51,38--40,42--44,43--47,44--45
0--1,0--9,0--17,1--29,1--50,2--6,2--31,2--38,3--8,3--10,3--22,4--20,4--24,4--43,5--7,5--35,5--41,6--12,6--26,7--8,7--19,8--9,9--48,10--22,10--25,11--17,11--20,11--21,12--31,12--37,13--19,13--28,13--49,14--28,14--33,14--37,15--24,15--32,15--36,16--21,16--27,16--36,17--45,18--30,18--42,18--48,19--26,20--44,21--22,23--31,23--33,23--44,24--29,25--33,25--48,26--46,27--37,27--49,28--39,29--46,30--35,30--50,32--35,32--39,34--41,34--45,34--47,36--43,38--41,38--51,39--51,40--44,40--45,40--49,42--43,42--47,46--51,47--50
0--19,0--25,0--49,1--24,1--46,1--49,2--8,2--15,2--16,3--4,3--11,3--24,4--26,4--29,5--27,5--36,5--40,6--9,6--26,6--49,7--9,7--46,7--50,8--34,8--38,9--13,10--19,10--32,10--39,11--35,11--45,12--14,12--21,12--27,13--28,13--34,14--19,14--24,15--23,15--32,16--31,16--39,17--18,17--33,17--40,18--22,18--30,20--25,20--29,20--51,21--22,21--41,22--48,23--38,23--50,25--44,26--38,27--47,28--36,28--41,29--43,30--33,30--43,31--37,31--50,32--41,33--51,34--35,35--37,36--40,37--48,39--43,42--44,42--45,42--47,44--46,45--51,47--48
0--4,0--22,0--51,1--3,1--26,1--45,2--15,2--20,2--38,3--28,3--38,4--22,4--42,5--23,5--34,5--43,6--10,6--11,6--41,7--29,7--38,7--50,8--30,8--33,8--49,9--45,9--46,9--51,10--15,10--32,11--39,11--49,12--30,12--40,12--42,13--16,13--26,13--37,14--27,14--30,14--33,15--29,16--40,16--48,17--25,17--35,17--42,18--35,18--37,18--47,19--22,19--34,19--47,20--35,20--51,21--25,21--36,21--43,23--24,23--28,24--28,24--36,25--41,26--37,27--40,27--43,29--50,31--45,31--46,31--48,32--39,32--49,33--44,34--44,36--48,39--50,41--46,44--47
0--3,0--33,0--37,1--40,1--46,1--51,2--34,2--42,2--47,3--36,3--49,4--7,4--13,4--15,5--29,5--32,5--41,6--18,6--20,6--29,7--24,7--27,8--10,8--42,8--51,9--22,9--24,9--31,10--19,10--47,11--23,11--25,11--38,12--35,12--38,12--39,13--30,13--31,14--19,14--28,14--37,15--21,15--40,16--37,16--38,16--42,17--34,17--43,17--45,18--36,18--44,19--30,20--25,20--27,21--32,21--46,22--26,22--51,23--35,23--44,24--26,25--43,26--27,28--45,28--48,29--47,30--31,32--40,33--49,33--50,34--41,35--49,36--48,39--46,39--50,41--43,44--48,45--50
0--5,0--13,0--14,1--8,1--31,1--50,2--28,2--33,2--49,3--19,3--35,3--51,4--34,4--44,4--45,5--18,5--40,6--23,6--25,6--51,7--24,7--29,7--49,8--16,8--46,9--19,9--41,9--43,10--27,10--37,10--39,11--24,11--26,11--38,12--28,12--30,12--41,13--32,13--47,14--19,14--23,15--18,15--40,15--45,16--36,16--43,17--18,17--27,17--37,20--25,20--31,20--32,21--25,21--27,21--44,22--33,22--42,22--48,23--38,24--47,26--31,26--35,28--40,29--30,29--39,30--42,32--35,33--50,34--37,34--42,36--41,36--43,38--39,44--47,45--50,46--48,46--49,48--51
0--18,0--25,0--30,1--30,1--45,1--51,2--4,2--35,2--49,3--4,3--28,3--46,4--19,5--26,5--33,5--46,6--11,6--12,6--50,7--9,7--30,7--40,8--29,8--38,8--42,9--36,9--37,10--28,10--42,10--50,11--26,11--36,12--34,12--40,13--21,13--29,13--33,14--28,14--33,14--38,15--20,15--27,15--37,16--27,16--42,16--44,17--18,17--19,17--48,18--47,19--50,20--32,20--48,21--22,21--24,22--44,22--46,23--31,23--32,23--49,24--27,24--47,25--43,25--47,26--51,29--43,31--48,31--49,32--35,34--39,34--44,35--39,36--45,37--43,38--41,39--51,40--41,41--45
0--12,0--26,0--33,1--8,1--47,1--50,2--7,2--26,2--46,3--30,3--44,3--50,4--10,4--40,4--48,5--15,5--17,5--18,6--13,6--22,6--51,7--13,7--32,8--12,8--20,9--19,9--27,9--38,10--27,10--43,11--15,11--19,11--43,12--21,13--23,14--17,14--35,14--44,15--25,16--44,16--45,16--50,17--29,18--31,18--42,19--41,20--29,20--46,21--33,21--51,22--25,22--32,23--28,23--30,24--39,24--41,24--46,25--48,26--29,27--34,28--37,28--40,30--36,31--45,31--49,32--39,33--42,34--36,34--47,35--43,35--47,36--48,37--41,37--42,38--39,38--49,40--45,49--51
0--2,0--10,0--41,1--6,1--19,1--42,2--29,2--32,3--19,3--39,3--51,4--18,4--21,4--40,5--32,5--37,5--47,6--24,6--44,7--12,7--20,7--29,8--23,8--34,8--43,9--13,9--48,9--51,10--34,10--45,11--12,11--13,11--23,12--14,13--47,14--37,14--41,15--16,15--25,15--43,16--17,16--31,17--33,17--40,18--43,18--50,19--46,20--38,20--48,21--35,21--38,22--25,22--33,22--46,23--24,24--45,25--26,26--45,26--50,27--29,27--44,27--50,28--35,28--44,28--51,30--33,30--36,30--37,31--36,31--49,32--39,34--39,35--46,36--48,38--42,40--49,41--49,42--47
0--23,0--28,0--45,1--18,1--22,1--39,2--9,2--20,2--37,3--6,3--14,3--31,4--36,4--40,4--50,5--24,5--40,5--46,6--8,6--27,7--17,7--23,7--31,8--50,8--51,9--16,9--19,10--29,10--30,10--33,11--13,11--19,11--29,12--19,12--21,12--25,13--35,13--49,14--38,14--51,15--22,15--30,15--39,16--38,16--46,17--22,17--43,18--37,18--44,20--36,20--41,21--32,21--47,23--28,24--41,24--49,25--42,25--44,26--35,26--44,26--47,27--34,27--49,28--33,29--36,30--48,31--43,32--34,32--39,33--42,34--51,35--38,37--43,40--48,41--46,42--45,45--50,47--48
0--31,0--36,0--43,1--6,1--12,1--21,2--17,2--34,2--41,3--18,3--26,3--35,4--29,4--37,4--44,5--7,5--8,5--15,6--14,6--23,7--18,7--34,8--17,8--49,9--13,9--16,9--35,10--23,10--25,10--27,11--20,11--24,11--32,12--20,12--24,13--14,13--22,14--40,15--20,15--30,16--38,16--39,17--47,18--25,19--44,19--46,19--49,21--37,21--41,22--30,22--45,23--33,24--33,25--36,26--30,26--31,27--35,27--42,28--33,28--47,28--51,29--46,29--48,31--51,32--39,32--49,34--47,36--48,37--50,38--42,38--46,39--43,40--45,40--48,41--42,43--44,45--50,50--51
0--12,0--16,0--29,1--5,1--8,1--45,2--20,2--30,2--46,3--4,3--41,3--44,4--10,4--42,5--7,5--50,6--33,6--43,6--50,7--22,7--35,8--9,8--23,9--19,9--28,10--13,10--16,11--15,11--31,11--39,12--22,12--38,13--23,13--34,14--26,14--30,14--33,15--34,15--36,16--42,17--24,17--32,17--35,18--29,18--40,18--45,19--30,19--41,20--27,20--29,21--34,21--37,21--51,22--49,23--39,24--46,24--47,25--35,25--37,25--45,26--47,26--48,27--28,27--38,28--43,31--36,31--48,32--41,32--51,33--40,36--51,37--46,38--43,39--48,40--44,42--50,44--49,47--49
0--8,0--10,0--38,1--9,1--10,1--26,2--5,2--6,2--32,3--4,3--8,3--21,4--20,4--45,5--15,5--49,6--23,6--34,7--17,7--27,7--34,8--23,9--19,9--47,10--31,11--33,11--38,11--48,12--36,12--41,12--43,13--28,13--37,13--50,14--25,14--46,14--50,15--27,15--48,16--21,16--26,16--35,17--30,17--32,18--37,18--41,18--46,19--24,19--44,20--28,20--42,21--33,22--37,22--39,22--44,23--40,24--38,24--43,25--29,25--30,26--45,27--36,28--45,29--39,29--51,30--40,31--35,31--36,32--47,33--44,34--42,35--49,39--50,40--47,41--42,43--51,46--48,49--51
0--14,0--18,0--35,1--5,1--37,1--47,2--6,2--13,2--30,3--9,3--25,3--50,4--6,4--34,4--49,5--7,5--17,6--27,7--23,7--38,8--16,8--35,8--51,9--25,9--32,10--37,10--40,10--43,11--15,11--19,11--28,12--18,12--29,12--45,13--37,13--47,14--42,14--51,15--21,15--51,16--20,16--46,17--28,17--45,18--46,19--24,19--36,20--43,20--47,21--23,21--43,22--41,22--48,22--49,23--30,24--39,24--42,25--27,26--30,26--32,26--44,27--33,28--33,29--34,29--50,31--34,31--41,31--49,32--36,33--44,35--48,36--38,38--44,39--48,39--50,40--41,40--42,45--46
0--28,0--36,0--40,1--31,1--39,1--49,2--29,2--35,2--50,3--6,3--37,3--51,4--21,4--47,4--51,5--10,5--21,5--36,6--30,6--32,7--13,7--37,7--40,8--28,8--41,8--50,9--10,9--11,9--25,10--24,11--18,11--49,12--13,12--18,12--33,13--34,14--31,14--41,14--46,15--28,15--43,15--48,16--19,16--23,16--43,17--24,17--39,17--44,18--31,19--23,19--42,20--21,20--26,20--27,22--34,22--44,22--50,23--42,24--40,25--38,25--43,26--36,26--47,27--32,27--46,29--33,29--35,30--48,30--49,32--42,33--51,34--45,35--45,37--45,38--39,38--46,41--47,44--48
