0--21,0--24,0--44,1--37,1--40,1--50,2--13,2--15,2--44,3--8,3--15,3--28,4--6,4--17,4--41,5--11,5--18,5--24,6--23,6--53,7--16,7--22,7--35,8--10,8--18,9--25,9--42,9--52,10--40,10--53,11--39,11--52,12--38,12--42,12--47,13--50,13--51,14--21,14--45,14--51,15--27,16--41,16--47,17--29,17--32,18--39,19--23,19--34,19--49,20--21,20--32,20--47,22--23,22--24,25--28,25--45,26--35,26--46,26--49,27--30,27--48,28--38,29--36,29--40,30--34,30--37,31--33,31--48,31--53,32--33,33--43,34--49,35--39,36--46,36--48,37--38,41--52,42--46,43--45,43--50,44--51
0--15,0--33,0--48,1--13,1--47,1--49,2--10,2--16,2--38,3--4,3--32,3--48,4--7,4--9,5--8,5--16,5--44,6--12,6--31,6--49,7--9,7--23,8--20,8--44,9--30,10--39,10--48,11--25,11--36,11--47,12--21,12--22,13--26,13--37,14--23,14--42,14--44,15--34,15--35,16--35,17--29,17--38,17--45,18--22,18--37,18--52,19--24,19--43,19--52,20--47,20--52,21--40,21--43,22--38,23--39,24--50,24--53,25--31,25--45,26--29,26--36,27--41,27--43,27--51,28--31,28--33,28--42,29--51,30--33,30--53,32--40,32--46,34--45,34--53,35--46,36--46,37--49,39--40,41--42,41--50,50--51
0--14,0--16,0--34,1--11,1--43,1--50,2--9,2--21,2--22,3--37,3--43,3--48,4--15,4--17,4--30,5--17,5--25,5--41,6--8,6--35,6--52,7--18,7--20,7--44,8--18,8--31,9--29,9--48,10--23,10--35,10--42,11--14,11--49,12--13,12--34,12--39,13--25,13--28,14--49,15--31,15--40,16--19,16--38,17--47,18--43,19--21,19--23,20--24,20--31,21--29,22--26,22--47,23--51,24--37,24--48,25--39,26--28,26--38,27--30,27--52,27--53,28--32,29--36,30--45,32--51,32--53,33--36,33--39,33--42,34--40,35--45,36--44,37--50,38--44,40--46,41--47,41--50,42--49,45--46,46--51,52--53
0--29,0--47,0--51,1--11,1--27,1--48,2--31,2--39,2--40,3--4,3--17,3--29,4--26,4--41,5--19,5--44,5--49,6--7,6--16,6--22,7--23,7--37,8--17,8--32,8--51,9--27,9--30,9--52,10--14,10--16,10--41,11--27,11--39,12--38,12--42,12--43,13--15,13--30,13--32,14--20,14--50,15--31,15--35,16--40,17--32,18--28,18--38,18--50,19--40,19--52,20--42,20--43,21--33,21--35,21--44,22--36,22--47,23--25,23--33,24--37,24--43,24--51,25--29,25--38,26--46,26--53,28--31,28--37,30--45,33--44,34--35,34--41,34--50,36--42,36--48,39--49,45--48,45--49,46--52,46--53,47--53
0--43,0--48,0--53,1--5,1--29,1--37,2--4,2--8,2--10,3--5,3--7,3--27,4--25,4--46,5--35,6--9,6--23,6--27,7--27,7--52,8--25,8--38,9--41,9--50,10--30,10--35,11--25,11--44,11--48,12--32,12--38,12--40,13--31,13--42,13--50,14--19,14--33,14--37,15--20,15--21,15--41,16--22,16--40,16--51,17--24,17--34,17--36,18--23,18--38,18--44,19--20,19--53,20--34,21--42,21--53,22--28,22--31,23--32,24--46,24--49,26--41,26--42,26--43,28--37,28--47,29--47,29--50,30--39,30--52,31--49,32--35,33--45,33--51,34--51,36--43,36--44,39--45,39--46,40--45,47--52,48--49
0--12,0--26,0--44,1--6,1--14,1--50,2--5,2--33,2--52,3--21,3--24,3--46,4--33,4--43,4--48,5--42,5--51,6--43,6--45,7--28,7--32,7--34,8--29,8--34,8--42,9--12,9--16,9--25,10--24,10--28,10--48,11--18,11--23,11--39,12--39,13--15,13--38,13--42,14--21,14--31,15--18,15--36,16--17,16--48,17--22,17--49,18--53,19--20,19--40,19--45,20--26,20--28,21--25,22--23,22--35,23--50,24--35,25--34,26--30,27--29,27--37,27--40,29--36,30--49,30--52,31--46,31--51,32--47,32--50,33--41,35--44,36--37,37--38,38--40,39--47,41--51,41--52,43--45,44--49,46--53,47--53
0--4,0--6,0--43,1--2,1--16,1--52,2--15,2--26,3--24,3--43,3--45,4--13,4--37,5--11,5--18,5--27,6--23,6--33,7--30,7--36,7--47,8--10,8--27,8--41,9--29,9--39,9--41,10--30,10--44,11--19,11--25,12--15,12--21,12--35,13--22,13--28,14--23,14--44,14--52,15--50,16--17,16--37,17--25,17--46,18--21,18--31,19--31,19--42,20--34,20--46,20--50,21--41,22--51,22--53,23--31,24--32,24--40,25--43,26--30,26--38,27--28,28--32,29--38,29--48,32--33,33--49,34--39,34--42,35--39,35--53,36--38,36--40,37--51,40--47,42--49,44--51,45--46,45--50,47--48,48--53,49--52
0--15,0--16,0--33,1--38,1--39,1--48,2--9,2--20,2--47,3--17,3--35,3--40,4--10,4--46,4--49,5--9,5--22,5--37,6--10,6--26,6--50,7--18,7--26,7--33,8--27,8--44,8--49,9--30,10--37,11--24,11--32,11--52,12--32,12--40,12--52,13--19,13--27,13--51,14--20,14--33,14--41,15--31,15--50,16--25,16--46,17--20,17--23,18--34,18--49,19--21,19--32,21--31,21--42,22--28,22--41,23--47,23--53,24--29,24--38,25--28,25--43,26--31,27--51,28--34,29--39,29--45,30--41,30--42,34--50,35--43,35--46,36--37,36--52,36--53,38--44,39--48,40--42,43--45,44--45,47--53,48--51
0--24,0--26,0--51,1--9,1--20,1--32,2--29,2--35,2--43,3--9,3--15,3--52,4--26,4--31,4--38,5--13,5--49,5--50,6--7,6--9,6--27,7--13,7--17,8--15,8--16,8--48,10--29,10--34,10--41,11--13,11--28,11--42,12--27,12--42,12--43,14--18,14--28,14--39,15--26,16--47,16--53,17--19,17--37,18--40,18--43,19--37,19--52,20--35,20--41,21--22,21--33,21--50,22--30,22--37,23--34,23--36,23--39,24--32,24--38,25--31,25--48,25--53,27--44,28--45,29--46,30--39,30--44,31--36,32--41,33--45,33--46,34--45,35--51,36--40,38--53,40--47,42--51,44--52,46--49,47--49,48--50
0--26,0--39,0--45,1--13,1--20,1--37,2--41,2--46,2--50,3--4,3--23,3--31,4--19,4--46,5--16,5--23,5--24,6--29,6--32,6--49,7--16,7--27,7--34,8--11,8--19,8--48,9--15,9--23,9--47,10--14,10--27,10--44,11--26,11--44,12--13,12--40,12--49,13--21,14--17,14--35,15--20,15--31,16--36,17--28,17--40,18--25,18--30,18--53,19--32,20--38,21--37,21--38,22--35,22--40,22--53,24--34,24--42,25--39,25--43,26--52,27--28,28--33,29--33,29--52,30--41,30--47,31--48,32--43,33--38,34--53,35--49,36--37,36--45,39--44,41--51,42--48,42--51,43--47,45--50,46--50,51--52
