0--6,0--10,0--37,1--2,1--3,1--34,2--22,2--56,3--4,3--12,4--19,4--54,5--24,5--27,5--34,6--21,6--39,7--25,7--39,7--48,8--31,8--38,8--48,9--13,9--20,9--57,10--42,10--50,11--45,11--46,11--51,12--14,12--35,13--18,13--55,14--19,14--24,15--35,15--45,15--46,16--33,16--54,16--55,17--26,17--52,17--56,18--20,18--42,19--28,20--37,21--23,21--43,22--28,22--41,23--27,23--32,24--49,25--34,25--43,26--32,26--47,27--40,28--40,29--33,29--35,29--38,30--42,30--49,30--53,31--36,31--40,32--53,33--52,36--53,36--57,37--57,38--49,39--51,41--43,41--44,44--48,44--55,45--47,46--47,50--51,50--52,54--56
0--1,0--5,0--40,1--14,1--22,2--3,2--18,2--43,3--7,3--20,4--11,4--28,4--49,5--31,5--38,6--23,6--46,6--52,7--34,7--52,8--25,8--48,8--55,9--12,9--45,9--55,10--21,10--33,10--37,11--13,11--52,12--39,12--50,13--19,13--51,14--30,14--54,15--24,15--46,15--49,16--27,16--30,16--48,17--43,17--48,17--56,18--22,18--57,19--34,19--35,20--26,20--44,21--25,21--32,22--43,23--54,23--57,24--27,24--32,25--31,26--29,26--31,27--36,28--29,28--47,29--36,30--41,32--42,33--35,33--56,34--38,35--53,36--51,37--45,37--50,38--39,39--45,40--53,40--57,41--47,41--49,42--47,42--55,44--54,44--56,46--50,51--53
0--9,0--17,0--37,1--2,1--42,1--50,2--26,2--40,3--17,3--27,3--47,4--8,4--28,4--57,5--7,5--15,5--33,6--10,6--15,6--18,7--45,7--51,8--19,8--48,9--23,9--32,10--29,10--35,11--25,11--29,11--31,12--24,12--30,12--55,13--14,13--36,13--52,14--16,14--39,15--56,16--18,16--26,17--22,18--32,19--30,19--49,20--34,20--42,20--51,21--27,21--41,21--48,22--41,22--55,23--47,23--48,24--46,24--49,25--40,25--49,26--55,27--45,28--31,28--42,29--54,30--57,31--38,32--51,33--43,33--54,34--44,34--53,35--41,35--56,36--45,36--46,37--40,37--44,38--46,38--56,39--50,39--52,43--47,43--50,44--53,52--57,53--54
0--4,0--10,0--18,1--15,1--31,1--32,2--35,2--52,2--55,3--8,3--23,3--57,4--30,4--55,5--22,5--42,5--43,6--28,6--39,6--40,7--30,7--49,7--50,8--13,8--48,9--25,9--35,9--39,10--15,10--53,11--44,11--46,11--56,12--14,12--32,12--36,13--25,13--36,14--17,14--20,15--56,16--44,16--48,16--52,17--33,17--54,18--37,18--55,19--32,19--48,19--51,20--27,20--46,21--27,21--41,21--49,22--26,22--57,23--31,23--41,24--38,24--43,24--47,25--43,26--42,26--47,27--38,28--29,28--51,29--50,29--52,30--37,31--51,33--44,33--46,34--38,34--40,34--57,35--47,36--42,37--54,39--56,40--54,41--53,45--49,45--50,45--53
0--1,0--13,0--23,1--38,1--55,2--21,2--27,2--45,3--39,3--46,3--54,4--16,4--35,4--57,5--12,5--23,5--42,6--33,6--39,6--50,7--33,7--45,7--52,8--40,8--45,8--46,9--36,9--38,9--51,10--11,10--20,10--29,11--26,11--32,12--41,12--43,13--16,13--54,14--18,14--41,14--49,15--38,15--50,15--51,16--20,17--47,17--52,17--53,18--28,18--51,19--21,19--25,19--41,20--49,21--43,22--24,22--44,22--53,23--40,24--34,24--44,25--32,25--57,26--27,26--33,27--37,28--39,28--55,29--48,29--50,30--36,30--56,30--57,31--48,31--54,31--56,32--37,34--35,34--55,35--53,36--42,37--49,40--44,42--52,43--48,46--47,47--56
0--15,0--23,0--48,1--3,1--34,1--42,2--7,2--18,2--33,3--50,3--52,4--10,4--16,4--28,5--45,5--47,5--49,6--25,6--41,6--51,7--29,7--51,8--29,8--51,8--57,9--37,9--43,9--44,10--13,10--39,11--19,11--32,11--46,12--15,12--38,12--56,13--30,13--42,14--30,14--31,14--44,15--20,16--25,16--53,17--24,17--40,17--45,18--21,18--55,19--26,19--54,20--32,20--33,21--34,21--40,22--38,22--45,22--49,23--29,23--39,24--40,24--53,25--56,26--47,26--50,27--36,27--43,27--48,28--41,28--48,30--46,31--33,31--46,32--56,34--55,35--41,35--43,35--47,36--42,36--54,37--52,37--53,38--49,39--57,44--55,50--54,52--57
0--7,0--37,0--48,1--20,1--25,1--33,2--4,2--31,2--34,3--6,3--16,3--18,4--12,4--14,5--6,5--21,5--45,6--43,7--18,7--35,8--9,8--12,8--27,9--29,9--37,10--24,10--28,10--33,11--13,11--46,11--47,12--46,13--47,13--53,14--16,14--40,15--26,15--52,15--56,16--43,17--25,17--41,17--42,18--33,19--32,19--41,19--47,20--27,20--55,21--40,21--57,22--35,22--45,22--57,23--29,23--38,23--46,24--30,24--49,25--52,26--32,26--44,27--28,28--51,29--53,30--44,30--48,31--50,31--51,32--52,34--41,34--42,35--51,36--38,36--43,36--55,37--54,38--42,39--40,39--50,39--53,44--49,45--54,48--54,49--56,50--57,55--56
0--20,0--48,0--53,1--4,1--8,1--15,2--20,2--23,2--45,3--27,3--35,3--47,4--19,4--34,5--26,5--30,5--49,6--10,6--12,6--51,7--22,7--23,7--50,8--26,8--55,9--17,9--18,9--25,10--32,10--43,11--17,11--18,11--22,12--40,12--57,13--31,13--33,13--41,14--38,14--47,14--48,15--33,15--37,16--20,16--44,16--56,17--57,18--46,19--37,19--52,21--27,21--28,21--29,22--43,23--27,24--30,24--44,24--48,25--35,25--40,26--32,28--38,28--42,29--38,29--47,30--56,31--46,31--54,32--45,33--39,34--41,34--49,35--49,36--39,36--40,36--51,37--44,39--53,41--52,42--54,42--55,43--55,45--50,46--56,50--57,51--53,52--54
0--20,0--21,0--38,1--28,1--51,1--55,2--11,2--12,2--40,3--4,3--17,3--27,4--9,4--51,5--6,5--39,5--48,6--26,6--32,7--28,7--35,7--45,8--21,8--31,8--52,9--22,9--36,10--43,10--49,10--50,11--16,11--42,12--35,12--57,13--15,13--24,13--34,14--40,14--47,14--56,15--26,15--41,16--37,16--54,17--22,17--44,18--31,18--41,18--47,19--28,19--33,19--39,20--41,20--56,21--48,22--51,23--34,23--40,23--53,24--38,24--44,25--31,25--32,25--50,26--52,27--29,27--43,29--36,29--50,30--33,30--37,30--57,32--48,33--38,34--54,35--53,36--46,37--39,42--44,42--49,43--55,45--47,45--53,46--54,46--55,49--56,52--57
0--15,0--45,0--46,1--6,1--25,1--54,2--14,2--27,2--38,3--20,3--32,3--55,4--26,4--37,4--45,5--22,5--40,5--57,6--12,6--31,7--29,7--47,7--48,8--42,8--45,8--54,9--34,9--46,9--48,10--20,10--42,10--55,11--26,11--27,11--57,12--23,12--46,13--17,13--24,13--30,14--16,14--38,15--44,15--50,16--36,16--56,17--18,17--36,18--23,18--34,19--31,19--34,19--52,20--39,21--22,21--25,21--53,22--50,23--43,24--25,24--28,26--56,27--44,28--31,28--41,29--51,29--52,30--36,30--51,32--33,32--49,33--54,33--56,35--39,35--41,35--55,37--40,37--49,38--44,39--43,40--48,41--53,42--57,43--49,47--50,47--52,51--53
