0--2,0--12,0--14,0--15,1--6,1--13,1--14,1--18,2--10,2--11,2--17,3--4,3--6,3--13,3--15,4--5,4--10,4--16,5--9,5--14,5--18,6--9,6--16,7--8,7--13,7--17,7--18,8--11,8--12,8--14,9--15,9--16,10--11,10--17,11--12,12--16,13--15,17--18
0--1,0--4,0--9,0--14,1--7,1--8,1--11,2--4,2--6,2--17,2--18,3--5,3--12,3--15,3--17,4--8,4--18,5--6,5--13,5--16,6--11,6--13,7--9,7--13,7--16,8--10,8--12,9--14,9--15,10--13,10--14,10--15,11--14,11--17,12--15,12--16,16--18,17--18
0--9,0--10,0--15,0--16,1--3,1--8,1--9,1--13,2--4,2--8,2--11,2--12,3--9,3--14,3--15,4--7,4--12,4--14,5--13,5--15,5--17,5--18,6--7,6--13,6--15,6--18,7--10,7--11,8--13,8--18,9--17,10--17,10--18,11--14,11--16,12--14,12--16,16--17
0--3,0--11,0--13,0--16,1--6,1--14,1--17,1--18,2--7,2--11,2--15,2--18,3--8,3--13,3--17,4--7,4--9,4--15,4--18,5--8,5--11,5--14,5--16,6--13,6--15,6--18,7--9,7--12,8--10,8--13,9--10,9--14,10--14,10--17,11--12,12--15,12--16,16--17
0--1,0--6,0--10,0--16,1--5,1--8,1--13,2--9,2--10,2--14,2--18,3--4,3--9,3--15,3--18,4--9,4--11,4--12,5--7,5--11,5--12,6--13,6--15,6--17,7--8,7--13,7--14,8--11,8--16,9--17,10--15,10--18,11--17,12--16,12--18,13--17,14--15,14--16
0--1,0--6,0--9,0--13,1--3,1--4,1--6,2--4,2--8,2--15,2--16,3--5,3--10,3--17,4--5,4--6,5--6,5--18,7--11,7--12,7--13,7--17,8--9,8--13,8--16,9--11,9--17,10--12,10--16,10--18,11--14,11--18,12--14,12--15,13--18,14--15,14--16,15--17
0--1,0--2,0--3,0--4,1--7,1--11,1--12,2--6,2--9,2--11,3--11,3--14,3--18,4--5,4--6,4--12,5--10,5--17,5--18,6--9,6--12,7--15,7--16,7--17,8--9,8--10,8--12,8--14,9--13,10--13,10--16,11--16,13--14,13--18,14--15,15--17,15--18,16--17
0--6,0--7,0--10,0--17,1--7,1--11,1--14,1--15,2--7,2--11,2--13,2--18,3--4,3--9,3--10,3--15,4--9,4--10,4--12,5--8,5--12,5--14,5--16,6--8,6--13,6--15,7--13,8--11,8--12,9--13,9--14,10--15,11--17,12--18,14--16,16--17,16--18,17--18
0--4,0--9,0--12,0--18,1--4,1--8,1--12,1--14,2--4,2--10,2--11,2--18,3--5,3--13,3--15,3--17,4--7,5--12,5--16,5--18,6--7,6--8,6--9,6--10,7--9,7--10,8--11,8--16,9--15,10--13,11--14,11--15,12--17,13--16,13--17,14--15,14--17,16--18
0--6,0--12,0--13,0--15,1--2,1--10,1--11,1--17,2--6,2--9,2--18,3--10,3--11,3--16,3--18,4--5,4--6,4--12,4--14,5--7,5--14,5--18,6--18,7--8,7--13,7--16,8--10,8--11,8--17,9--14,9--15,9--17,10--13,11--12,12--14,13--15,15--16,16--17
0--3,0--4,0--7,0--8,1--5,1--9,1--13,1--14,2--4,2--5,2--6,2--14,3--5,3--12,3--16,4--16,4--17,5--17,6--7,6--8,6--9,7--8,7--10,8--18,9--11,9--14,10--13,10--15,10--18,11--13,11--15,11--17,12--13,12--15,12--18,14--16,15--16,17--18
0--1,0--12,0--13,0--18,1--2,1--11,1--12,2--3,2--5,2--9,3--5,3--14,3--16,4--7,4--10,4--12,4--14,5--16,5--18,6--7,6--9,6--12,6--16,7--8,7--15,8--9,8--17,8--18,9--14,10--11,10--15,10--17,11--13,11--16,13--14,13--17,15--17,15--18
0--2,0--3,0--9,0--12,1--10,1--15,1--16,1--18,2--4,2--8,2--15,3--9,3--10,3--18,4--9,4--13,4--16,5--8,5--12,5--13,5--17,6--8,6--10,6--15,6--16,7--11,7--13,7--15,7--16,8--18,9--11,10--14,11--17,11--18,12--14,12--17,13--14,14--17
0--5,0--6,0--13,0--17,1--7,1--11,1--12,1--18,2--4,2--9,2--10,2--16,3--7,3--13,3--16,3--18,4--8,4--11,4--12,5--6,5--8,5--16,6--14,6--18,7--9,7--16,8--10,8--15,9--11,9--17,10--13,10--14,11--14,12--15,12--17,13--15,14--18,15--17
0--4,0--6,0--9,0--16,1--3,1--11,1--15,1--18,2--5,2--11,2--13,2--17,3--5,3--6,3--7,4--9,4--13,4--17,5--10,5--16,6--8,6--18,7--9,7--10,7--15,8--11,8--13,8--14,9--16,10--11,10--12,12--14,12--17,12--18,13--18,14--15,14--17,15--16
0--1,0--11,0--13,0--17,1--2,1--9,1--11,2--4,2--5,2--18,3--9,3--11,3--13,3--18,4--6,4--8,4--14,5--7,5--16,5--18,6--8,6--10,6--15,7--12,7--15,7--17,8--9,8--14,9--15,10--14,10--16,10--17,11--18,12--14,12--15,12--16,13--16,13--17
0--9,0--11,0--14,0--15,1--5,1--6,1--9,1--14,2--11,2--13,2--15,2--16,3--5,3--6,3--10,3--11,4--6,4--7,4--8,4--9,5--12,5--16,6--17,7--14,7--17,7--18,8--9,8--10,8--13,10--12,10--18,11--12,12--18,13--16,13--17,14--18,15--16,15--17
0--3,0--4,0--5,0--11,1--3,1--5,1--12,1--14,2--7,2--8,2--10,2--14,3--10,3--15,4--9,4--13,4--14,5--8,5--18,6--13,6--15,6--17,6--18,7--9,7--16,7--18,8--11,8--12,9--10,9--15,10--13,11--12,11--14,12--16,13--17,15--16,16--17,17--18
0--6,0--13,0--15,0--17,1--4,1--11,1--12,1--13,2--5,2--8,2--11,2--14,3--7,3--14,3--16,3--17,4--12,4--15,4--18,5--8,5--10,5--16,6--7,6--10,6--14,7--11,7--15,8--9,8--17,9--10,9--11,9--13,10--18,12--16,12--18,13--16,14--17,15--18
