0--2,0--5,0--19,0--20,1--2,1--10,1--14,1--15,2--17,2--18,3--4,3--7,3--9,3--20,4--9,4--15,4--16,5--9,5--17,5--20,6--7,6--11,6--12,6--14,7--8,7--15,8--13,8--16,8--20,9--18,10--13,10--17,10--18,11--12,11--14,11--19,12--13,12--17,13--16,14--19,15--18,16--19
0--1,0--5,0--10,0--16,1--5,1--8,1--20,2--5,2--10,2--13,2--15,3--8,3--12,3--13,3--20,4--11,4--14,4--15,4--16,5--20,6--7,6--8,6--18,6--19,7--11,7--17,7--18,8--13,9--10,9--14,9--16,9--19,10--12,11--15,11--18,12--14,12--19,13--18,14--17,15--17,16--19,17--20
0--8,0--10,0--11,0--12,1--8,1--16,1--17,1--20,2--6,2--7,2--12,2--17,3--4,3--9,3--11,3--15,4--5,4--9,4--19,5--14,5--15,5--18,6--7,6--18,6--19,7--19,7--20,8--12,8--13,9--16,9--20,10--13,10--17,10--19,11--16,11--18,12--18,13--14,13--20,14--15,14--16,15--17
0--6,0--12,0--13,0--14,1--2,1--11,1--18,1--19,2--4,2--11,2--20,3--4,3--14,3--15,3--17,4--9,4--11,5--6,5--9,5--13,5--20,6--7,6--10,7--10,7--12,7--19,8--10,8--11,8--12,8--16,9--14,9--16,10--18,12--15,13--17,13--20,14--16,15--18,15--19,16--17,17--18,19--20
0--1,0--13,0--14,0--15,1--14,1--18,1--19,2--3,2--5,2--10,2--18,3--9,3--12,3--20,4--6,4--8,4--15,4--17,5--6,5--16,5--19,6--9,6--11,7--10,7--11,7--16,7--19,8--12,8--14,8--18,9--13,9--14,10--12,10--16,11--15,11--17,12--16,13--15,13--20,17--18,17--20,19--20
0--1,0--4,0--7,0--15,1--10,1--12,1--17,2--3,2--10,2--17,2--18,3--13,3--16,3--19,4--9,4--12,4--15,5--6,5--8,5--10,5--18,6--8,6--17,6--18,7--13,7--15,7--16,8--13,8--20,9--10,9--14,9--19,11--12,11--16,11--17,11--20,12--14,13--19,14--18,14--20,15--19,16--20
0--9,0--15,0--17,0--20,1--5,1--7,1--16,1--18,2--3,2--9,2--11,2--12,3--8,3--13,3--20,4--13,4--16,4--18,4--19,5--7,5--11,5--17,6--7,6--9,6--10,6--14,7--8,8--11,8--16,9--10,10--12,10--18,11--14,12--14,12--16,13--17,13--19,14--20,15--17,15--18,15--19,19--20
0--6,0--7,0--12,0--15,1--2,1--3,1--4,1--17,2--11,2--16,2--17,3--13,3--15,3--16,4--11,4--12,4--20,5--6,5--7,5--9,5--13,6--8,6--9,7--16,7--19,8--13,8--17,8--18,9--11,9--14,10--14,10--18,10--19,10--20,11--18,12--14,12--16,13--19,14--20,15--19,15--20,17--18
0--8,0--13,0--17,0--20,1--10,1--14,1--15,1--19,2--3,2--4,2--6,2--15,3--6,3--11,3--16,4--9,4--16,4--17,5--12,5--14,5--16,5--19,6--8,6--20,7--8,7--18,7--19,7--20,8--13,9--10,9--15,9--18,10--11,10--13,11--17,11--20,12--17,12--18,12--19,13--16,14--15,14--18
0--3,0--4,0--7,0--16,1--2,1--5,1--6,1--13,2--6,2--16,2--19,3--7,3--9,3--11,4--5,4--8,4--10,5--9,5--16,6--15,6--19,7--18,7--20,8--10,8--16,8--17,9--15,9--18,10--14,10--17,11--15,11--17,11--19,12--13,12--14,12--19,12--20,13--18,13--20,14--15,14--17,18--20
