0--2,0--5,0--21,0--22,1--5,1--13,1--15,1--21,2--3,2--13,2--16,3--9,3--11,3--18,4--6,4--7,4--8,4--22,5--16,5--20,6--15,6--19,6--22,7--8,7--14,7--18,8--14,8--17,9--12,9--13,9--14,10--16,10--17,10--18,10--22,11--12,11--16,11--21,12--15,12--20,13--20,14--15,17--19,17--20,18--19,19--21
0--10,0--11,0--16,0--19,1--2,1--8,1--14,1--21,2--14,2--16,2--19,3--4,3--5,3--17,3--19,4--9,4--15,4--22,5--10,5--12,5--19,6--9,6--14,6--17,6--18,7--11,7--13,7--15,7--20,8--11,8--15,8--18,9--15,9--21,10--18,10--20,11--13,12--13,12--17,12--21,13--14,16--20,16--22,17--22,18--21,20--22
0--4,0--15,0--21,0--22,1--7,1--9,1--11,1--17,2--4,2--6,2--8,2--14,3--10,3--11,3--13,3--17,4--14,4--19,5--8,5--9,5--20,5--21,6--10,6--13,6--14,7--15,7--18,7--19,8--11,8--19,9--12,9--22,10--12,10--15,11--12,12--16,13--15,13--16,14--21,16--20,16--22,17--18,17--22,18--19,18--20,20--21
0--7,0--16,0--18,0--20,1--2,1--10,1--11,1--17,2--3,2--8,2--11,3--5,3--7,3--20,4--10,4--13,4--15,4--17,5--11,5--13,5--19,6--12,6--14,6--15,6--17,7--8,7--21,8--19,8--21,9--15,9--18,9--19,9--22,10--17,10--19,11--22,12--18,12--21,12--22,13--14,13--18,14--16,14--21,15--16,16--20,20--22
0--3,0--12,0--15,0--21,1--7,1--9,1--10,1--16,2--5,2--6,2--17,2--20,3--4,3--8,3--19,4--9,4--14,4--15,5--8,5--10,5--21,6--14,6--16,6--22,7--9,7--18,7--20,8--16,8--22,9--12,10--12,10--15,11--14,11--17,11--20,11--22,12--18,13--19,13--20,13--21,13--22,14--18,15--17,16--17,18--19,19--21
0--4,0--10,0--14,0--19,1--6,1--7,1--8,1--16,2--7,2--15,2--20,2--21,3--5,3--8,3--11,3--13,4--10,4--14,4--17,5--9,5--12,5--22,6--10,6--11,6--14,7--8,7--14,8--22,9--15,9--16,9--18,10--20,11--12,11--19,12--16,12--20,13--16,13--21,13--22,15--17,15--20,17--18,17--22,18--19,18--21,19--21
0--1,0--4,0--15,0--22,1--17,1--21,1--22,2--7,2--15,2--17,2--20,3--4,3--8,3--13,3--16,4--10,4--22,5--9,5--12,5--13,5--16,6--9,6--10,6--11,6--19,7--8,7--12,7--14,8--10,8--18,9--15,9--18,10--17,11--17,11--19,11--20,12--14,12--16,13--14,13--21,14--19,15--22,16--18,18--20,19--21,20--21
0--3,0--8,0--17,0--18,1--6,1--13,1--16,1--19,2--7,2--16,2--18,2--22,3--4,3--9,3--15,4--9,4--13,4--19,5--12,5--16,5--21,5--22,6--7,6--14,6--20,7--8,7--13,8--10,8--15,9--10,9--19,10--11,10--21,11--13,11--14,11--17,12--18,12--21,12--22,14--19,14--20,15--16,15--17,17--21,18--20,20--22
0--2,0--3,0--13,0--14,1--4,1--11,1--12,1--16,2--14,2--17,2--22,3--6,3--11,3--22,4--6,4--19,4--22,5--13,5--17,5--18,5--20,6--7,6--21,7--9,7--13,7--18,8--9,8--15,8--16,8--21,9--11,9--18,10--14,10--15,10--16,10--17,11--19,12--15,12--16,12--21,13--22,14--18,15--20,17--19,19--20,20--21
0--11,0--14,0--15,0--22,1--7,1--12,1--16,1--19,2--8,2--9,2--11,2--16,3--5,3--10,3--12,3--17,4--10,4--13,4--17,4--21,5--10,5--13,5--20,6--9,6--12,6--14,6--21,7--8,7--11,7--22,8--19,8--21,9--15,9--17,10--15,11--18,12--20,13--18,13--19,14--17,14--18,15--21,16--19,16--22,18--20,20--22
