0--2,0--11,0--13,0--22,1--3,1--12,1--14,1--22,2--6,2--9,2--17,3--10,3--14,3--19,4--7,4--12,4--13,4--24,5--6,5--16,5--18,5--23,6--18,6--21,7--11,7--13,7--18,8--11,8--12,8--21,8--22,9--17,9--19,9--20,10--13,10--14,10--20,11--15,12--24,14--23,15--17,15--20,15--24,16--17,16--21,16--22,18--19,19--24,20--23,21--23
0--2,0--8,0--9,0--19,1--3,1--8,1--16,1--22,2--13,2--17,2--20,3--8,3--13,3--16,4--5,4--11,4--12,4--21,5--12,5--16,5--17,6--10,6--13,6--15,6--24,7--9,7--13,7--17,7--21,8--18,9--19,9--21,10--18,10--19,10--21,11--14,11--17,11--23,12--22,12--23,14--15,14--18,14--20,15--16,15--22,18--20,19--24,20--24,22--23,23--24
0--1,0--6,0--13,0--15,1--7,1--8,1--10,2--7,2--13,2--14,2--23,3--5,3--8,3--19,3--24,4--11,4--18,4--21,4--24,5--11,5--14,5--20,6--10,6--21,6--23,7--12,7--14,8--21,8--22,9--10,9--17,9--18,9--23,10--22,11--12,11--22,12--15,12--19,13--17,13--20,14--20,15--17,15--19,16--18,16--21,16--23,16--24,17--24,18--19,20--22
0--3,0--6,0--16,0--17,1--4,1--10,1--19,1--23,2--3,2--10,2--13,2--24,3--13,3--21,4--15,4--20,4--23,5--8,5--17,5--22,5--23,6--12,6--17,6--22,7--8,7--9,7--21,7--24,8--18,8--19,9--17,9--18,9--19,10--11,10--20,11--20,11--23,11--24,12--16,12--20,12--22,13--16,13--24,14--15,14--18,14--19,14--21,15--21,15--22,16--18
0--14,0--18,0--22,0--24,1--9,1--16,1--23,1--24,2--7,2--10,2--13,2--17,3--4,3--6,3--11,3--14,4--5,4--9,4--18,5--12,5--20,5--24,6--7,6--19,6--21,7--17,7--22,8--11,8--16,8--21,8--22,9--13,9--16,10--13,10--15,10--20,11--17,11--19,12--15,12--20,12--23,13--19,14--20,14--24,15--19,15--21,16--22,17--23,18--21,18--23
0--9,0--12,0--21,0--24,1--6,1--13,1--17,1--18,2--6,2--7,2--15,2--19,3--7,3--9,3--11,3--22,4--14,4--15,4--23,4--24,5--8,5--12,5--14,5--19,6--18,6--22,7--13,7--24,8--15,8--20,8--22,9--16,9--23,10--13,10--18,10--20,10--21,11--15,11--16,11--17,12--18,12--19,13--23,14--20,14--23,16--17,16--21,17--19,20--22,21--24
0--2,0--16,0--18,0--22,1--2,1--8,1--12,1--18,2--3,2--10,3--10,3--16,3--21,4--7,4--11,4--13,4--19,5--9,5--14,5--17,5--23,6--13,6--15,6--18,6--23,7--8,7--12,7--20,8--21,8--22,9--13,9--17,9--24,10--21,10--24,11--14,11--16,11--19,12--19,12--20,13--18,14--15,14--23,15--19,15--24,16--22,17--20,17--21,20--22,23--24
0--4,0--9,0--11,0--19,1--5,1--12,1--16,1--24,2--10,2--11,2--13,2--15,3--6,3--10,3--11,3--24,4--12,4--13,4--14,5--7,5--20,5--22,6--7,6--19,6--21,7--21,7--23,8--10,8--17,8--21,8--23,9--17,9--21,9--23,10--24,11--18,12--22,12--24,13--17,13--18,14--15,14--16,14--19,15--16,15--22,16--20,17--20,18--19,18--22,20--23
0--9,0--10,0--14,0--20,1--6,1--8,1--12,1--22,2--7,2--11,2--16,2--19,3--7,3--8,3--13,3--22,4--16,4--17,4--20,4--23,5--6,5--12,5--13,5--14,6--13,6--21,7--13,7--18,8--9,8--24,9--15,9--18,10--11,10--16,10--20,11--20,11--24,12--14,12--17,14--22,15--21,15--23,15--24,16--17,17--19,18--19,18--24,19--21,21--23,22--23
0--4,0--11,0--16,0--21,1--3,1--4,1--10,1--24,2--9,2--15,2--23,2--24,3--6,3--8,3--18,4--13,4--17,5--7,5--9,5--18,5--24,6--10,6--14,6--22,7--10,7--14,7--23,8--17,8--19,8--22,9--15,9--23,10--22,11--14,11--17,11--18,12--13,12--15,12--16,12--21,13--19,13--24,14--20,15--20,16--21,16--22,17--20,18--19,19--20,21--23
