0--1,0--12,0--15,0--20,1--7,1--10,1--25,2--9,2--17,2--23,2--24,3--4,3--10,3--11,3--13,4--10,4--11,4--24,5--7,5--12,5--19,5--21,6--8,6--16,6--17,6--21,7--15,7--24,8--13,8--14,8--20,9--18,9--24,9--25,10--23,11--19,11--22,12--16,12--25,13--14,13--15,14--16,14--20,15--23,16--17,17--18,18--21,18--22,19--20,19--22,21--23,22--25
0--16,0--18,0--19,0--23,1--4,1--11,1--13,1--21,2--9,2--11,2--19,2--23,3--10,3--14,3--15,3--24,4--7,4--13,4--23,5--9,5--13,5--18,5--22,6--8,6--12,6--17,6--19,7--10,7--22,7--25,8--9,8--12,8--25,9--15,10--14,10--20,11--16,11--20,12--16,12--23,13--21,14--15,14--25,15--24,16--18,17--18,17--22,17--24,19--20,20--22,21--24,21--25
0--9,0--12,0--16,0--19,1--4,1--9,1--21,1--22,2--3,2--4,2--21,2--22,3--11,3--13,3--25,4--19,4--25,5--6,5--17,5--23,5--24,6--12,6--13,6--17,7--14,7--15,7--16,7--24,8--10,8--14,8--18,8--22,9--13,9--16,10--12,10--16,10--23,11--15,11--18,11--21,12--21,13--18,14--19,14--20,15--17,15--20,17--22,18--24,19--25,20--23,20--24,23--25
0--8,0--16,0--22,0--24,1--5,1--8,1--11,1--23,2--6,2--18,2--22,2--24,3--5,3--12,3--13,3--19,4--17,4--20,4--21,4--25,5--7,5--14,6--10,6--20,6--21,7--12,7--13,7--21,8--12,8--15,9--10,9--13,9--18,9--23,10--22,10--25,11--12,11--16,11--17,13--25,14--20,14--24,14--25,15--19,15--21,15--23,16--18,16--22,17--19,17--23,18--19,20--24
0--2,0--5,0--17,0--22,1--5,1--8,1--11,1--17,2--5,2--22,2--25,3--9,3--10,3--15,3--22,4--10,4--12,4--23,4--24,5--11,6--14,6--16,6--17,6--25,7--13,7--16,7--18,7--19,8--9,8--22,8--24,9--10,9--25,10--19,11--12,11--21,12--14,12--15,13--16,13--19,13--25,14--15,14--24,15--18,16--20,17--21,18--20,18--23,19--21,20--23,20--24,21--23
0--6,0--9,0--16,0--18,1--3,1--4,1--7,1--23,2--13,2--14,2--17,2--21,3--5,3--6,3--10,4--5,4--14,4--21,5--19,5--22,6--21,6--24,7--10,7--12,7--21,8--9,8--13,8--15,8--25,9--12,9--17,10--16,10--18,11--13,11--14,11--20,11--22,12--17,12--23,13--18,14--15,15--16,15--20,16--19,17--20,18--24,19--24,19--25,20--23,22--24,22--25,23--25
0--1,0--4,0--9,0--17,1--2,1--4,1--14,2--7,2--9,2--24,3--5,3--17,3--19,3--21,4--7,4--25,5--7,5--19,5--20,6--10,6--13,6--23,6--24,7--15,8--10,8--12,8--24,8--25,9--13,9--23,10--14,10--22,11--17,11--18,11--20,11--21,12--16,12--19,12--24,13--16,13--21,14--21,14--22,15--18,15--20,15--22,16--18,16--25,17--23,18--23,19--25,20--22
0--1,0--12,0--23,0--24,1--9,1--13,1--22,2--10,2--20,2--22,2--23,3--6,3--10,3--14,3--15,4--5,4--7,4--20,4--21,5--6,5--17,5--23,6--13,6--22,7--8,7--10,7--16,8--9,8--11,8--24,9--12,9--16,10--18,11--12,11--19,11--24,12--19,13--18,13--21,14--17,14--20,14--25,15--16,15--17,15--25,16--21,17--18,18--22,19--20,19--25,21--23,24--25
0--14,0--19,0--21,0--23,1--8,1--14,1--17,1--22,2--7,2--9,2--13,2--24,3--9,3--10,3--12,3--19,4--17,4--19,4--24,4--25,5--7,5--14,5--21,5--22,6--11,6--12,6--18,6--25,7--15,7--19,8--10,8--24,8--25,9--11,9--16,10--11,10--20,11--20,12--13,12--15,13--15,13--23,14--16,15--20,16--22,16--25,17--18,17--23,18--21,18--24,20--22,21--23
0--4,0--18,0--23,0--25,1--4,1--7,1--9,1--20,2--8,2--12,2--15,2--22,3--12,3--13,3--15,3--19,4--11,4--23,5--9,5--14,5--19,5--25,6--11,6--19,6--20,6--23,7--10,7--13,7--20,8--18,8--23,8--24,9--11,9--22,10--15,10--24,10--25,11--21,12--16,12--17,13--16,13--17,14--17,14--19,14--22,15--24,16--21,16--24,17--21,18--20,18--21,22--25
