0--1,0--20,0--26,0--28,1--13,1--22,1--25,2--3,2--21,2--26,2--31,3--5,3--23,3--27,4--6,4--16,4--17,4--24,5--7,5--14,5--15,6--19,6--25,6--29,7--15,7--25,7--31,8--9,8--10,8--11,8--22,9--22,9--28,9--29,10--15,10--19,10--20,11--14,11--22,11--24,12--17,12--23,12--24,12--27,13--14,13--16,13--19,14--21,15--31,16--17,16--23,17--18,18--24,18--27,18--30,19--20,20--30,21--23,21--28,25--26,26--30,27--30,28--29,29--31
0--9,0--20,0--23,0--26,1--8,1--13,1--27,1--31,2--7,2--10,2--19,2--26,3--11,3--14,3--23,3--29,4--9,4--13,4--25,4--28,5--7,5--10,5--11,5--14,6--18,6--20,6--21,6--28,7--17,7--22,8--11,8--16,8--26,9--10,9--20,10--29,11--22,12--15,12--19,12--22,12--25,13--15,13--31,14--21,14--23,15--16,15--27,16--24,16--28,17--18,17--24,17--29,18--25,18--30,19--28,19--30,20--22,21--25,21--30,23--30,24--27,24--31,26--31,27--29
0--5,0--14,0--20,0--21,1--4,1--19,1--26,1--27,2--5,2--6,2--18,2--22,3--10,3--15,3--28,3--31,4--9,4--17,4--20,5--6,5--21,6--13,6--29,7--13,7--16,7--17,7--23,8--11,8--14,8--25,8--30,9--18,9--24,9--26,10--11,10--23,10--27,11--17,11--28,12--13,12--18,12--22,12--24,13--20,14--25,14--29,15--16,15--19,15--31,16--24,16--30,17--29,18--21,19--28,19--31,20--22,21--26,22--27,23--29,23--30,24--27,25--28,25--31,26--30
0--7,0--18,0--19,0--23,1--10,1--13,1--22,1--24,2--6,2--20,2--27,2--31,3--8,3--21,3--27,3--29,4--15,4--24,4--28,4--31,5--10,5--13,5--26,5--28,6--7,6--29,6--30,7--9,7--22,8--12,8--23,8--25,9--14,9--24,9--26,10--15,10--16,11--13,11--22,11--28,11--31,12--16,12--25,12--26,13--18,14--25,14--29,14--30,15--19,15--20,16--17,16--19,17--24,17--28,17--30,18--20,18--21,19--21,20--23,21--27,22--23,25--31,26--30,27--29
0--3,0--9,0--25,0--31,1--2,1--7,1--16,1--19,2--16,2--17,2--23,3--4,3--13,3--27,4--11,4--14,4--24,5--6,5--11,5--18,5--20,6--22,6--29,6--30,7--10,7--23,7--29,8--10,8--16,8--22,8--30,9--17,9--22,9--23,10--12,10--30,11--14,11--15,12--13,12--15,12--21,13--19,13--26,14--22,14--25,15--18,15--26,16--31,17--21,17--30,18--24,18--31,19--25,19--28,20--21,20--27,20--29,21--26,23--28,24--27,24--28,25--29,26--31,27--28
0--1,0--14,0--16,0--18,1--6,1--21,1--22,2--14,2--21,2--28,2--29,3--10,3--21,3--28,3--30,4--5,4--15,4--25,4--26,5--8,5--15,5--26,6--7,6--16,6--18,7--13,7--17,7--29,8--10,8--12,8--20,9--10,9--15,9--20,9--29,10--13,11--13,11--14,11--22,11--24,12--14,12--19,12--24,13--31,15--16,16--17,17--22,17--23,18--27,18--31,19--23,19--25,19--27,20--23,20--25,21--24,22--25,23--30,24--26,26--27,27--31,28--30,28--31,29--30
0--18,0--20,0--21,0--26,1--7,1--25,1--27,1--31,2--6,2--19,2--23,2--24,3--6,3--16,3--29,3--30,4--5,4--8,4--10,4--15,5--20,5--25,5--26,6--18,6--28,7--19,7--21,7--25,8--12,8--14,8--23,9--11,9--13,9--26,9--31,10--24,10--28,10--29,11--12,11--16,11--22,12--24,12--28,13--16,13--18,13--30,14--15,14--17,14--19,15--22,15--27,16--21,17--20,17--21,17--23,18--27,19--23,20--25,22--29,22--30,24--31,26--28,27--29,30--31
0--3,0--4,0--17,0--29,1--12,1--18,1--23,1--24,2--4,2--8,2--9,2--20,3--18,3--24,3--28,4--6,4--30,5--6,5--8,5--10,5--15,6--7,6--17,7--11,7--22,7--26,8--9,8--29,9--25,9--29,10--16,10--18,10--21,11--12,11--14,11--17,12--13,12--19,13--15,13--21,13--29,14--22,14--24,14--30,15--19,15--21,16--20,16--25,16--28,17--20,18--30,19--23,19--28,20--27,21--27,22--27,22--30,23--26,23--31,24--31,25--26,25--31,26--28,27--31
0--8,0--14,0--18,0--31,1--11,1--19,1--21,1--24,2--14,2--17,2--23,2--26,3--7,3--13,3--21,3--26,4--6,4--12,4--20,4--31,5--7,5--8,5--22,5--25,6--10,6--15,6--21,7--20,7--24,8--15,8--18,9--10,9--12,9--16,9--19,10--22,10--27,11--14,11--16,11--27,12--13,12--27,13--17,13--30,14--25,15--20,15--24,16--17,16--21,17--30,18--23,18--30,19--25,19--26,20--29,22--28,22--31,23--28,23--29,24--29,25--30,26--29,27--28,28--31
0--4,0--16,0--26,0--30,1--8,1--13,1--17,1--24,2--6,2--15,2--26,2--31,3--8,3--15,3--16,3--28,4--9,4--21,4--24,5--6,5--9,5--25,5--30,6--10,6--13,7--16,7--23,7--25,7--26,8--11,8--13,9--12,9--25,10--14,10--19,10--24,11--14,11--20,11--29,12--16,12--20,12--28,13--18,14--21,14--28,15--22,15--31,17--19,17--24,17--27,18--27,18--29,18--30,19--27,19--31,20--22,20--23,21--25,21--31,22--23,22--29,23--27,26--29,28--30
0--3,0--17,0--23,0--25,1--13,1--20,1--22,1--28,2--4,2--12,2--23,2--27,3--4,3--7,3--25,4--5,4--31,5--13,5--14,5--26,6--8,6--9,6--11,6--28,7--17,7--19,7--31,8--10,8--26,8--28,9--10,9--14,9--15,10--18,10--20,11--14,11--21,11--29,12--25,12--29,12--30,13--17,13--19,14--30,15--18,15--22,15--25,16--19,16--21,16--24,16--29,17--30,18--20,18--27,19--23,20--30,21--27,21--29,22--23,22--24,24--26,24--27,26--31,28--31
