0--3,0--7,0--11,0--28,1--6,1--9,1--13,1--29,2--24,2--27,2--29,2--30,3--9,3--10,3--15,4--7,4--18,4--22,4--24,5--8,5--15,5--21,5--24,6--15,6--17,6--30,7--14,7--17,8--10,8--20,8--31,9--23,9--25,10--13,10--25,11--12,11--17,11--33,12--13,12--18,12--20,13--19,14--16,14--20,14--32,15--29,16--18,16--20,16--30,17--27,18--19,19--21,19--26,21--23,21--25,22--27,22--28,22--33,23--24,23--28,25--32,26--27,26--31,26--33,28--32,29--32,30--31,31--33
0--10,0--12,0--31,0--32,1--4,1--24,1--26,1--30,2--7,2--9,2--11,2--20,3--4,3--7,3--16,3--21,4--27,4--28,5--9,5--14,5--16,5--28,6--10,6--17,6--18,6--20,7--19,7--32,8--17,8--18,8--20,8--22,9--12,9--27,10--25,10--32,11--16,11--19,11--23,12--15,12--25,13--26,13--27,13--30,13--31,14--19,14--27,14--31,15--25,15--28,15--29,16--33,17--18,17--26,18--31,19--32,20--33,21--23,21--29,21--30,22--23,22--24,22--33,23--33,24--28,24--30,25--29,26--29
0--2,0--8,0--18,0--25,1--9,1--20,1--22,1--24,2--22,2--23,2--30,3--11,3--16,3--26,3--27,4--8,4--26,4--28,4--32,5--6,5--12,5--13,5--16,6--7,6--10,6--20,7--11,7--16,7--19,8--17,8--24,9--20,9--22,9--28,10--14,10--21,10--25,11--21,11--29,12--15,12--22,12--29,13--17,13--28,13--30,14--15,14--23,14--30,15--31,15--33,16--19,17--26,17--31,18--19,18--30,18--31,19--24,20--27,21--29,21--32,23--27,23--33,24--33,25--27,25--32,26--33,28--29,31--32
0--5,0--11,0--28,0--31,1--3,1--7,1--20,1--30,2--3,2--5,2--7,2--15,3--18,3--25,4--22,4--23,4--29,4--31,5--11,5--16,6--15,6--27,6--29,6--31,7--13,7--15,8--10,8--21,8--22,8--25,9--12,9--16,9--26,9--27,10--14,10--30,10--32,11--16,11--28,12--13,12--24,12--25,13--19,13--21,14--17,14--24,14--33,15--23,16--26,17--22,17--23,17--33,18--21,18--28,18--33,19--22,19--24,19--33,20--29,20--31,20--32,21--32,23--25,24--30,26--27,26--28,27--30,29--32
0--10,0--21,0--25,0--28,1--20,1--22,1--24,1--32,2--10,2--13,2--17,2--29,3--4,3--10,3--13,3--24,4--18,4--24,4--30,5--6,5--14,5--19,5--25,6--8,6--15,6--30,7--9,7--18,7--23,7--33,8--16,8--27,8--31,9--13,9--17,9--19,10--24,11--19,11--20,11--21,11--33,12--15,12--18,12--27,12--29,13--14,14--22,14--23,15--22,15--31,16--17,16--21,16--23,17--25,18--29,19--22,20--28,20--32,21--33,23--31,25--26,26--28,26--32,26--33,27--30,27--31,28--29,30--32
0--4,0--6,0--30,0--33,1--9,1--12,1--17,1--29,2--5,2--20,2--21,2--28,3--5,3--6,3--21,3--23,4--20,4--23,4--24,5--14,5--30,6--17,6--33,7--9,7--19,7--22,7--28,8--15,8--16,8--26,8--27,9--26,9--28,10--12,10--14,10--25,10--31,11--16,11--25,11--27,11--32,12--14,12--29,13--17,13--21,13--22,13--23,14--24,15--22,15--28,15--32,16--18,16--33,17--19,18--27,18--29,18--31,19--31,19--33,20--24,20--25,21--30,22--23,24--29,25--26,26--31,27--32,30--32
0--2,0--15,0--20,0--26,1--7,1--9,1--17,1--32,2--4,2--25,2--31,3--5,3--8,3--20,3--29,4--12,4--14,4--30,5--27,5--30,5--32,6--15,6--16,6--17,6--32,7--8,7--21,7--22,8--11,8--18,9--23,9--25,9--27,10--13,10--16,10--19,10--30,11--24,11--30,11--33,12--18,12--20,12--28,13--14,13--16,13--32,14--21,14--24,15--21,15--26,16--22,17--28,17--29,18--23,18--26,19--25,19--28,19--29,20--31,21--28,22--29,22--33,23--24,23--33,24--25,26--31,27--31,27--33
0--16,0--23,0--30,0--33,1--2,1--5,1--12,1--18,2--15,2--21,2--25,3--9,3--13,3--15,3--22,4--10,4--17,4--27,4--32,5--6,5--13,5--21,6--24,6--25,6--26,7--11,7--13,7--14,7--27,8--15,8--18,8--25,8--28,9--17,9--22,9--26,10--14,10--18,10--27,11--20,11--31,11--33,12--14,12--17,12--19,13--29,14--24,15--29,16--22,16--28,16--30,17--32,18--33,19--20,19--24,19--30,20--23,20--26,21--23,21--29,22--30,23--26,24--31,25--32,27--31,28--29,28--32,31--33
0--11,0--22,0--23,0--32,1--17,1--19,1--24,1--32,2--6,2--27,2--30,2--31,3--13,3--17,3--25,3--28,4--14,4--17,4--29,4--31,5--8,5--14,5--18,5--20,6--14,6--21,6--33,7--16,7--19,7--23,7--32,8--11,8--20,8--33,9--12,9--26,9--29,9--31,10--12,10--13,10--27,10--32,11--20,11--21,12--15,12--23,13--24,13--25,14--22,15--16,15--17,15--27,16--22,16--33,18--24,18--28,18--30,19--20,19--30,21--24,21--33,22--26,23--25,25--28,26--28,26--29,27--30,29--31
0--7,0--8,0--20,0--29,1--6,1--16,1--23,1--24,2--10,2--13,2--28,2--33,3--8,3--12,3--14,3--15,4--22,4--24,4--32,4--33,5--6,5--8,5--9,5--21,6--13,6--25,7--20,7--23,7--28,8--11,9--13,9--14,9--17,10--14,10--17,10--30,11--24,11--29,11--30,12--18,12--23,12--26,13--32,14--31,15--16,15--27,15--30,16--18,16--19,17--20,17--23,18--19,18--33,19--26,19--30,20--31,21--22,21--26,21--27,22--31,22--32,24--25,25--27,25--31,26--29,27--28,28--33,29--32
