0--9,0--16,0--19,0--23,1--4,1--7,1--30,1--36,2--11,2--20,2--32,2--37,3--11,3--12,3--30,3--37,4--17,4--28,4--33,5--14,5--18,5--24,5--30,6--15,6--26,6--27,6--29,7--16,7--21,7--23,8--17,8--18,8--31,8--34,9--24,9--26,9--34,10--14,10--26,10--27,10--34,11--13,11--20,12--13,12--28,12--29,13--20,13--24,14--25,14--35,15--16,15--18,15--31,16--27,17--18,17--21,19--21,19--22,19--36,20--22,21--32,22--30,22--35,23--29,23--33,24--33,25--27,25--32,25--33,26--31,28--31,28--34,29--35,32--37,35--36,36--37
0--15,0--18,0--26,0--35,1--4,1--6,1--9,1--23,2--3,2--7,2--20,2--28,3--17,3--21,3--35,4--18,4--22,4--29,5--6,5--13,5--19,5--24,6--15,6--22,7--11,7--25,7--32,8--10,8--12,8--16,8--30,9--14,9--23,9--37,10--20,10--33,10--36,11--16,11--27,11--37,12--19,12--25,12--35,13--23,13--30,13--36,14--15,14--20,14--21,15--34,16--24,16--32,17--25,17--28,17--32,18--27,18--29,19--21,19--36,20--24,21--26,22--26,22--30,23--35,24--31,25--28,26--37,27--31,27--33,28--31,29--32,29--33,30--34,31--34,33--37,34--36
0--6,0--15,0--18,0--31,1--2,1--3,1--16,1--24,2--19,2--28,2--35,3--5,3--7,3--17,4--9,4--18,4--32,4--37,5--7,5--27,5--34,6--10,6--14,6--20,7--17,7--28,8--23,8--28,8--31,8--35,9--15,9--22,9--25,10--14,10--26,10--29,11--12,11--19,11--32,11--34,12--31,12--32,12--36,13--23,13--33,13--36,13--37,14--19,14--25,15--34,15--37,16--17,16--30,16--36,17--30,18--32,18--36,19--29,20--21,20--24,20--26,21--22,21--28,21--37,22--27,22--33,23--29,23--35,24--26,24--34,25--27,25--33,26--30,27--30,29--31,33--35
0--6,0--10,0--25,0--26,1--7,1--23,1--34,1--35,2--9,2--22,2--30,2--36,3--7,3--11,3--24,3--30,4--16,4--24,4--34,4--37,5--6,5--10,5--12,5--25,6--8,6--20,7--15,7--27,8--16,8--29,8--32,9--23,9--26,9--31,10--14,10--20,11--14,11--23,11--28,12--13,12--18,12--35,13--15,13--18,13--30,14--17,14--24,15--33,15--36,16--22,16--37,17--32,17--33,17--36,18--29,18--37,19--25,19--27,19--32,19--35,20--25,20--28,21--29,21--31,21--34,21--37,22--27,22--33,23--32,24--28,26--31,26--33,27--31,28--30,29--35,34--36
0--2,0--3,0--28,0--30,1--8,1--11,1--22,1--23,2--5,2--8,2--14,3--9,3--13,3--18,4--11,4--13,4--24,4--25,5--10,5--17,5--32,6--9,6--28,6--31,6--32,7--21,7--23,7--28,7--34,8--19,8--24,9--30,9--36,10--14,10--22,10--35,11--18,11--21,12--15,12--17,12--21,12--30,13--16,13--26,14--16,14--23,15--21,15--24,15--26,16--20,16--26,17--22,17--35,18--24,18--25,19--20,19--27,19--36,20--30,20--37,22--36,23--25,25--29,26--27,27--31,27--33,28--37,29--33,29--34,29--37,31--34,31--35,32--35,32--36,33--34,33--37
0--4,0--12,0--18,0--19,1--4,1--8,1--24,1--25,2--8,2--17,2--28,2--30,3--20,3--24,3--25,3--27,4--17,4--31,5--16,5--21,5--33,5--35,6--9,6--13,6--16,6--18,7--9,7--24,7--29,7--32,8--23,8--34,9--16,9--25,10--11,10--14,10--15,10--21,11--25,11--32,11--34,12--15,12--23,12--27,13--14,13--26,13--27,14--31,14--34,15--28,15--36,16--31,17--29,17--30,18--22,18--26,19--26,19--30,19--36,20--27,20--31,20--35,21--33,21--37,22--29,22--33,22--36,23--24,23--29,26--28,28--32,30--33,32--37,34--37,35--36,35--37
0--9,0--16,0--25,0--33,1--3,1--16,1--28,1--30,2--6,2--12,2--26,2--35,3--9,3--22,3--24,4--14,4--23,4--25,4--36,5--11,5--17,5--32,5--37,6--18,6--20,6--21,7--8,7--13,7--30,7--34,8--15,8--16,8--36,9--17,9--33,10--12,10--22,10--29,10--37,11--26,11--27,11--35,12--14,12--33,13--23,13--32,13--34,14--21,14--31,15--22,15--28,15--29,16--35,17--18,17--29,18--28,18--36,19--24,19--28,19--30,19--36,20--29,20--31,20--32,21--24,21--26,22--31,23--25,23--35,24--34,25--34,26--33,27--31,27--32,27--37,30--37
0--2,0--22,0--23,0--30,1--4,1--14,1--19,1--21,2--7,2--25,2--32,3--10,3--19,3--28,3--33,4--6,4--8,4--11,5--27,5--30,5--34,5--37,6--8,6--28,6--34,7--16,7--22,7--33,8--18,8--20,9--16,9--18,9--26,9--30,10--11,10--14,10--35,11--24,11--26,12--15,12--22,12--27,12--37,13--22,13--24,13--31,13--36,14--20,14--29,15--28,15--31,15--35,16--23,16--36,17--20,17--21,17--23,17--37,18--27,18--32,19--25,19--36,20--25,21--29,21--33,23--29,24--26,24--28,25--33,26--31,27--32,29--30,31--35,32--37,34--35,34--36
0--12,0--18,0--26,0--29,1--7,1--26,1--35,1--36,2--12,2--14,2--15,2--19,3--20,3--27,3--28,3--34,4--16,4--20,4--24,4--34,5--11,5--18,5--25,5--30,6--18,6--31,6--33,6--35,7--23,7--25,7--37,8--17,8--20,8--22,8--32,9--11,9--12,9--29,9--33,10--15,10--17,10--31,10--34,11--19,11--20,12--16,13--16,13--21,13--22,13--28,14--16,14--25,14--28,15--22,15--27,17--30,17--34,18--23,19--26,19--30,21--22,21--36,21--37,23--27,23--32,24--32,24--33,24--37,25--28,26--31,27--33,29--30,29--35,31--36,32--37,35--36
0--5,0--12,0--27,0--36,1--2,1--4,1--11,1--32,2--3,2--11,2--15,3--23,3--31,3--36,4--9,4--19,4--27,5--7,5--10,5--20,6--14,6--16,6--21,6--34,7--19,7--23,7--30,8--13,8--14,8--25,8--35,9--14,9--33,9--37,10--18,10--31,10--34,11--24,11--29,12--17,12--34,12--37,13--25,13--36,13--37,14--19,15--18,15--20,15--26,16--28,16--30,16--37,17--18,17--22,17--30,18--20,19--34,20--36,21--24,21--25,21--35,22--28,22--30,22--31,23--24,23--32,24--32,25--26,26--27,26--33,27--29,28--29,28--35,29--33,31--33,32--35
