0--4,0--8,0--38,0--40,1--5,1--29,1--31,1--33,2--8,2--19,2--21,2--22,3--6,3--11,3--13,3--26,4--18,4--27,4--36,5--7,5--16,5--20,6--10,6--17,6--37,7--12,7--16,7--38,8--9,8--32,9--14,9--24,9--36,10--14,10--22,10--34,11--15,11--37,11--41,12--19,12--27,12--37,13--30,13--33,13--41,14--26,14--29,15--20,15--34,15--39,16--29,16--36,17--20,17--25,17--32,18--22,18--24,18--39,19--26,19--28,20--27,21--31,21--40,21--41,22--39,23--24,23--27,23--31,23--40,24--25,25--30,25--33,26--33,28--34,28--35,28--38,29--38,30--37,30--40,31--32,32--36,34--35,35--39,35--41
0--2,0--5,0--12,0--16,1--5,1--8,1--12,1--18,2--26,2--35,2--40,3--7,3--13,3--18,3--28,4--17,4--33,4--34,4--41,5--36,5--37,6--12,6--15,6--22,6--31,7--14,7--19,7--36,8--14,8--24,8--36,9--17,9--28,9--29,9--33,10--12,10--20,10--25,10--38,11--19,11--31,11--32,11--37,13--24,13--29,13--40,14--31,14--39,15--21,15--27,15--30,16--22,16--29,16--30,17--31,17--41,18--25,18--39,19--24,19--33,20--22,20--26,20--34,21--24,21--40,21--41,22--38,23--26,23--35,23--37,23--39,25--32,25--33,26--32,27--28,27--36,27--39,28--41,29--37,30--35,30--38,32--38,34--35,34--40
0--15,0--33,0--37,0--40,1--16,1--19,1--24,1--32,2--13,2--28,2--29,2--34,3--17,3--22,3--25,3--41,4--9,4--11,4--13,4--21,5--16,5--20,5--32,5--36,6--23,6--29,6--36,6--38,7--20,7--24,7--34,7--41,8--21,8--23,8--27,8--30,9--17,9--21,9--27,10--18,10--19,10--34,10--40,11--18,11--27,11--28,12--14,12--33,12--34,12--39,13--19,13--30,14--15,14--28,14--36,15--31,15--41,16--33,16--36,17--35,17--39,18--23,18--31,19--26,20--22,20--40,21--38,22--29,22--35,23--38,24--29,24--39,25--28,25--30,25--32,26--33,26--35,26--37,27--37,30--41,31--38,31--39,32--37,35--40
0--1,0--10,0--12,0--21,1--7,1--22,1--26,2--7,2--23,2--31,2--34,3--4,3--16,3--23,3--29,4--13,4--18,4--27,5--6,5--30,5--38,5--41,6--17,6--18,6--37,7--13,7--25,8--11,8--14,8--25,8--41,9--13,9--33,9--34,9--41,10--24,10--27,10--31,11--23,11--28,11--36,12--28,12--32,12--38,13--39,14--33,14--34,14--38,15--19,15--27,15--29,15--35,16--17,16--20,16--26,17--32,17--40,18--35,18--40,19--24,19--25,19--37,20--21,20--28,20--37,21--37,21--38,22--28,22--36,22--39,23--32,24--29,24--39,25--27,26--35,26--36,29--32,30--31,30--34,30--40,31--39,33--36,33--40,35--41
0--2,0--4,0--6,0--16,1--5,1--10,1--28,1--37,2--6,2--22,2--26,3--21,3--27,3--39,3--41,4--18,4--28,4--29,5--16,5--29,5--40,6--34,6--40,7--15,7--20,7--33,7--34,8--16,8--22,8--23,8--29,9--13,9--17,9--18,9--35,10--32,10--34,10--36,11--15,11--25,11--31,11--39,12--17,12--20,12--21,12--37,13--17,13--24,13--41,14--16,14--30,14--37,14--41,15--20,15--26,17--25,18--27,18--35,19--25,19--28,19--30,19--36,20--39,21--33,21--36,22--29,22--38,23--30,23--33,23--36,24--26,24--30,24--40,25--32,26--38,27--28,27--35,31--37,31--39,31--41,32--33,32--38,34--35,38--40
0--12,0--25,0--32,0--37,1--17,1--18,1--24,1--36,2--9,2--21,2--23,2--39,3--12,3--13,3--27,3--40,4--23,4--30,4--34,4--37,5--8,5--35,5--36,5--40,6--7,6--28,6--30,6--33,7--15,7--19,7--29,8--12,8--20,8--32,9--21,9--23,9--35,10--11,10--16,10--18,10--38,11--14,11--15,11--41,12--34,13--30,13--32,13--38,14--16,14--26,14--32,15--20,15--28,16--22,16--29,17--21,17--22,17--40,18--25,18--36,19--26,19--27,19--28,20--33,20--35,21--33,22--24,22--25,23--39,24--25,24--27,26--28,26--35,27--29,29--38,30--31,31--36,31--40,31--41,33--37,34--38,34--39,37--41,39--41
0--9,0--14,0--20,0--22,1--2,1--18,1--29,1--37,2--6,2--18,2--30,3--8,3--22,3--26,3--39,4--11,4--19,4--21,4--29,5--6,5--8,5--13,5--17,6--17,6--28,7--23,7--24,7--27,7--28,8--20,8--29,9--26,9--28,9--36,10--14,10--21,10--30,10--41,11--31,11--40,11--41,12--17,12--21,12--29,12--35,13--21,13--38,13--39,14--32,14--33,15--16,15--31,15--34,15--38,16--17,16--19,16--39,18--31,18--40,19--24,19--35,20--25,20--27,22--26,22--33,23--31,23--39,23--41,24--27,24--28,25--32,25--37,25--40,26--30,27--36,30--36,32--35,32--36,33--34,33--38,34--37,34--38,35--40,37--41
0--20,0--29,0--32,0--36,1--14,1--21,1--22,1--37,2--7,2--15,2--32,2--41,3--10,3--14,3--34,3--41,4--8,4--16,4--20,4--37,5--8,5--20,5--28,5--38,6--17,6--23,6--31,6--36,7--18,7--29,7--34,8--9,8--39,9--10,9--24,9--33,10--27,10--31,11--18,11--25,11--28,11--40,12--17,12--21,12--22,12--38,13--14,13--20,13--23,13--30,14--29,15--19,15--23,15--24,16--24,16--25,16--34,17--21,17--38,18--24,18--39,19--30,19--33,19--41,21--27,22--29,22--32,23--39,25--26,25--40,26--31,26--34,26--35,27--30,27--37,28--38,28--41,30--36,31--40,32--35,33--36,33--40,35--37,35--39
0--9,0--10,0--19,0--36,1--22,1--34,1--38,1--41,2--6,2--16,2--18,2--41,3--11,3--27,3--31,3--32,4--5,4--17,4--34,4--41,5--14,5--23,5--26,6--13,6--36,6--37,7--15,7--24,7--28,7--31,8--18,8--21,8--23,8--29,9--19,9--26,9--34,10--11,10--16,10--20,11--29,11--33,12--20,12--21,12--22,12--35,13--19,13--28,13--32,14--20,14--29,14--35,15--25,15--31,15--37,16--27,16--33,17--25,17--36,17--40,18--26,18--39,19--24,20--37,21--30,21--40,22--31,22--33,23--38,23--39,24--28,24--30,25--32,25--41,26--27,27--32,28--33,29--40,30--39,30--40,34--35,35--38,36--38,37--39
0--3,0--10,0--35,0--40,1--14,1--22,1--31,1--34,2--17,2--26,2--33,2--38,3--19,3--36,3--37,4--10,4--17,4--29,4--32,5--6,5--11,5--31,5--40,6--13,6--25,6--30,7--8,7--12,7--23,7--27,8--15,8--32,8--33,9--21,9--25,9--27,9--31,10--16,10--28,11--14,11--19,11--38,12--19,12--26,12--41,13--28,13--30,13--32,14--27,14--39,15--23,15--28,15--35,16--24,16--26,16--28,17--21,17--30,18--22,18--24,18--30,18--35,19--24,20--25,20--29,20--36,20--38,21--34,21--37,22--27,22--29,23--31,23--41,24--26,25--36,29--33,32--39,33--35,34--39,34--41,36--39,37--40,37--41,38--40
