0--16,0--19,0--30,0--32,1--8,1--20,1--30,1--38,2--10,2--13,2--18,2--28,3--24,3--25,3--34,3--37,4--32,4--33,4--40,4--41,5--19,5--22,5--23,5--38,6--7,6--11,6--26,6--29,7--10,7--14,7--37,8--13,8--20,8--27,9--14,9--22,9--27,9--35,10--33,10--34,11--16,11--26,11--41,12--13,12--15,12--24,12--31,13--21,14--31,14--42,15--23,15--38,15--39,16--19,16--23,17--20,17--21,17--22,17--32,18--26,18--36,18--38,19--43,20--35,21--23,21--36,22--29,24--35,24--40,25--28,25--30,25--33,26--39,27--33,27--40,28--34,28--41,29--40,29--42,30--37,31--34,31--37,32--36,35--36,39--42,39--43,41--43,42--43
0--17,0--31,0--37,0--41,1--6,1--19,1--31,1--43,2--6,2--12,2--29,2--36,3--14,3--15,3--25,3--30,4--7,4--20,4--30,4--42,5--15,5--16,5--28,5--39,6--13,6--17,7--13,7--14,7--22,8--10,8--20,8--36,8--43,9--22,9--31,9--33,9--41,10--15,10--39,10--42,11--21,11--26,11--33,11--34,12--17,12--24,12--42,13--14,13--32,14--21,15--18,16--37,16--39,16--40,17--26,18--26,18--38,18--40,19--22,19--35,19--38,20--22,20--42,21--24,21--37,23--26,23--27,23--32,23--33,24--27,24--39,25--29,25--34,25--43,27--28,27--41,28--33,28--40,29--30,29--34,30--34,31--38,32--36,32--37,35--38,35--40,35--41,36--43
0--9,0--35,0--36,0--43,1--8,1--16,1--19,1--21,2--10,2--30,2--35,2--40,3--6,3--8,3--35,3--41,4--15,4--18,4--35,4--41,5--12,5--29,5--36,5--37,6--22,6--31,6--37,7--17,7--19,7--31,7--42,8--11,8--18,9--27,9--32,9--34,10--11,10--28,10--42,11--20,11--38,12--18,12--19,12--37,13--15,13--16,13--20,13--26,14--22,14--25,14--32,14--38,15--21,15--43,16--30,16--36,17--30,17--32,17--39,18--21,19--24,20--40,20--43,21--39,22--34,22--40,23--25,23--29,23--39,23--40,24--27,24--41,24--42,25--27,25--31,26--28,26--29,26--33,27--29,28--42,28--43,30--33,31--34,32--38,33--34,33--36,37--41,38--39
0--6,0--16,0--17,0--25,1--19,1--22,1--24,1--41,2--4,2--13,2--15,2--38,3--5,3--10,3--11,3--25,4--6,4--11,4--22,5--6,5--13,5--31,6--7,7--21,7--38,7--42,8--9,8--38,8--40,8--42,9--10,9--26,9--30,10--33,10--35,11--12,11--32,12--15,12--23,12--27,13--14,13--23,14--23,14--33,14--41,15--20,15--24,16--19,16--27,16--37,17--18,17--21,17--24,18--22,18--31,18--34,19--29,19--43,20--29,20--33,20--41,21--36,21--37,22--33,23--42,24--41,25--31,25--37,26--34,26--36,26--39,27--37,27--43,28--30,28--34,28--39,28--40,29--32,29--35,30--32,30--39,31--36,32--38,34--40,35--40,35--42,36--43,39--43
0--13,0--15,0--23,0--33,1--3,1--7,1--32,1--35,2--6,2--31,2--38,2--40,3--18,3--22,3--36,4--15,4--24,4--27,4--38,5--8,5--21,5--28,5--43,6--14,6--29,6--30,7--9,7--22,7--36,8--16,8--17,8--41,9--25,9--38,9--39,10--12,10--15,10--32,10--36,11--24,11--32,11--39,11--41,12--16,12--20,12--26,13--14,13--31,13--39,14--26,14--34,15--30,16--36,16--40,17--21,17--37,17--42,18--19,18--34,18--43,19--23,19--28,19--37,20--37,20--40,20--43,21--27,21--35,22--24,22--31,23--24,23--34,25--33,25--34,25--42,26--32,26--43,27--29,27--39,28--30,28--33,29--30,29--41,31--41,33--35,35--42,37--38,40--42
0--11,0--14,0--24,0--26,1--2,1--14,1--31,1--40,2--9,2--22,2--28,3--8,3--27,3--32,3--43,4--12,4--13,4--35,4--41,5--14,5--19,5--40,5--43,6--13,6--19,6--36,6--42,7--12,7--21,7--27,7--35,8--20,8--28,8--32,9--16,9--20,9--42,10--17,10--22,10--36,10--38,11--18,11--22,11--25,12--34,12--36,13--18,13--29,14--29,15--16,15--19,15--22,15--30,16--30,16--35,17--29,17--34,17--39,18--25,18--34,19--38,20--24,20--32,21--30,21--33,21--37,23--24,23--27,23--29,23--41,24--37,25--26,25--42,26--39,26--40,27--41,28--31,28--33,30--33,31--37,31--40,32--43,33--35,34--38,36--39,37--43,38--41,39--42
0--18,0--21,0--22,0--26,1--4,1--11,1--14,1--30,2--18,2--23,2--33,2--34,3--7,3--12,3--15,3--18,4--9,4--31,4--34,5--8,5--16,5--21,5--33,6--28,6--32,6--34,6--41,7--15,7--36,7--38,8--13,8--39,8--42,9--14,9--37,9--41,10--17,10--21,10--29,10--43,11--22,11--25,11--43,12--34,12--42,12--43,13--22,13--36,13--37,14--17,14--40,15--16,15--39,16--27,16--28,17--19,17--27,18--37,19--31,19--38,19--42,20--23,20--28,20--32,20--43,21--23,22--41,23--40,24--25,24--35,24--36,24--41,25--26,25--39,26--30,26--35,27--30,27--35,28--39,29--31,29--32,29--42,30--37,31--36,32--38,33--38,33--40,35--40
0--7,0--11,0--17,0--28,1--19,1--40,1--41,1--42,2--10,2--21,2--27,2--30,3--9,3--15,3--19,3--34,4--5,4--14,4--32,4--35,5--26,5--36,5--38,6--20,6--33,6--35,6--36,7--18,7--21,7--23,8--10,8--20,8--39,8--42,9--12,9--37,9--42,10--16,10--24,11--29,11--39,11--41,12--15,12--33,12--39,13--21,13--25,13--32,13--35,14--28,14--39,14--40,15--37,15--43,16--23,16--32,16--36,17--22,17--27,17--31,18--29,18--31,18--33,19--27,19--30,20--24,20--38,21--40,22--24,22--35,22--41,23--29,23--33,24--26,25--28,25--36,25--43,26--31,26--38,27--30,28--43,29--34,30--41,31--42,32--34,34--38,37--40,37--43
0--19,0--22,0--37,0--43,1--11,1--18,1--24,1--37,2--6,2--12,2--33,2--36,3--9,3--23,3--24,3--38,4--9,4--18,4--20,4--41,5--13,5--16,5--17,5--38,6--19,6--35,6--42,7--19,7--23,7--30,7--36,8--17,8--22,8--28,8--42,9--21,9--35,10--14,10--26,10--31,10--37,11--12,11--17,11--25,12--29,12--41,13--16,13--25,13--28,14--17,14--32,14--34,15--20,15--26,15--38,15--41,16--20,16--27,18--32,18--40,19--28,20--42,21--35,21--39,21--43,22--27,22--32,23--26,23--34,24--29,24--31,25--28,25--30,26--31,27--33,27--39,29--32,29--33,30--38,30--43,31--42,33--41,34--40,34--43,35--37,36--39,36--40,39--40
0--9,0--26,0--31,0--33,1--10,1--17,1--21,1--42,2--7,2--8,2--21,2--23,3--4,3--14,3--22,3--27,4--13,4--18,4--23,5--24,5--26,5--41,5--43,6--17,6--20,6--22,6--25,7--8,7--9,7--35,8--24,8--43,9--27,9--35,10--16,10--36,10--39,11--17,11--20,11--24,11--41,12--18,12--20,12--25,12--26,13--30,13--35,13--40,14--15,14--39,14--40,15--34,15--36,15--37,16--19,16--30,16--31,17--27,18--40,18--43,19--20,19--33,19--38,21--34,21--42,22--24,22--29,23--27,23--29,25--28,25--38,26--32,28--37,28--38,28--41,29--34,29--35,30--36,30--43,31--32,31--41,32--39,32--40,33--34,33--39,36--42,37--38,37--42
