0--19,0--21,0--35,0--43,1--10,1--13,1--23,1--24,2--8,2--18,2--26,2--29,3--9,3--11,3--26,3--41,4--10,4--19,4--29,4--36,5--22,5--30,5--43,5--44,6--7,6--9,6--34,6--45,7--22,7--29,7--42,8--14,8--33,8--39,9--27,9--31,10--41,10--44,11--25,11--29,11--41,12--13,12--16,12--18,12--39,13--16,13--17,14--31,14--35,14--40,15--19,15--21,15--32,15--39,16--22,16--31,17--34,17--40,17--42,18--31,18--37,19--38,20--21,20--32,20--33,20--38,21--23,22--40,23--40,23--45,24--26,24--35,24--44,25--28,25--30,25--34,26--42,27--35,27--42,27--44,28--33,28--37,28--38,30--41,30--43,32--37,32--38,33--43,34--36,36--39,36--45,37--45
0--15,0--32,0--36,0--38,1--4,1--25,1--31,1--34,2--10,2--15,2--28,2--40,3--22,3--35,3--38,3--43,4--7,4--12,4--13,5--13,5--21,5--24,5--26,6--18,6--22,6--27,6--42,7--9,7--33,7--43,8--20,8--25,8--37,8--39,9--15,9--34,9--41,10--23,10--34,10--37,11--19,11--23,11--32,11--45,12--23,12--36,12--39,13--17,13--29,14--26,14--36,14--38,14--43,15--25,16--23,16--28,16--30,16--32,17--35,17--36,17--41,18--20,18--27,18--34,19--21,19--44,19--45,20--21,20--43,21--24,22--30,22--31,24--29,24--40,25--28,26--35,26--40,27--30,27--31,28--44,29--32,29--44,30--44,31--42,33--35,33--41,33--42,37--41,37--45,38--39,39--42,40--45
0--4,0--23,0--26,0--45,1--6,1--11,1--22,1--44,2--16,2--20,2--42,2--43,3--4,3--9,3--28,3--37,4--12,4--32,5--8,5--28,5--29,5--33,6--19,6--39,6--44,7--18,7--23,7--27,7--35,8--10,8--13,8--35,9--15,9--30,9--44,10--19,10--33,10--36,11--26,11--37,11--39,12--15,12--25,12--41,13--15,13--32,13--43,14--22,14--24,14--26,14--39,15--31,16--20,16--25,16--40,17--20,17--23,17--42,17--45,18--29,18--36,18--38,19--21,19--37,20--27,21--24,21--30,21--45,22--28,22--30,23--39,24--25,24--32,25--35,26--33,27--38,27--40,28--36,29--30,29--40,31--32,31--40,31--42,33--38,34--36,34--38,34--41,34--42,35--43,37--41,41--43,44--45
0--29,0--30,0--32,0--39,1--12,1--18,1--24,1--25,2--7,2--24,2--40,2--42,3--26,3--28,3--31,3--37,4--6,4--11,4--13,4--28,5--19,5--33,5--43,5--44,6--21,6--37,6--43,7--13,7--27,7--41,8--15,8--17,8--27,8--36,9--12,9--14,9--19,9--31,10--11,10--17,10--28,10--38,11--22,11--33,12--29,12--40,13--14,13--22,14--32,14--37,15--23,15--25,15--34,16--23,16--24,16--35,16--38,17--42,17--43,18--30,18--35,18--36,19--30,19--45,20--23,20--29,20--31,20--34,21--22,21--27,21--44,22--26,23--44,24--32,25--35,25--41,26--34,26--39,27--30,28--36,29--31,32--40,33--36,33--40,34--39,35--45,37--38,38--41,39--45,41--45,42--43,42--44
0--11,0--14,0--28,0--41,1--3,1--6,1--12,1--34,2--22,2--30,2--37,2--41,3--15,3--18,3--30,4--22,4--40,4--43,4--45,5--17,5--21,5--31,5--43,6--12,6--19,6--31,7--10,7--13,7--15,7--39,8--19,8--37,8--40,8--42,9--25,9--27,9--34,9--36,10--13,10--24,10--34,11--40,11--41,11--44,12--15,12--44,13--26,13--35,14--19,14--33,14--36,15--34,16--27,16--28,16--29,16--32,17--26,17--30,17--39,18--27,18--28,18--42,19--20,20--22,20--25,20--37,21--36,21--38,21--44,22--32,23--26,23--31,23--33,23--41,24--42,24--44,24--45,25--39,25--42,26--38,27--33,28--45,29--30,29--33,29--35,31--37,32--35,32--38,35--38,36--43,39--45,40--43
0--5,0--6,0--38,0--41,1--2,1--7,1--34,1--37,2--9,2--17,2--42,3--7,3--10,3--22,3--28,4--11,4--14,4--28,4--43,5--10,5--12,5--13,6--13,6--15,6--32,7--34,7--42,8--11,8--24,8--40,8--45,9--12,9--25,9--31,10--20,10--29,11--18,11--20,12--31,12--38,13--20,13--37,14--26,14--28,14--41,15--16,15--22,15--23,16--23,16--27,16--30,17--33,17--35,17--39,18--30,18--40,18--44,19--24,19--27,19--30,19--40,20--26,21--25,21--26,21--36,21--43,22--32,22--45,23--31,23--34,24--27,24--36,25--30,25--35,26--31,27--35,28--29,29--32,29--34,32--33,33--39,33--45,35--40,36--37,36--43,37--44,38--42,38--45,39--41,39--44,41--42,43--44
0--3,0--8,0--30,0--39,1--7,1--19,1--34,1--40,2--11,2--26,2--31,2--43,3--6,3--17,3--29,4--8,4--32,4--43,4--45,5--32,5--33,5--35,5--40,6--19,6--21,6--37,7--14,7--36,7--43,8--15,8--24,9--16,9--18,9--22,9--45,10--15,10--31,10--33,10--39,11--20,11--38,11--42,12--13,12--14,12--28,12--35,13--16,13--26,13--44,14--15,14--20,15--30,16--20,16--35,17--25,17--29,17--31,18--39,18--41,18--45,19--32,19--45,20--38,21--24,21--29,21--42,22--23,22--29,22--36,23--24,23--41,23--42,24--28,25--27,25--33,25--34,26--36,26--44,27--30,27--34,27--37,28--32,28--41,30--33,31--40,34--44,35--37,36--38,37--39,38--42,40--43,41--44
0--8,0--34,0--37,0--41,1--5,1--10,1--25,1--29,2--7,2--19,2--40,2--43,3--6,3--12,3--16,3--38,4--20,4--40,4--44,4--45,5--11,5--33,5--37,6--13,6--31,6--42,7--9,7--34,7--41,8--21,8--28,8--33,9--14,9--17,9--23,10--33,10--36,10--39,11--13,11--21,11--32,12--33,12--34,12--36,13--22,13--38,14--24,14--32,14--36,15--17,15--19,15--27,15--36,16--23,16--26,16--31,17--22,17--35,18--22,18--37,18--39,18--45,19--20,19--45,20--28,20--39,21--27,21--44,22--24,23--27,23--29,24--35,24--42,25--30,25--34,25--44,26--28,26--29,26--30,27--42,28--38,29--45,30--40,30--42,31--43,31--44,32--40,32--43,35--41,35--43,37--38,39--41
0--17,0--19,0--23,0--33,1--14,1--15,1--30,1--42,2--3,2--9,2--34,2--39,3--10,3--14,3--27,4--15,4--33,4--34,4--39,5--24,5--26,5--37,5--45,6--8,6--12,6--13,6--27,7--32,7--38,7--40,7--42,8--15,8--35,8--45,9--16,9--31,9--44,10--22,10--28,10--37,11--17,11--18,11--25,11--42,12--26,12--30,12--44,13--20,13--40,13--42,14--23,14--29,15--21,16--25,16--31,16--34,17--22,17--36,18--28,18--30,18--41,19--24,19--32,19--36,20--29,20--31,20--38,21--28,21--29,21--32,22--25,22--31,23--26,23--44,24--28,24--41,25--35,26--33,27--39,27--43,29--43,30--40,32--37,33--36,34--37,35--43,35--45,36--43,38--44,38--45,39--41,40--41
0--4,0--9,0--15,0--37,1--22,1--35,1--38,1--39,2--7,2--25,2--44,2--45,3--33,3--36,3--38,3--45,4--16,4--36,4--43,5--6,5--25,5--34,5--40,6--16,6--26,6--44,7--24,7--31,7--34,8--15,8--17,8--18,8--31,9--13,9--29,9--40,10--18,10--19,10--29,10--42,11--12,11--16,11--27,11--40,12--28,12--29,12--37,13--14,13--26,13--29,14--19,14--38,14--45,15--28,15--33,16--41,17--19,17--22,17--23,18--23,18--38,19--28,20--24,20--25,20--26,20--32,21--22,21--26,21--30,21--35,22--34,23--31,23--32,24--36,24--44,25--39,27--30,27--41,27--43,28--44,30--35,30--40,31--45,32--41,32--43,33--39,33--42,34--36,35--42,37--41,37--42,39--43
0--3,0--17,0--33,0--35,1--4,1--9,1--10,1--12,2--11,2--24,2--25,2--33,3--32,3--36,3--41,4--10,4--31,4--39,5--29,5--35,5--41,5--45,6--7,6--17,6--31,6--42,7--15,7--19,7--22,8--13,8--23,8--42,8--44,9--14,9--34,9--38,10--13,10--37,11--12,11--22,11--42,12--19,12--21,13--22,13--34,14--15,14--16,14--21,15--25,15--43,16--17,16--21,16--40,17--38,18--27,18--35,18--43,18--44,19--20,19--28,20--30,20--33,20--45,21--36,22--23,23--37,23--39,24--26,24--29,24--32,25--37,25--44,26--30,26--35,26--40,27--30,27--32,27--40,28--39,28--43,28--44,29--32,29--45,30--31,31--34,33--37,34--36,36--40,38--41,38--42,39--41,43--45
0--6,0--10,0--26,0--39,1--33,1--37,1--41,1--43,2--24,2--25,2--33,2--38,3--4,3--22,3--33,3--44,4--29,4--30,4--32,5--10,5--21,5--40,5--45,6--15,6--31,6--32,7--18,7--35,7--36,7--44,8--9,8--11,8--19,8--23,9--10,9--17,9--38,10--24,11--22,11--26,11--35,12--22,12--26,12--40,12--41,13--14,13--17,13--34,13--37,14--16,14--43,14--44,15--17,15--27,15--37,16--27,16--30,16--36,17--43,18--25,18--39,18--42,19--27,19--37,19--42,20--21,20--23,20--35,20--43,21--31,21--33,22--41,23--38,23--41,24--26,24--45,25--39,25--42,27--32,28--34,28--35,28--38,28--45,29--34,29--40,29--44,30--31,30--40,31--42,32--36,34--39,36--45
0--5,0--13,0--33,0--39,1--14,1--15,1--20,1--42,2--4,2--20,2--24,2--40,3--4,3--5,3--19,3--35,4--28,4--38,5--21,5--42,6--9,6--29,6--31,6--38,7--17,7--29,7--39,7--40,8--20,8--22,8--27,8--33,9--11,9--36,9--41,10--11,10--12,10--18,10--21,11--27,11--34,12--23,12--30,12--40,13--16,13--31,13--38,14--16,14--31,14--35,15--37,15--44,15--45,16--25,16--28,17--22,17--26,17--41,18--39,18--40,18--44,19--28,19--32,19--43,20--38,21--29,21--31,22--32,22--37,23--26,23--42,23--43,24--25,24--30,24--42,25--28,25--36,26--32,26--37,27--30,27--41,29--34,30--43,32--45,33--36,33--45,34--35,34--37,35--44,36--41,39--44,43--45
