0--16,0--18,0--36,0--40,1--13,1--25,1--40,1--42,2--13,2--16,2--28,2--37,3--8,3--9,3--13,3--17,4--6,4--14,4--18,4--44,5--10,5--11,5--43,5--44,6--12,6--24,6--33,7--9,7--19,7--33,7--45,8--12,8--40,8--42,9--25,9--34,10--28,10--34,10--35,11--23,11--25,11--31,12--42,12--44,13--43,14--15,14--26,14--42,15--27,15--43,15--46,16--21,16--23,17--19,17--31,17--35,18--34,18--39,19--38,19--47,20--24,20--25,20--29,20--34,21--31,21--39,21--45,22--33,22--40,22--41,22--44,23--31,23--46,24--30,24--32,26--27,26--36,26--45,27--36,27--41,28--35,28--39,29--30,29--35,29--43,30--39,30--47,32--37,32--38,32--47,33--37,36--45,37--46,38--41,38--47,41--46
0--18,0--29,0--37,0--47,1--20,1--21,1--25,1--29,2--8,2--13,2--15,2--34,3--7,3--34,3--38,3--46,4--14,4--21,4--23,4--27,5--13,5--32,5--36,5--47,6--17,6--30,6--33,6--44,7--21,7--33,7--41,8--16,8--38,8--41,9--22,9--28,9--30,9--35,10--12,10--14,10--25,10--35,11--12,11--16,11--23,11--43,12--39,12--40,13--20,13--22,14--40,14--43,15--33,15--34,15--38,16--30,16--45,17--28,17--37,17--39,18--19,18--40,18--46,19--28,19--30,19--37,20--27,20--36,21--31,22--32,22--47,23--24,23--32,24--26,24--36,24--44,25--42,25--43,26--31,26--35,26--45,27--31,27--44,28--41,29--44,29--46,31--43,32--35,33--34,36--42,37--45,38--42,39--42,39--45,40--46,41--47
0--18,0--23,0--24,0--41,1--19,1--21,1--31,1--35,2--13,2--15,2--17,2--37,3--5,3--18,3--23,3--30,4--16,4--26,4--29,4--31,5--13,5--18,5--27,6--7,6--26,6--28,6--29,7--9,7--28,7--32,8--32,8--35,8--42,8--43,9--12,9--30,9--36,10--26,10--32,10--43,10--45,11--12,11--17,11--32,11--36,12--15,12--24,13--36,13--38,14--27,14--34,14--44,14--45,15--38,15--42,16--20,16--39,16--41,17--25,17--29,18--44,19--21,19--43,19--44,20--23,20--25,20--46,21--37,21--39,22--25,22--33,22--42,22--47,23--40,24--38,24--47,25--34,26--33,27--28,27--37,28--29,30--45,30--46,31--39,31--43,33--40,33--47,34--35,34--42,35--41,36--40,37--41,38--46,39--47,40--46,44--45
0--19,0--26,0--29,0--41,1--12,1--24,1--38,1--41,2--12,2--32,2--42,2--43,3--7,3--9,3--15,3--31,4--5,4--7,4--22,4--23,5--36,5--40,5--46,6--19,6--28,6--38,6--44,7--24,7--39,8--24,8--35,8--37,8--40,9--30,9--41,9--47,10--16,10--25,10--27,10--47,11--34,11--35,11--43,11--44,12--33,12--46,13--19,13--23,13--30,13--45,14--20,14--25,14--31,14--38,15--21,15--22,15--29,16--23,16--32,16--40,17--28,17--32,17--37,17--44,18--21,18--27,18--36,18--37,19--26,20--29,20--34,20--44,21--22,21--39,22--36,23--42,24--43,25--26,25--36,26--28,27--29,27--38,28--39,30--31,30--39,31--45,32--42,33--37,33--43,33--47,34--35,34--41,35--45,40--46,42--46,45--47
0--3,0--8,0--11,0--23,1--3,1--5,1--37,1--41,2--9,2--17,2--23,2--27,3--13,3--42,4--5,4--21,4--25,4--47,5--19,5--44,6--10,6--13,6--21,6--45,7--13,7--18,7--22,7--42,8--31,8--33,8--36,9--22,9--30,9--43,10--11,10--24,10--32,11--19,11--34,12--26,12--27,12--34,12--36,13--38,14--16,14--25,14--39,14--46,15--20,15--37,15--40,15--42,16--26,16--35,16--46,17--30,17--45,17--46,18--28,18--32,18--41,19--29,19--35,20--24,20--39,20--44,21--29,21--38,22--40,22--46,23--28,23--31,24--30,24--33,25--26,25--39,26--29,27--34,27--37,28--29,28--36,30--47,31--38,31--40,32--35,32--44,33--35,33--43,34--42,36--47,37--41,38--39,40--47,41--45,43--44,43--45
0--7,0--21,0--26,0--39,1--3,1--15,1--31,1--47,2--9,2--11,2--41,2--46,3--4,3--25,3--46,4--10,4--39,4--46,5--35,5--38,5--44,5--45,6--8,6--13,6--19,6--44,7--13,7--20,7--24,8--9,8--31,8--37,9--16,9--22,10--16,10--33,10--34,11--29,11--36,11--38,12--14,12--15,12--22,12--37,13--17,13--47,14--21,14--29,14--31,15--25,15--43,16--27,16--38,17--27,17--28,17--44,18--31,18--33,18--36,18--40,19--32,19--34,19--39,20--26,20--30,20--37,21--32,21--33,22--46,22--47,23--24,23--30,23--34,23--43,24--36,24--45,25--35,25--42,26--35,26--42,27--32,27--40,28--36,28--40,28--43,29--35,29--41,30--32,30--34,33--40,37--43,38--44,39--47,41--42,41--45,42--45
0--6,0--14,0--23,0--27,1--13,1--19,1--22,1--41,2--10,2--23,2--32,2--33,3--26,3--29,3--35,3--36,4--11,4--24,4--26,4--31,5--17,5--20,5--27,5--34,6--7,6--11,6--47,7--8,7--18,7--45,8--15,8--38,8--42,9--11,9--12,9--15,9--30,10--19,10--20,10--28,11--46,12--34,12--37,12--43,13--16,13--33,13--40,14--18,14--32,14--39,15--25,15--32,16--31,16--43,16--47,17--20,17--34,17--39,18--35,18--44,19--38,19--47,20--42,21--25,21--30,21--33,21--35,22--26,22--37,22--45,23--25,23--34,24--30,24--43,24--45,25--28,26--37,27--44,27--46,28--29,28--46,29--39,29--42,30--44,31--36,31--40,32--42,33--41,35--40,36--41,36--46,37--43,38--44,38--47,39--40,41--45
0--3,0--12,0--16,0--41,1--5,1--20,1--27,1--36,2--19,2--29,2--31,2--32,3--5,3--38,3--45,4--17,4--24,4--30,4--35,5--17,5--39,6--20,6--23,6--26,6--31,7--15,7--16,7--32,7--46,8--18,8--26,8--36,8--47,9--21,9--29,9--39,9--45,10--14,10--23,10--26,10--40,11--14,11--21,11--33,11--40,12--23,12--27,12--43,13--22,13--40,13--43,13--44,14--24,14--30,15--27,15--29,15--41,16--33,16--38,17--20,17--30,18--19,18--35,18--47,19--29,19--44,20--34,21--32,21--46,22--26,22--35,22--36,23--47,24--37,24--45,25--27,25--37,25--39,25--40,28--31,28--33,28--35,28--42,30--34,31--36,32--47,33--41,34--45,34--46,37--41,37--42,38--42,38--43,39--43,42--44,44--46
0--1,0--33,0--45,0--47,1--16,1--23,1--30,2--10,2--26,2--37,2--41,3--5,3--12,3--26,3--42,4--10,4--14,4--18,4--42,5--30,5--31,5--38,6--20,6--28,6--39,6--44,7--13,7--24,7--40,7--46,8--15,8--18,8--19,8--34,9--15,9--16,9--42,9--44,10--37,10--47,11--28,11--29,11--38,11--47,12--25,12--27,12--35,13--24,13--37,13--41,14--36,14--40,14--44,15--22,15--26,16--17,16--28,17--22,17--23,17--34,18--24,18--36,19--22,19--26,19--45,20--34,20--37,20--43,21--32,21--33,21--35,21--43,22--38,23--33,23--46,24--27,25--31,25--33,25--42,27--30,27--35,28--36,29--36,29--41,29--46,30--39,31--38,31--44,32--41,32--43,32--45,34--45,35--47,39--40,39--46,40--43
0--1,0--2,0--16,0--25,1--3,1--14,1--27,2--19,2--30,2--33,3--13,3--38,3--42,4--8,4--9,4--17,4--42,5--17,5--26,5--34,5--45,6--10,6--13,6--14,6--22,7--28,7--29,7--38,7--45,8--11,8--19,8--29,9--18,9--41,9--43,10--39,10--42,10--47,11--21,11--23,11--43,12--22,12--28,12--29,12--43,13--23,13--36,14--27,14--31,15--35,15--39,15--44,15--46,16--18,16--40,16--44,17--24,17--30,18--22,18--37,19--21,19--26,20--30,20--31,20--33,20--37,21--36,21--44,22--23,23--33,24--32,24--41,24--45,25--32,25--36,25--44,26--39,26--47,27--37,27--46,28--38,28--42,29--34,30--34,31--41,31--47,32--34,32--35,33--36,35--40,35--45,37--38,39--40,40--41,43--46,46--47
