0--21,0--30,0--37,0--39,1--11,1--20,1--33,1--45,2--16,2--24,2--35,2--39,3--6,3--22,3--29,3--44,4--20,4--23,4--38,4--47,5--9,5--14,5--22,5--46,6--9,6--11,6--26,7--24,7--31,7--40,7--47,8--9,8--24,8--25,8--37,9--29,10--13,10--21,10--31,10--33,11--18,11--41,12--16,12--32,12--35,12--46,13--32,13--34,13--42,14--31,14--46,14--48,15--28,15--31,15--43,15--47,16--19,16--25,17--25,17--32,17--35,17--43,18--23,18--30,18--36,19--22,19--27,19--41,20--44,20--48,21--32,21--36,22--30,23--28,23--45,24--28,25--42,26--42,26--47,26--49,27--37,27--42,27--48,28--29,29--37,30--38,33--39,33--46,34--40,34--41,34--48,35--36,36--40,38--44,38--49,39--45,40--41,43--45,43--49,44--49
0--27,0--28,0--41,0--44,1--6,1--13,1--28,1--35,2--4,2--6,2--14,2--22,3--10,3--26,3--38,3--45,4--13,4--28,4--29,5--6,5--15,5--19,5--20,6--44,7--32,7--43,7--45,7--46,8--21,8--37,8--38,8--41,9--11,9--15,9--20,9--35,10--29,10--40,10--46,11--19,11--22,11--27,12--15,12--40,12--47,12--48,13--14,13--44,14--18,14--20,15--30,16--17,16--29,16--31,16--39,17--24,17--26,17--36,18--32,18--33,18--48,19--42,19--49,20--24,21--47,21--48,21--49,22--25,22--47,23--28,23--42,23--44,23--45,24--30,24--49,25--26,25--34,25--37,26--42,27--36,27--43,29--34,30--38,30--43,31--36,31--41,31--43,32--33,32--41,33--39,33--46,34--39,34--47,35--37,35--38,36--40,37--40,39--42,45--46,48--49
0--6,0--13,0--36,0--46,1--14,1--32,1--33,1--38,2--5,2--26,2--37,2--46,3--7,3--16,3--19,3--29,4--11,4--29,4--34,4--37,5--15,5--40,5--49,6--23,6--35,6--44,7--9,7--11,7--20,8--16,8--30,8--42,8--49,9--20,9--22,9--45,10--20,10--24,10--39,10--43,11--26,11--45,12--23,12--25,12--37,12--48,13--19,13--28,13--33,14--26,14--31,14--36,15--18,15--22,15--43,16--29,16--40,17--21,17--27,17--28,17--46,18--22,18--28,18--44,19--42,19--48,20--43,21--32,21--41,21--47,22--38,23--37,23--43,24--27,24--39,24--49,25--32,25--38,25--42,26--45,27--44,27--48,28--47,29--39,30--38,30--45,30--47,31--35,31--40,31--44,32--41,33--35,33--47,34--36,34--41,34--42,35--49,36--39,40--48,41--46
0--23,0--27,0--33,0--42,1--12,1--13,1--22,1--25,2--16,2--23,2--30,2--39,3--9,3--11,3--37,3--43,4--7,4--26,4--29,4--48,5--16,5--18,5--19,5--20,6--11,6--18,6--40,6--48,7--8,7--43,7--49,8--35,8--36,8--48,9--15,9--36,9--40,10--20,10--30,10--31,10--39,11--22,11--37,12--26,12--29,12--39,13--34,13--38,13--49,14--15,14--41,14--42,14--44,15--24,15--35,16--17,16--37,17--22,17--33,17--38,18--21,18--46,19--21,19--35,19--44,20--21,20--30,21--36,22--32,23--32,23--47,24--25,24--40,24--49,25--32,25--47,26--27,26--35,27--28,27--29,28--34,28--41,28--49,29--43,30--45,31--39,31--40,31--46,32--47,33--36,33--41,34--46,34--47,37--42,38--44,38--46,41--45,42--45,43--48,44--45
0--1,0--20,0--22,0--26,1--14,1--15,1--41,2--33,2--36,2--41,2--49,3--10,3--11,3--32,3--37,4--18,4--39,4--43,4--46,5--6,5--31,5--32,5--48,6--7,6--23,6--43,7--29,7--42,7--45,8--14,8--29,8--38,8--40,9--10,9--12,9--13,9--15,10--12,10--16,11--18,11--23,11--26,12--14,12--29,13--19,13--35,13--43,14--41,15--22,15--33,16--21,16--31,16--48,17--20,17--26,17--27,17--45,18--25,18--39,19--28,19--35,19--48,20--38,20--44,21--30,21--36,21--47,22--23,22--47,23--31,24--27,24--28,24--38,24--49,25--27,25--31,25--33,26--44,27--42,28--30,28--36,29--46,30--43,30--46,32--39,32--40,33--40,34--39,34--44,34--47,34--49,35--37,35--46,36--42,37--38,37--41,40--45,42--49,44--45,47--48
0--23,0--36,0--40,0--49,1--7,1--16,1--35,1--48,2--10,2--12,2--19,2--45,3--18,3--33,3--41,3--44,4--17,4--28,4--32,4--49,5--8,5--9,5--45,5--49,6--29,6--35,6--42,6--43,7--11,7--32,7--44,8--25,8--28,8--34,9--20,9--39,9--44,10--14,10--19,10--24,11--14,11--28,11--42,12--22,12--26,12--38,13--27,13--30,13--38,13--48,14--31,14--36,15--16,15--25,15--38,15--46,16--21,16--46,17--20,17--40,17--42,18--21,18--27,18--39,19--28,19--43,20--30,20--37,21--34,21--47,22--38,22--43,22--48,23--33,23--34,23--39,24--40,24--41,24--48,25--26,25--33,26--36,26--45,27--29,27--40,29--34,29--49,30--46,30--47,31--32,31--35,31--41,32--47,33--37,35--43,36--47,37--39,37--42,41--44,45--46
0--1,0--12,0--17,0--24,1--10,1--14,1--29,2--17,2--20,2--22,2--49,3--7,3--17,3--19,3--32,4--7,4--11,4--38,4--41,5--13,5--35,5--39,5--46,6--20,6--24,6--33,6--37,7--12,7--18,8--33,8--34,8--40,8--41,9--21,9--23,9--34,9--47,10--25,10--26,10--35,11--27,11--34,11--40,12--42,12--46,13--14,13--36,13--43,14--45,14--48,15--20,15--21,15--37,15--39,16--18,16--33,16--41,16--46,17--33,18--34,18--38,19--20,19--31,19--48,21--31,21--45,22--25,22--39,22--40,23--27,23--28,23--43,24--27,24--47,25--30,25--35,26--32,26--36,26--49,27--42,28--37,28--43,28--45,29--41,29--44,29--45,30--31,30--38,30--47,31--48,32--37,32--43,35--49,36--38,36--42,39--47,40--48,42--44,44--46,44--49
0--4,0--14,0--39,0--44,1--9,1--17,1--38,1--46,2--6,2--17,2--18,2--49,3--5,3--8,3--26,3--43,4--10,4--31,4--34,5--19,5--37,5--44,6--13,6--25,6--29,7--11,7--19,7--42,7--46,8--13,8--31,8--41,9--14,9--48,9--49,10--12,10--23,10--33,11--19,11--30,11--43,12--20,12--24,12--36,13--14,13--18,14--27,15--21,15--40,15--41,15--47,16--25,16--33,16--45,16--48,17--30,17--35,18--36,18--41,19--27,20--26,20--28,20--36,21--22,21--34,21--36,22--24,22--40,22--44,23--28,23--29,23--47,24--26,24--30,25--27,25--37,26--48,27--31,28--32,28--39,29--38,29--42,30--32,31--45,32--34,32--46,33--39,33--44,34--49,35--38,35--43,35--49,37--43,37--45,38--41,39--45,40--47,40--48,42--46,42--47
0--3,0--9,0--10,0--20,1--30,1--36,1--48,1--49,2--6,2--8,2--15,2--47,3--22,3--39,3--49,4--8,4--29,4--45,4--46,5--6,5--17,5--26,5--27,6--34,6--46,7--9,7--11,7--30,7--38,8--27,8--38,9--37,9--38,10--24,10--26,10--35,11--21,11--25,11--43,12--13,12--18,12--25,12--40,13--20,13--25,13--37,14--30,14--31,14--45,14--47,15--27,15--30,15--49,16--21,16--27,16--28,16--39,17--19,17--23,17--45,18--19,18--23,18--41,19--29,19--47,20--26,20--32,21--32,21--48,22--25,22--28,22--31,23--37,23--44,24--34,24--44,24--45,26--29,28--33,28--36,29--35,31--42,31--46,32--37,32--38,33--34,33--42,33--43,34--48,35--36,35--40,36--42,39--46,39--47,40--41,40--43,41--44,41--48,42--43,44--49
0--14,0--27,0--36,0--46,1--13,1--14,1--30,1--35,2--24,2--26,2--34,2--46,3--9,3--15,3--39,3--46,4--5,4--20,4--30,4--48,5--31,5--41,5--43,6--15,6--21,6--33,6--47,7--21,7--25,7--37,7--49,8--20,8--28,8--32,8--44,9--11,9--12,9--35,10--12,10--21,10--23,10--38,11--32,11--33,11--34,12--18,12--41,13--17,13--27,13--28,14--17,14--36,15--22,15--30,16--33,16--38,16--42,16--45,17--43,17--49,18--19,18--23,18--43,19--22,19--36,19--40,20--32,20--40,21--26,22--40,22--48,23--29,23--37,24--25,24--38,24--48,25--26,25--39,26--38,27--34,27--35,28--35,28--43,29--42,29--47,29--49,30--48,31--34,31--46,31--49,32--33,36--40,37--39,37--47,39--44,41--42,41--45,42--45,44--45,44--47
