0--3,0--8,0--10,0--45,1--9,1--23,1--35,1--41,2--13,2--14,2--44,2--47,3--14,3--32,3--34,4--11,4--21,4--27,4--39,5--13,5--23,5--43,5--51,6--8,6--12,6--16,6--25,7--21,7--24,7--33,7--47,8--14,8--28,9--22,9--34,9--44,10--14,10--25,10--38,11--34,11--36,11--50,12--31,12--42,12--45,13--16,13--36,15--20,15--22,15--28,15--48,16--42,16--45,17--23,17--26,17--44,17--46,18--34,18--40,18--43,18--46,19--20,19--38,19--49,19--50,20--27,20--45,21--30,21--39,22--26,22--49,23--26,24--27,24--31,24--47,25--31,25--39,26--43,27--50,28--30,28--50,29--32,29--42,29--44,29--51,30--37,30--40,31--38,32--36,32--48,33--36,33--37,33--42,35--39,35--41,35--48,37--38,37--49,40--41,40--49,41--51,43--46,46--47,48--51
0--5,0--26,0--32,0--44,1--2,1--20,1--28,1--36,2--16,2--23,2--46,3--4,3--37,3--41,3--50,4--16,4--29,4--35,5--20,5--40,5--49,6--11,6--14,6--21,6--44,7--10,7--11,7--24,7--27,8--14,8--18,8--20,8--51,9--13,9--29,9--40,9--45,10--13,10--17,10--38,11--18,11--42,12--31,12--36,12--45,12--48,13--21,13--34,14--24,14--33,15--26,15--28,15--29,15--30,16--43,16--49,17--18,17--27,17--41,18--47,19--21,19--32,19--40,19--51,20--50,21--51,22--28,22--34,22--36,22--39,23--39,23--42,23--48,24--30,24--34,25--37,25--45,25--48,25--49,26--32,26--42,27--36,27--46,28--33,29--33,30--35,30--46,31--38,31--44,31--46,32--39,33--37,34--41,35--43,35--50,37--48,38--42,38--43,39--47,40--44,41--50,43--49,45--47,47--51
0--5,0--27,0--46,0--48,1--2,1--6,1--29,1--43,2--3,2--30,2--38,3--13,3--36,3--42,4--18,4--20,4--21,4--27,5--22,5--25,5--49,6--33,6--42,6--48,7--9,7--27,7--30,7--49,8--22,8--38,8--50,8--51,9--33,9--40,9--47,10--11,10--18,10--24,10--44,11--28,11--44,11--47,12--17,12--21,12--31,12--34,13--17,13--35,13--38,14--15,14--22,14--35,14--47,15--16,15--18,15--51,16--20,16--32,16--40,17--21,17--22,18--28,19--25,19--29,19--32,19--41,20--28,20--30,21--24,23--36,23--46,23--49,23--50,24--39,24--46,25--37,25--50,26--29,26--33,26--37,26--42,27--43,28--41,29--35,30--38,31--36,31--48,31--51,32--37,32--50,33--48,34--39,34--45,34--51,35--37,36--46,39--44,39--49,40--44,40--45,41--43,41--45,42--43,45--47
0--1,0--2,0--7,0--17,1--39,1--41,1--51,2--13,2--31,2--44,3--16,3--24,3--34,3--45,4--13,4--18,4--29,4--50,5--16,5--22,5--33,5--37,6--9,6--25,6--27,6--46,7--14,7--21,7--41,8--14,8--34,8--35,8--51,9--15,9--40,9--42,10--15,10--26,10--43,10--45,11--15,11--18,11--28,11--32,12--16,12--25,12--38,12--51,13--30,13--32,14--15,14--27,16--22,17--29,17--36,17--41,18--25,18--37,19--26,19--28,19--30,19--34,20--21,20--32,20--35,20--49,21--39,21--48,22--43,22--47,23--28,23--43,23--46,23--47,24--26,24--30,24--46,25--35,26--40,27--39,27--47,28--32,29--36,29--47,30--36,31--40,31--44,31--50,33--38,33--40,33--44,34--39,35--48,36--50,37--38,37--45,38--49,41--42,42--45,42--51,43--49,44--50,46--48,48--49
0--26,0--30,0--33,0--46,1--35,1--45,1--47,1--50,2--5,2--16,2--27,2--28,3--32,3--40,3--49,3--51,4--16,4--34,4--38,4--42,5--8,5--22,5--47,6--12,6--14,6--32,6--35,7--9,7--18,7--26,7--48,8--16,8--25,8--47,9--13,9--29,9--46,10--14,10--25,10--30,10--37,11--15,11--32,11--45,11--47,12--15,12--38,12--41,13--14,13--17,13--22,14--36,15--36,15--50,16--21,17--30,17--46,17--48,18--25,18--29,18--44,19--26,19--36,19--41,19--44,20--24,20--34,20--37,20--43,21--27,21--31,21--39,22--39,22--48,23--34,23--37,23--45,23--51,24--35,24--44,24--51,25--46,26--27,27--31,28--31,28--36,28--41,29--44,29--50,30--45,31--39,32--43,33--40,33--42,33--48,34--38,35--49,37--43,38--42,39--41,40--43,40--49,42--51,49--50
0--7,0--25,0--27,0--49,1--11,1--31,1--36,1--38,2--6,2--17,2--35,2--46,3--9,3--12,3--20,3--32,4--9,4--16,4--22,4--38,5--6,5--16,5--25,5--34,6--21,6--40,7--8,7--22,7--47,8--10,8--33,8--40,9--10,9--33,10--14,10--43,11--26,11--28,11--29,12--17,12--21,12--26,13--16,13--17,13--24,13--26,14--19,14--29,14--44,15--23,15--24,15--40,15--42,16--43,17--19,18--36,18--38,18--41,18--48,19--27,19--50,20--30,20--47,20--51,21--41,21--51,22--39,22--50,23--30,23--35,23--37,24--28,24--32,25--45,25--48,26--30,27--38,27--48,28--31,28--34,29--32,29--34,30--49,31--37,31--47,32--49,33--37,33--42,34--39,35--37,35--43,36--41,36--46,39--42,39--44,40--45,41--49,42--51,43--50,44--45,44--48,45--46,46--50,47--51
0--1,0--2,0--12,0--31,1--30,1--39,1--40,2--25,2--26,2--44,3--13,3--23,3--25,3--46,4--16,4--28,4--38,4--49,5--18,5--33,5--46,5--47,6--11,6--12,6--43,6--46,7--20,7--26,7--28,7--36,8--14,8--26,8--33,8--35,9--24,9--29,9--30,9--41,10--22,10--23,10--42,10--48,11--23,11--48,11--51,12--20,12--45,13--21,13--48,13--51,14--29,14--36,14--39,15--24,15--29,15--41,15--43,16--18,16--38,16--44,17--33,17--45,17--49,17--51,18--31,18--44,19--21,19--24,19--25,19--42,20--36,20--51,21--24,21--40,22--32,22--35,22--49,23--27,25--28,26--32,27--37,27--41,27--48,28--41,29--34,30--32,30--40,31--39,31--50,32--38,33--49,34--40,34--47,34--50,35--44,35--50,36--37,37--43,37--45,38--47,39--50,42--43,42--46,45--47
0--12,0--15,0--20,0--30,1--6,1--15,1--18,1--35,2--29,2--37,2--42,2--44,3--9,3--14,3--41,3--46,4--10,4--19,4--27,4--40,5--6,5--11,5--23,5--35,6--36,6--48,7--33,7--38,7--45,7--47,8--26,8--41,8--42,8--50,9--27,9--30,9--51,10--14,10--19,10--32,11--18,11--27,11--28,12--17,12--18,12--22,13--15,13--36,13--44,13--51,14--30,14--31,15--46,16--23,16--25,16--28,16--30,17--18,17--43,17--50,19--24,19--39,20--24,20--32,20--49,21--24,21--34,21--40,21--43,22--25,22--33,22--38,23--26,23--39,24--25,25--49,26--38,26--41,27--44,28--45,28--51,29--40,29--47,29--48,31--32,31--34,31--49,32--37,33--37,33--42,34--36,34--48,35--44,35--45,36--46,37--45,38--48,39--47,39--49,40--42,41--51,43--47,43--50,46--50
0--10,0--11,0--22,0--28,1--9,1--14,1--15,1--25,2--5,2--14,2--20,2--36,3--4,3--36,3--39,3--51,4--9,4--42,4--45,5--23,5--25,5--31,6--13,6--23,6--26,6--33,7--8,7--16,7--32,7--39,8--40,8--46,8--47,9--32,9--51,10--21,10--34,10--50,11--31,11--32,11--35,12--19,12--29,12--41,12--48,13--36,13--37,13--38,14--15,14--41,15--41,15--46,16--26,16--34,16--40,17--24,17--30,17--47,17--51,18--20,18--35,18--37,18--50,19--29,19--30,19--35,20--24,20--39,21--23,21--27,21--38,22--33,22--34,22--38,23--47,24--27,24--46,25--26,25--43,26--27,27--45,28--31,28--33,28--40,29--44,29--48,30--36,30--44,31--45,32--37,33--46,34--44,35--49,37--43,38--49,39--47,40--43,41--50,42--45,42--48,42--51,43--48,44--49,49--50
0--11,0--18,0--20,0--42,1--8,1--17,1--20,1--38,2--9,2--17,2--26,2--27,3--4,3--22,3--23,3--30,4--33,4--36,4--48,5--11,5--16,5--44,5--50,6--15,6--24,6--27,6--30,7--21,7--30,7--45,7--47,8--21,8--24,8--49,9--36,9--39,9--43,10--14,10--23,10--39,10--45,11--12,11--46,12--16,12--28,12--48,13--25,13--29,13--37,13--40,14--21,14--31,14--34,15--36,15--37,15--41,16--25,16--48,17--29,17--30,18--26,18--37,18--40,19--23,19--39,19--40,19--44,20--38,20--44,21--31,22--28,22--37,22--43,23--34,24--27,24--28,25--31,25--38,26--49,26--50,27--33,28--42,29--32,29--49,31--35,32--38,32--49,32--51,33--35,33--47,34--40,34--48,35--43,35--46,36--42,39--47,41--43,41--44,41--45,42--46,45--51,46--50,47--51,50--51
