0--3,0--10,0--15,0--22,1--9,1--11,1--21,1--34,2--26,2--27,2--29,2--32,3--4,3--8,3--37,4--19,4--24,4--35,5--9,5--13,5--39,5--40,6--8,6--22,6--33,6--49,7--14,7--17,7--21,7--33,8--17,8--42,9--20,9--37,10--17,10--31,10--32,11--30,11--40,11--46,12--22,12--29,12--35,12--48,13--23,13--33,13--45,14--42,14--45,14--50,15--23,15--43,15--45,16--19,16--23,16--34,16--36,17--52,18--24,18--31,18--38,18--50,19--25,19--44,20--25,20--26,20--27,21--39,21--51,22--40,23--36,24--29,24--52,25--41,25--51,26--31,26--50,27--44,27--48,28--30,28--37,28--41,28--48,29--44,30--33,30--47,31--53,32--35,32--41,34--40,34--42,35--49,36--42,36--46,37--53,38--39,38--43,38--46,39--52,41--53,43--47,43--48,44--51,45--47,46--52,47--50,49--51,49--53
0--14,0--22,0--29,0--40,1--24,1--41,1--52,1--53,2--7,2--10,2--18,2--23,3--33,3--34,3--47,3--52,4--11,4--14,4--19,4--22,5--35,5--37,5--41,5--50,6--8,6--17,6--28,6--42,7--19,7--32,7--38,8--47,8--48,8--49,9--13,9--32,9--46,9--53,10--16,10--30,10--32,11--36,11--46,11--49,12--17,12--35,12--41,12--43,13--29,13--31,13--37,14--25,14--51,15--26,15--30,15--34,15--48,16--45,16--47,16--50,17--39,17--51,18--27,18--28,18--53,19--31,19--36,20--21,20--27,20--34,20--46,21--25,21--30,21--44,22--24,22--27,23--35,23--40,23--47,24--28,24--51,25--28,25--45,26--27,26--33,26--44,29--44,29--45,30--39,31--33,31--38,32--50,33--40,34--42,35--37,36--42,36--43,37--42,38--50,38--51,39--49,39--53,40--48,41--48,43--45,43--49,44--52,46--52
0--19,0--30,0--34,0--39,1--17,1--28,1--43,1--50,2--4,2--16,2--49,2--50,3--25,3--35,3--36,3--45,4--29,4--46,4--52,5--18,5--26,5--35,5--43,6--27,6--28,6--37,6--51,7--10,7--30,7--34,7--35,8--25,8--31,8--34,8--38,9--14,9--23,9--41,9--51,10--12,10--26,10--53,11--30,11--39,11--40,11--44,12--14,12--23,12--34,13--17,13--27,13--38,13--53,14--32,14--33,15--22,15--31,15--40,15--48,16--43,16--46,16--47,17--44,17--52,18--20,18--23,18--27,19--25,19--36,19--41,20--28,20--31,20--33,21--22,21--46,21--48,21--52,22--47,22--53,23--24,24--32,24--38,24--49,25--26,26--40,27--42,28--40,29--31,29--50,29--53,30--47,32--44,32--49,33--42,33--45,35--43,36--39,36--44,37--38,37--42,37--51,39--48,41--45,41--52,42--49,45--48,46--51,47--50
0--23,0--30,0--45,0--52,1--7,1--18,1--30,1--41,2--27,2--37,2--38,2--40,3--23,3--42,3--44,3--51,4--12,4--25,4--33,4--45,5--6,5--7,5--22,5--41,6--11,6--27,6--49,7--9,7--30,8--19,8--20,8--33,8--47,9--22,9--29,9--32,10--17,10--24,10--34,10--49,11--16,11--34,11--40,12--22,12--35,12--48,13--23,13--25,13--43,13--45,14--22,14--24,14--31,14--39,15--16,15--28,15--31,15--40,16--33,16--36,17--21,17--52,17--53,18--32,18--44,18--50,19--26,19--28,19--49,20--25,20--30,20--35,21--23,21--35,21--47,24--42,24--46,25--41,26--31,26--34,26--37,27--44,27--52,28--47,28--50,29--35,29--38,29--43,31--51,32--46,32--48,33--51,34--40,36--41,36--47,36--53,37--46,37--48,38--45,38--50,39--42,39--51,39--52,42--43,43--53,44--49,46--48,50--53
0--22,0--32,0--35,0--42,1--6,1--8,1--11,1--16,2--20,2--34,2--37,2--44,3--10,3--13,3--21,3--44,4--19,4--27,4--30,4--32,5--28,5--29,5--36,5--49,6--28,6--33,6--34,7--13,7--20,7--38,7--46,8--26,8--31,8--40,9--22,9--27,9--44,9--48,10--29,10--38,10--48,11--15,11--47,11--50,12--17,12--25,12--27,12--30,13--32,13--53,14--25,14--29,14--38,14--49,15--19,15--39,15--44,16--17,16--34,16--41,17--45,17--48,18--24,18--39,18--45,18--46,19--46,19--53,20--26,20--35,21--39,21--42,21--48,22--33,22--37,23--33,23--36,23--41,23--42,24--31,24--40,24--52,25--30,25--47,26--39,26--47,27--43,28--34,28--36,29--52,30--45,31--49,31--50,32--49,33--38,35--51,35--53,36--51,37--43,37--51,40--47,40--51,41--45,41--50,42--52,43--46,43--53,50--52
0--13,0--26,0--36,0--43,1--6,1--42,1--48,1--50,2--3,2--14,2--17,2--32,3--7,3--28,3--48,4--12,4--15,4--24,4--44,5--9,5--18,5--21,5--45,6--11,6--21,6--40,7--31,7--35,7--51,8--11,8--15,8--20,8--30,9--26,9--27,9--38,10--11,10--14,10--16,10--20,11--23,12--14,12--26,12--47,13--34,13--36,13--39,14--49,15--38,15--46,16--19,16--37,16--38,17--19,17--28,17--38,18--22,18--29,18--40,19--22,19--45,20--51,20--52,21--41,21--42,22--47,22--52,23--25,23--44,23--53,24--37,24--41,24--45,25--35,25--42,25--49,26--40,27--30,27--44,27--46,28--34,28--39,29--39,29--40,29--43,30--31,30--51,31--37,31--47,32--33,32--44,32--50,33--41,33--46,33--50,34--41,34--50,35--37,35--39,36--47,36--48,42--53,43--49,43--53,45--48,46--52,49--52,51--53
0--28,0--34,0--41,0--43,1--38,1--39,1--41,1--51,2--10,2--24,2--27,2--51,3--14,3--16,3--22,3--30,4--8,4--26,4--33,4--38,5--22,5--37,5--39,5--43,6--10,6--15,6--17,6--32,7--11,7--34,7--46,7--53,8--20,8--32,8--42,9--23,9--31,9--33,9--48,10--15,10--26,11--12,11--20,11--49,12--31,12--42,12--52,13--16,13--27,13--35,13--40,14--35,14--47,14--52,15--19,15--32,16--41,16--50,17--18,17--26,17--39,18--29,18--40,18--46,19--23,19--28,19--51,20--27,20--49,21--36,21--44,21--47,21--50,22--31,22--44,23--35,23--41,24--25,24--33,24--49,25--40,25--48,25--53,26--47,27--43,28--34,28--39,29--36,29--50,29--52,30--37,30--38,30--45,31--42,32--36,33--35,34--40,36--44,37--50,37--52,38--49,42--45,43--46,44--48,45--46,45--51,47--53,48--53
0--10,0--20,0--30,0--31,1--15,1--24,1--34,1--51,2--18,2--25,2--40,2--47,3--14,3--36,3--51,3--52,4--11,4--28,4--39,4--49,5--10,5--18,5--48,5--49,6--8,6--19,6--33,6--49,7--9,7--19,7--21,7--46,8--9,8--13,8--27,9--27,9--32,10--20,10--48,11--15,11--38,11--50,12--23,12--36,12--39,12--53,13--26,13--37,13--43,14--41,14--44,14--47,15--46,15--52,16--33,16--41,16--46,16--48,17--19,17--28,17--41,17--53,18--24,18--25,19--44,20--37,20--38,21--24,21--32,21--48,22--25,22--32,22--41,22--43,23--26,23--35,23--37,24--32,25--28,26--29,26--42,27--39,27--44,28--34,29--31,29--35,29--36,30--42,30--43,30--49,31--33,31--34,33--35,34--37,35--51,36--43,38--47,38--50,39--44,40--45,40--50,40--53,42--47,42--51,45--50,45--52,45--53,46--52
0--28,0--32,0--43,0--50,1--31,1--43,1--45,1--51,2--20,2--21,2--33,2--39,3--4,3--35,3--39,3--42,4--6,4--9,4--18,5--28,5--30,5--38,5--52,6--14,6--30,6--52,7--11,7--13,7--22,7--53,8--13,8--22,8--40,8--45,9--18,9--25,9--27,10--18,10--20,10--43,10--47,11--17,11--22,11--37,12--14,12--28,12--33,12--47,13--41,13--48,14--29,14--44,15--36,15--37,15--45,15--49,16--23,16--31,16--40,16--41,17--48,17--50,17--51,18--50,19--23,19--24,19--25,19--27,20--29,20--34,21--27,21--38,21--49,22--40,23--42,23--50,24--32,24--48,24--53,25--38,25--47,26--30,26--37,26--41,26--49,27--36,28--51,29--38,29--46,30--35,31--39,31--53,32--47,32--53,33--36,33--44,34--40,34--42,34--44,35--46,35--52,36--37,39--51,41--42,43--49,44--46,45--48,46--52
0--25,0--28,0--44,0--48,1--8,1--12,1--17,1--33,2--22,2--29,2--37,2--52,3--27,3--32,3--33,3--43,4--15,4--19,4--28,4--44,5--8,5--11,5--27,5--46,6--26,6--28,6--39,6--49,7--34,7--44,7--50,7--52,8--18,8--30,9--14,9--15,9--39,9--42,10--19,10--23,10--31,10--49,11--16,11--25,11--27,12--13,12--31,12--49,13--21,13--22,13--47,14--41,14--42,14--51,15--17,15--24,16--23,16--35,16--46,17--30,17--48,18--30,18--36,18--50,19--23,19--26,20--33,20--47,20--50,20--52,21--34,21--37,21--53,22--36,22--40,23--38,24--26,24--45,24--48,25--40,25--48,26--44,27--42,28--34,29--38,29--40,29--51,30--36,31--38,31--42,32--35,32--38,32--50,33--39,34--35,35--39,36--43,37--52,37--53,40--45,41--43,41--45,41--53,43--46,45--53,46--51,47--49,47--51
