0--15,0--32,0--41,0--50,1--3,1--10,1--21,1--39,2--21,2--35,2--42,2--49,3--22,3--37,3--50,4--8,4--28,4--30,4--39,5--15,5--26,5--37,5--38,6--17,6--24,6--35,6--51,7--8,7--29,7--49,7--54,8--13,8--48,9--16,9--29,9--42,9--53,10--13,10--17,10--50,11--19,11--22,11--47,11--49,12--18,12--28,12--32,12--37,13--33,13--38,14--21,14--28,14--39,14--41,15--29,15--42,16--27,16--31,16--38,17--18,17--54,18--24,18--55,19--20,19--23,19--25,20--36,20--51,20--55,21--39,22--24,22--31,23--25,23--28,23--54,24--34,25--37,25--45,26--49,26--52,26--54,27--31,27--48,27--52,29--46,30--40,30--43,30--46,31--40,32--44,32--51,33--36,33--44,33--45,34--40,34--45,34--55,35--38,35--52,36--41,36--44,40--55,41--52,42--46,43--47,43--48,43--51,44--53,45--46,47--50,47--53,48--53
0--2,0--18,0--19,0--27,1--7,1--34,1--37,1--51,2--35,2--45,2--48,3--9,3--27,3--38,3--51,4--8,4--16,4--43,4--46,5--10,5--15,5--26,5--28,6--11,6--20,6--46,6--47,7--20,7--34,7--41,8--16,8--17,8--24,9--14,9--19,9--22,10--11,10--34,10--43,11--29,11--34,12--32,12--43,12--53,12--54,13--23,13--25,13--37,13--44,14--21,14--44,14--49,15--47,15--48,15--51,16--43,16--47,17--18,17--23,17--40,18--41,18--52,19--39,19--45,20--35,20--42,21--26,21--49,21--50,22--39,22--49,22--53,23--36,23--52,24--26,24--31,24--44,25--30,25--33,25--51,26--36,27--41,27--45,28--39,28--42,28--49,29--33,29--37,29--50,30--32,30--35,30--40,31--37,31--39,31--45,32--41,32--53,33--35,33--38,36--42,36--55,38--40,38--52,40--42,44--55,46--52,46--53,47--50,48--54,48--55,50--54,54--55
0--11,0--32,0--36,0--45,1--2,1--8,1--28,1--33,2--46,2--51,2--54,3--4,3--6,3--10,3--52,4--9,4--12,4--35,5--10,5--11,5--16,5--45,6--13,6--35,6--50,7--25,7--40,7--42,7--53,8--24,8--42,8--53,9--40,9--43,9--49,10--13,10--17,11--20,11--53,12--29,12--35,12--54,13--28,13--41,14--21,14--26,14--41,14--44,15--22,15--29,15--43,15--52,16--18,16--34,16--44,17--20,17--39,17--49,18--30,18--46,18--54,19--24,19--36,19--44,19--47,20--42,20--55,21--30,21--37,21--44,22--24,22--43,22--47,23--30,23--36,23--45,23--52,24--54,25--31,25--38,25--47,26--28,26--39,26--45,27--30,27--41,27--50,27--55,28--32,29--38,29--48,31--37,31--41,31--46,32--37,32--53,33--39,33--46,33--48,34--47,34--48,34--49,35--38,36--40,37--55,38--43,39--42,40--50,48--51,49--51,50--52,51--55
0--6,0--18,0--24,0--45,1--6,1--30,1--36,1--50,2--6,2--9,2--26,2--41,3--4,3--15,3--31,3--52,4--19,4--33,4--54,5--7,5--16,5--28,5--47,6--51,7--14,7--29,7--47,8--10,8--12,8--19,8--55,9--16,9--18,9--44,10--33,10--46,10--52,11--18,11--22,11--30,11--35,12--17,12--23,12--53,13--27,13--46,13--48,13--52,14--29,14--30,14--40,15--26,15--37,15--48,16--39,16--51,17--24,17--32,17--50,18--20,19--28,19--46,20--21,20--22,20--49,21--43,21--51,21--52,22--23,22--45,23--29,23--51,24--28,24--54,25--35,25--37,25--45,25--49,26--33,26--34,27--32,27--38,27--42,28--36,29--50,30--39,31--38,31--47,31--48,32--36,32--43,33--44,34--39,34--41,34--48,35--43,35--53,36--46,37--40,37--49,38--49,38--55,39--43,40--47,40--53,41--42,41--44,42--45,42--54,44--55,50--53,54--55
0--8,0--26,0--31,0--32,1--5,1--14,1--38,1--41,2--4,2--43,2--48,2--51,3--8,3--11,3--18,3--20,4--11,4--14,4--29,5--21,5--39,5--50,6--7,6--12,6--24,6--33,7--18,7--20,7--41,8--17,8--23,9--10,9--16,9--21,9--28,10--16,10--23,10--51,11--19,11--47,12--30,12--37,12--55,13--27,13--33,13--44,13--52,14--28,14--48,15--19,15--25,15--36,15--42,16--22,16--49,17--19,17--24,17--47,18--46,18--48,19--28,20--21,20--55,21--36,22--40,22--53,22--54,23--46,23--53,24--34,24--45,25--35,25--41,25--52,26--32,26--36,26--45,27--36,27--44,27--50,28--49,29--31,29--38,29--39,30--32,30--40,30--42,31--35,31--48,32--51,33--37,33--47,34--37,34--50,34--55,35--44,35--54,37--46,38--39,38--45,39--44,40--45,40--52,41--51,42--43,42--49,43--50,43--54,46--55,47--54,49--53,52--53
0--4,0--13,0--18,0--32,1--7,1--17,1--25,1--33,2--7,2--33,2--44,2--54,3--21,3--28,3--31,3--46,4--6,4--18,4--44,5--13,5--22,5--27,5--50,6--26,6--30,6--33,7--9,7--29,8--15,8--20,8--22,8--40,9--34,9--39,9--43,10--15,10--23,10--38,10--43,11--19,11--25,11--46,11--48,12--20,12--22,12--42,12--45,13--20,13--51,14--27,14--35,14--39,14--44,15--24,15--53,16--29,16--48,16--51,16--55,17--37,17--38,17--45,18--19,18--29,19--36,19--46,20--26,21--33,21--34,21--54,22--23,23--24,23--32,24--41,24--48,25--34,25--54,26--28,26--40,27--36,27--37,28--35,28--43,29--52,30--42,30--46,30--47,31--42,31--49,31--55,32--49,32--50,34--35,35--38,36--37,36--53,37--53,38--55,39--45,39--49,40--47,40--49,41--45,41--50,41--53,42--52,43--54,44--47,47--50,48--51,51--52,52--55
0--14,0--17,0--37,0--49,1--31,1--41,1--45,1--54,2--6,2--10,2--11,2--53,3--18,3--23,3--38,3--44,4--11,4--23,4--45,4--53,5--7,5--24,5--29,5--38,6--15,6--30,6--38,7--9,7--29,7--32,8--18,8--27,8--32,8--35,9--17,9--21,9--47,10--21,10--31,10--33,11--52,11--55,12--15,12--16,12--36,12--48,13--46,13--48,13--50,13--51,14--23,14--34,14--40,15--17,15--21,16--29,16--30,16--32,17--36,18--22,18--45,19--27,19--33,19--40,19--43,20--31,20--49,20--51,20--55,21--53,22--37,22--43,22--55,23--25,24--25,24--33,24--42,25--39,25--53,26--30,26--42,26--51,26--54,27--29,27--37,28--32,28--38,28--48,28--52,30--46,31--47,33--54,34--35,34--44,34--46,35--41,35--42,36--49,36--52,37--40,39--41,39--44,39--49,40--46,41--55,42--47,43--47,43--52,44--54,45--50,48--50,50--51
0--4,0--17,0--37,0--51,1--34,1--37,1--44,1--54,2--5,2--14,2--28,2--43,3--11,3--38,3--40,3--45,4--7,4--19,4--31,5--19,5--26,5--34,6--35,6--43,6--46,6--50,7--9,7--40,7--49,8--9,8--11,8--13,8--42,9--48,9--52,10--14,10--20,10--36,10--42,11--40,11--55,12--17,12--18,12--22,12--38,13--24,13--42,13--53,14--37,14--44,15--26,15--33,15--36,15--41,16--22,16--30,16--33,16--46,17--27,17--52,18--36,18--41,18--49,19--34,19--41,20--43,20--47,20--53,21--23,21--25,21--37,21--39,22--32,22--40,23--32,23--49,23--54,24--25,24--27,24--54,25--26,25--29,26--45,27--52,27--55,28--42,28--50,28--54,29--31,29--38,29--53,30--31,30--33,30--36,31--55,32--45,32--47,33--47,34--39,35--44,35--51,35--52,38--46,39--46,39--48,41--49,43--47,44--45,48--51,48--55,50--51,50--53
0--9,0--28,0--34,0--48,1--7,1--15,1--20,1--37,2--8,2--30,2--44,2--48,3--7,3--9,3--41,3--55,4--22,4--27,4--43,4--45,5--29,5--32,5--49,5--52,6--22,6--40,6--47,6--54,7--14,7--18,8--20,8--21,8--50,9--42,9--54,10--18,10--22,10--27,10--55,11--14,11--28,11--32,11--37,12--19,12--30,12--31,12--51,13--18,13--19,13--35,13--46,14--19,14--26,15--46,15--49,15--51,16--24,16--37,16--38,16--42,17--20,17--33,17--35,17--47,18--44,19--25,20--36,21--22,21--45,21--52,23--37,23--42,23--49,23--54,24--28,24--34,24--36,25--29,25--44,25--52,26--34,26--36,26--50,27--36,27--48,28--45,29--38,29--44,30--43,30--53,31--32,31--38,31--46,32--39,33--47,33--51,33--53,34--50,35--40,35--45,38--40,39--40,39--41,39--49,41--43,41--55,42--43,46--48,47--53,50--53,51--55,52--54
0--20,0--27,0--39,0--41,1--16,1--32,1--35,1--36,2--9,2--15,2--17,2--51,3--31,3--33,3--44,3--51,4--18,4--23,4--36,4--40,5--15,5--24,5--34,5--49,6--7,6--18,6--28,6--52,7--19,7--22,7--47,8--25,8--27,8--48,8--54,9--27,9--29,9--32,10--12,10--18,10--26,10--37,11--12,11--40,11--44,11--48,12--23,12--24,13--19,13--20,13--36,13--43,14--41,14--42,14--45,14--54,15--32,15--53,16--21,16--24,16--46,17--35,17--43,17--54,18--25,19--26,19--40,20--28,20--43,21--22,21--40,21--52,22--26,22--39,23--29,23--50,24--51,25--35,25--55,26--34,27--55,28--30,28--55,29--37,29--51,30--44,30--48,30--50,31--33,31--36,31--42,32--39,33--46,33--53,34--38,34--47,35--41,37--44,37--45,38--47,38--49,38--52,39--55,41--49,42--46,42--53,43--47,45--48,45--50,46--54,49--53,50--52
