0--1,0--30,0--31,0--57,1--11,1--19,1--33,2--8,2--11,2--31,2--42,3--12,3--42,3--44,3--54,4--6,4--22,4--30,4--45,5--16,5--38,5--40,5--48,6--24,6--49,6--51,7--18,7--25,7--40,7--50,8--10,8--38,8--39,9--26,9--37,9--51,9--53,10--33,10--35,10--50,11--17,11--46,12--15,12--20,12--29,13--17,13--43,13--48,13--56,14--20,14--26,14--44,14--52,15--23,15--28,15--32,16--29,16--36,16--45,17--44,17--57,18--20,18--25,18--46,19--49,19--53,19--54,20--23,21--23,21--24,21--33,21--35,22--28,22--34,22--43,23--55,24--27,24--47,25--28,25--55,26--52,26--56,27--37,27--39,27--47,28--48,29--44,29--50,30--33,30--35,31--36,31--52,32--36,32--45,32--55,34--43,34--54,34--57,35--53,36--40,37--50,37--57,38--39,38--40,39--49,41--43,41--48,41--51,41--53,42--46,42--52,45--56,46--56,47--49,47--51,54--55
0--12,0--16,0--24,0--55,1--17,1--20,1--25,1--52,2--10,2--16,2--34,2--43,3--5,3--16,3--19,3--54,4--23,4--30,4--50,4--56,5--15,5--35,5--57,6--23,6--44,6--54,6--55,7--13,7--14,7--27,7--34,8--19,8--39,8--48,8--49,9--14,9--18,9--29,9--47,10--21,10--22,10--49,11--17,11--21,11--43,11--48,12--14,12--27,12--56,13--28,13--40,13--52,14--50,15--35,15--37,15--41,16--50,17--33,17--46,18--24,18--33,18--35,19--25,19--54,20--29,20--44,20--57,21--39,21--53,22--26,22--47,22--48,23--47,23--49,24--45,24--56,25--34,25--39,26--38,26--52,26--55,27--31,27--37,28--30,28--32,28--42,29--31,29--45,30--31,30--37,31--53,32--41,32--42,32--43,33--50,33--51,34--42,35--40,36--38,36--42,36--52,36--57,37--47,38--49,38--54,39--51,40--45,40--48,41--46,41--53,43--44,44--53,45--46,46--51,51--57,55--56
0--17,0--20,0--21,0--35,1--2,1--17,1--45,1--57,2--9,2--40,2--44,3--12,3--27,3--32,3--37,4--7,4--13,4--18,4--24,5--18,5--24,5--27,5--36,6--7,6--24,6--44,6--46,7--27,7--36,8--19,8--26,8--49,8--51,9--10,9--33,9--38,10--28,10--29,10--55,11--14,11--25,11--53,11--55,12--16,12--36,12--50,13--23,13--38,13--56,14--16,14--18,14--47,15--43,15--46,15--47,15--51,16--43,16--54,17--31,17--54,18--33,19--21,19--32,19--51,20--22,20--34,20--49,21--25,21--31,22--35,22--41,22--57,23--37,23--39,23--42,24--50,25--49,25--52,26--33,26--37,26--40,27--44,28--31,28--41,28--55,29--42,29--52,29--53,30--39,30--48,30--51,30--55,31--33,32--46,32--48,34--43,34--45,34--52,35--44,35--56,36--47,37--42,38--39,38--56,39--41,40--52,40--54,41--48,42--43,45--50,45--57,46--54,47--48,49--57,50--53,53--56
0--37,0--40,0--41,0--51,1--7,1--9,1--22,1--54,2--8,2--37,2--40,2--57,3--18,3--24,3--42,3--51,4--20,4--33,4--38,4--53,5--7,5--14,5--36,5--54,6--14,6--28,6--30,6--31,7--18,7--47,8--20,8--35,8--47,9--25,9--45,9--48,10--21,10--25,10--28,10--34,11--12,11--33,11--45,11--51,12--17,12--18,12--50,13--15,13--35,13--44,13--55,14--38,14--49,15--24,15--40,15--55,16--32,16--38,16--43,16--54,17--29,17--46,17--49,18--34,19--25,19--39,19--46,19--56,20--26,20--36,21--43,21--44,21--52,22--27,22--37,22--55,23--28,23--30,23--34,23--50,24--47,24--56,25--32,26--33,26--34,26--42,27--28,27--39,27--49,29--31,29--42,29--43,30--32,30--53,31--42,31--47,32--48,33--46,35--36,35--57,36--57,37--39,38--44,39--50,40--56,41--48,41--52,41--53,43--55,44--46,45--51,45--52,48--54,49--53,50--56,52--57
0--9,0--18,0--32,0--36,1--10,1--15,1--20,1--34,2--27,2--47,2--53,2--57,3--14,3--24,3--42,3--48,4--22,4--26,4--39,4--40,5--8,5--33,5--48,5--50,6--11,6--20,6--26,6--56,7--14,7--29,7--34,7--36,8--40,8--46,8--51,9--31,9--38,9--49,10--41,10--45,10--55,11--21,11--23,11--42,12--28,12--31,12--38,12--57,13--27,13--29,13--30,13--56,14--51,14--52,15--31,15--41,15--45,16--18,16--19,16--28,16--53,17--20,17--25,17--26,17--41,18--42,18--50,19--25,19--50,19--52,20--54,21--27,21--37,21--49,22--33,22--40,22--43,23--31,23--33,23--36,24--35,24--43,24--49,25--48,25--57,26--28,27--41,28--54,29--38,29--54,30--34,30--35,30--46,32--36,32--43,32--48,33--45,34--53,35--43,35--47,37--39,37--49,37--56,38--44,39--52,39--56,40--54,42--51,44--45,44--46,44--47,46--55,47--52,50--55,51--55,53--57
0--16,0--17,0--34,0--49,1--7,1--21,1--26,1--50,2--16,2--18,2--47,2--53,3--22,3--23,3--33,3--49,4--7,4--41,4--47,4--55,5--7,5--11,5--45,5--51,6--26,6--29,6--41,6--55,7--38,8--11,8--39,8--42,8--52,9--12,9--36,9--38,9--51,10--20,10--25,10--32,10--47,11--17,11--25,12--14,12--25,12--27,13--22,13--28,13--31,13--45,14--19,14--37,14--51,15--19,15--27,15--29,15--43,16--40,16--48,17--21,17--34,18--23,18--30,18--33,19--33,19--46,20--32,20--35,20--44,21--30,21--52,22--33,22--37,23--48,23--53,24--39,24--41,24--42,24--49,25--29,26--30,26--39,27--45,27--55,28--31,28--36,28--37,29--31,30--57,31--56,32--52,32--54,34--43,34--56,35--43,35--44,35--57,36--49,36--55,37--40,38--42,38--56,39--54,40--52,40--53,41--54,42--46,43--44,44--54,45--53,46--50,46--57,47--48,48--56,50--51,50--57
0--9,0--19,0--20,0--39,1--5,1--36,1--41,1--53,2--22,2--24,2--45,2--51,3--4,3--16,3--46,3--56,4--6,4--21,4--25,5--13,5--18,5--31,6--28,6--41,6--43,7--12,7--18,7--40,7--53,8--24,8--28,8--36,8--51,9--10,9--25,9--54,10--13,10--22,10--24,11--23,11--33,11--34,11--50,12--28,12--31,12--35,13--51,13--52,14--30,14--35,14--47,14--55,15--23,15--33,15--37,15--43,16--19,16--34,16--49,17--26,17--37,17--50,17--53,18--42,18--57,19--47,19--54,20--22,20--35,20--45,21--26,21--40,21--50,22--50,23--44,23--52,24--30,25--29,25--38,26--38,26--52,27--42,27--43,27--47,27--51,28--49,29--37,29--54,29--55,30--39,30--43,31--55,31--57,32--34,32--45,32--54,32--57,33--46,33--56,34--47,35--38,36--40,36--57,37--40,38--56,39--44,39--48,41--46,41--53,42--48,42--56,44--45,44--49,46--48,48--49,52--55
0--1,0--12,0--26,0--38,1--9,1--48,1--50,2--19,2--27,2--42,2--43,3--21,3--27,3--29,3--48,4--17,4--24,4--40,4--46,5--7,5--33,5--49,5--53,6--13,6--21,6--29,6--39,7--19,7--23,7--46,8--15,8--30,8--45,8--56,9--17,9--23,9--52,10--18,10--23,10--30,10--38,11--15,11--28,11--34,11--44,12--17,12--41,12--52,13--24,13--27,13--33,14--19,14--32,14--33,14--45,15--42,15--57,16--26,16--34,16--36,16--52,17--28,18--44,18--47,18--55,19--22,20--37,20--40,20--41,20--48,21--35,21--53,22--38,22--47,22--54,23--56,24--56,24--57,25--29,25--35,25--46,25--53,26--39,26--48,27--31,28--36,28--39,29--31,30--32,30--54,31--49,31--55,32--34,32--54,33--42,34--55,35--43,35--51,36--45,36--55,37--41,37--46,37--57,38--42,39--56,40--49,40--51,41--44,43--44,43--54,45--51,47--50,47--53,49--57,50--51,50--52
0--14,0--27,0--52,0--57,1--24,1--49,1--52,1--55,2--7,2--39,2--41,2--49,3--11,3--14,3--25,3--48,4--19,4--20,4--28,4--43,5--9,5--25,5--49,5--54,6--17,6--44,6--48,6--53,7--30,7--35,7--55,8--17,8--19,8--21,8--37,9--11,9--35,9--43,10--25,10--33,10--41,10--51,11--26,11--53,12--27,12--41,12--48,12--55,13--18,13--21,13--26,13--46,14--50,14--54,15--23,15--29,15--31,15--33,16--25,16--30,16--36,16--57,17--34,17--39,18--30,18--37,18--42,19--37,19--56,20--32,20--39,20--42,21--26,21--30,22--27,22--34,22--38,22--51,23--38,23--48,23--51,24--31,24--40,24--44,26--45,27--42,28--32,28--35,28--42,29--33,29--46,29--52,31--47,31--56,32--54,32--55,33--36,34--35,34--38,36--46,36--52,37--53,38--50,39--50,40--46,40--47,40--57,41--45,43--53,43--56,44--49,44--57,45--47,45--54,47--50,51--56
0--1,0--24,0--41,0--50,1--2,1--21,1--29,2--15,2--16,2--49,3--17,3--22,3--33,3--45,4--6,4--29,4--53,4--56,5--25,5--30,5--36,5--49,6--37,6--38,6--54,7--10,7--26,7--34,7--41,8--26,8--31,8--34,8--35,9--11,9--13,9--20,9--42,10--31,10--42,10--50,11--13,11--16,11--37,12--13,12--22,12--53,12--54,13--15,14--16,14--22,14--30,14--35,15--21,15--23,16--53,17--39,17--45,17--51,18--19,18--48,18--54,18--56,19--26,19--31,19--42,20--23,20--46,20--56,21--41,21--43,22--37,23--32,23--50,24--27,24--48,24--57,25--40,25--44,25--52,26--39,27--33,27--41,27--47,28--38,28--49,28--51,28--53,29--32,29--57,30--52,30--55,31--43,32--33,32--34,33--46,34--57,35--39,35--51,36--40,36--44,36--46,37--40,38--49,38--55,39--54,40--44,42--45,43--47,43--51,44--56,45--55,46--47,47--48,48--55,50--52,52--57
