0--13,0--41,0--52,0--56,1--3,1--24,1--37,1--57,2--6,2--38,2--49,2--53,3--23,3--29,3--46,4--7,4--18,4--24,4--54,5--10,5--25,5--47,5--52,6--8,6--34,6--53,7--11,7--28,7--51,8--10,8--14,8--28,9--12,9--13,9--35,9--41,10--26,10--58,11--26,11--29,11--54,12--26,12--42,12--59,13--38,13--43,14--16,14--35,14--42,15--26,15--37,15--39,15--56,16--33,16--41,16--47,17--20,17--21,17--32,17--59,18--21,18--31,18--40,19--27,19--31,19--46,19--48,20--27,20--34,20--44,21--33,21--51,22--32,22--39,22--52,22--54,23--30,23--40,23--55,24--25,24--39,25--36,25--44,27--40,27--58,28--30,28--34,29--45,29--50,30--36,30--47,31--46,31--55,32--50,32--54,33--53,33--56,34--51,35--49,35--59,36--40,36--57,37--38,37--43,38--44,39--47,41--56,42--43,42--48,43--53,44--45,45--50,45--59,46--58,48--49,48--55,49--50,51--55,52--57,57--58
0--9,0--21,0--32,0--59,1--25,1--27,1--30,1--47,2--19,2--27,2--49,2--56,3--13,3--31,3--39,3--52,4--5,4--30,4--45,4--57,5--25,5--26,5--51,6--28,6--31,6--34,6--54,7--22,7--50,7--53,7--55,8--11,8--14,8--56,8--57,9--13,9--25,9--42,10--18,10--24,10--49,10--54,11--23,11--32,11--51,12--16,12--20,12--44,12--52,13--16,13--57,14--24,14--29,14--48,15--26,15--34,15--37,15--44,16--18,16--29,17--20,17--34,17--40,17--48,18--35,18--43,19--38,19--40,19--55,20--29,20--39,21--31,21--44,21--58,22--35,22--56,22--59,23--30,23--41,23--50,24--41,24--54,25--57,26--27,26--34,27--52,28--35,28--46,28--47,29--50,30--43,31--55,32--47,32--51,33--38,33--43,33--53,33--59,35--53,36--37,36--46,36--53,36--55,37--43,37--46,38--49,38--54,39--42,39--59,40--50,40--58,41--45,41--48,42--47,42--52,44--58,45--46,45--56,48--51,49--58
0--11,0--13,0--26,0--52,1--30,1--32,1--48,1--49,2--12,2--17,2--25,2--35,3--16,3--33,3--39,3--42,4--36,4--42,4--53,4--59,5--8,5--16,5--23,5--31,6--17,6--43,6--49,6--54,7--11,7--42,7--56,7--57,8--22,8--40,8--51,9--14,9--17,9--21,9--38,10--13,10--21,10--44,10--47,11--22,11--51,12--16,12--20,12--32,13--16,13--33,14--21,14--23,14--50,15--30,15--34,15--58,15--59,17--41,18--19,18--32,18--54,18--57,19--38,19--52,19--58,20--27,20--43,20--57,21--56,22--25,22--39,23--28,23--48,24--40,24--44,24--45,24--46,25--35,25--40,26--45,26--47,26--49,27--30,27--47,27--52,28--31,28--32,28--39,29--35,29--37,29--53,29--59,30--55,31--34,31--39,33--41,33--54,34--43,34--52,35--56,36--45,36--47,36--50,37--46,37--53,37--55,38--42,38--53,40--48,41--54,41--58,43--50,44--48,44--51,45--55,46--51,46--55,49--57,50--59,56--58
0--7,0--25,0--39,0--41,1--34,1--38,1--52,1--59,2--9,2--33,2--43,2--53,3--20,3--43,3--47,3--59,4--12,4--17,4--19,4--51,5--33,5--49,5--53,5--58,6--22,6--28,6--45,6--54,7--16,7--34,7--53,8--15,8--24,8--35,8--45,9--26,9--56,9--58,10--18,10--40,10--41,10--52,11--12,11--39,11--42,11--55,12--13,12--31,13--16,13--45,13--56,14--18,14--19,14--42,14--56,15--18,15--46,15--54,16--18,16--22,17--31,17--42,17--50,19--28,19--31,20--52,20--53,20--55,21--29,21--30,21--37,21--40,22--36,22--57,23--28,23--43,23--45,23--50,24--37,24--48,24--57,25--27,25--41,25--49,26--48,26--50,26--56,27--35,27--36,27--49,28--36,29--37,29--38,29--55,30--33,30--36,30--40,31--44,32--37,32--39,32--46,32--47,33--39,34--51,34--59,35--40,35--50,38--55,38--58,41--46,42--57,43--46,44--47,44--57,44--58,47--59,48--51,48--54,49--52,51--54
0--10,0--18,0--22,0--46,1--13,1--14,1--40,1--52,2--3,2--30,2--50,2--58,3--32,3--43,3--47,4--12,4--29,4--39,4--58,5--28,5--33,5--36,5--56,6--16,6--31,6--34,6--54,7--9,7--25,7--33,7--55,8--14,8--37,8--53,8--56,9--13,9--44,9--49,10--11,10--34,10--56,11--21,11--24,11--48,12--29,12--41,12--43,13--23,13--43,14--25,14--28,15--33,15--36,15--38,15--42,16--27,16--30,16--38,17--20,17--25,17--49,17--55,18--28,18--50,18--51,19--27,19--41,19--47,19--54,20--34,20--38,20--49,21--35,21--39,21--46,22--44,22--49,22--58,23--26,23--36,23--50,24--35,24--41,24--54,25--31,26--28,26--37,26--40,27--31,27--58,29--44,29--52,30--31,30--33,32--45,32--51,32--54,34--59,35--51,35--59,36--42,37--40,37--52,38--48,39--40,39--53,41--48,42--46,42--52,43--47,44--57,45--51,45--53,45--56,46--47,48--57,50--55,53--59,55--57,57--59
0--1,0--36,0--40,0--53,1--12,1--14,1--55,2--24,2--28,2--35,2--56,3--16,3--25,3--36,3--54,4--32,4--44,4--55,4--58,5--17,5--24,5--35,5--38,6--17,6--48,6--49,6--50,7--13,7--21,7--29,7--33,8--26,8--27,8--44,8--50,9--11,9--13,9--18,9--31,10--20,10--41,10--45,10--54,11--12,11--21,11--48,12--37,12--51,13--46,13--57,14--19,14--33,14--59,15--29,15--30,15--45,15--56,16--38,16--43,16--51,17--18,17--20,18--52,18--53,19--35,19--42,19--57,20--41,20--46,21--43,21--47,22--24,22--25,22--45,22--59,23--27,23--33,23--34,23--57,24--58,25--31,25--49,26--34,26--46,26--54,27--55,27--56,28--38,28--40,28--41,29--38,29--54,30--34,30--40,30--42,31--52,31--59,32--41,32--51,32--52,33--46,34--47,35--43,36--50,36--53,37--39,37--47,37--56,39--40,39--51,39--58,42--43,42--44,44--53,45--48,47--50,48--58,49--55,49--57,52--59
0--1,0--5,0--19,0--38,1--39,1--51,1--54,2--6,2--15,2--42,2--46,3--8,3--17,3--54,3--57,4--23,4--25,4--29,4--47,5--10,5--14,5--24,6--25,6--27,6--59,7--8,7--23,7--37,7--44,8--22,8--42,9--15,9--21,9--25,9--49,10--17,10--24,10--50,11--14,11--26,11--48,11--53,12--30,12--41,12--47,12--51,13--17,13--35,13--42,13--46,14--40,14--49,15--48,15--55,16--28,16--51,16--55,16--56,17--35,18--29,18--31,18--36,18--38,19--28,19--31,19--55,20--32,20--35,20--37,20--43,21--31,21--32,21--47,22--23,22--45,22--58,23--50,24--28,24--41,25--56,26--41,26--43,26--45,27--30,27--43,27--58,28--39,29--33,29--37,30--40,30--48,31--56,32--36,32--38,33--44,33--54,33--55,34--44,34--50,34--53,34--59,35--45,36--52,36--57,37--42,38--46,39--41,39--46,40--44,40--59,43--52,45--53,47--58,48--53,49--52,49--57,50--51,52--54,56--58,57--59
0--6,0--14,0--37,0--46,1--19,1--23,1--57,1--58,2--11,2--16,2--27,2--55,3--15,3--35,3--56,3--58,4--11,4--25,4--41,4--54,5--14,5--21,5--52,5--53,6--40,6--45,6--53,7--29,7--30,7--43,7--54,8--22,8--27,8--29,8--50,9--12,9--38,9--39,9--42,10--22,10--28,10--32,10--56,11--14,11--34,12--26,12--28,12--44,13--18,13--44,13--46,13--51,14--25,15--44,15--57,15--59,16--35,16--51,16--52,17--24,17--48,17--49,17--54,18--45,18--55,18--58,19--34,19--42,19--52,20--23,20--53,20--56,20--58,21--24,21--36,21--43,22--38,22--52,23--33,23--54,24--32,24--37,25--48,25--59,26--34,26--36,26--45,27--37,27--47,28--36,28--38,29--38,29--42,30--35,30--49,30--56,31--32,31--40,31--47,31--55,32--50,33--41,33--51,33--55,34--48,35--40,36--44,37--59,39--41,39--45,39--49,40--47,41--46,42--48,43--49,43--57,46--50,47--51,50--57,53--59
0--26,0--31,0--46,0--58,1--6,1--21,1--43,1--52,2--13,2--18,2--28,2--55,3--4,3--18,3--33,3--56,4--12,4--15,4--29,5--11,5--23,5--28,5--54,6--25,6--26,6--28,7--13,7--14,7--34,7--42,8--22,8--27,8--46,8--56,9--23,9--28,9--31,9--35,10--12,10--20,10--40,10--59,11--44,11--45,11--48,12--19,12--39,13--27,13--55,14--24,14--33,14--49,15--25,15--32,15--44,16--24,16--29,16--37,16--48,17--23,17--52,17--53,17--58,18--37,18--41,19--21,19--22,19--31,20--30,20--47,20--57,21--35,21--41,22--53,22--55,23--25,24--36,24--55,25--34,26--29,26--37,27--40,27--57,29--36,30--34,30--45,30--51,31--32,32--38,32--42,33--54,33--59,34--43,35--37,35--39,36--40,36--41,38--39,38--44,38--51,39--42,40--58,41--46,42--44,43--45,43--51,45--49,46--47,47--50,47--58,48--49,48--56,49--50,50--52,50--54,51--54,52--53,53--59,56--57,57--59
0--18,0--22,0--52,0--56,1--10,1--11,1--16,1--53,2--7,2--28,2--34,2--39,3--13,3--43,3--49,3--54,4--13,4--19,4--45,4--59,5--8,5--22,5--40,5--55,6--15,6--17,6--54,6--55,7--37,7--41,7--42,8--27,8--38,8--50,9--12,9--20,9--26,9--31,10--31,10--48,10--59,11--12,11--19,11--33,12--45,12--58,13--21,13--36,14--17,14--40,14--42,14--59,15--29,15--31,15--52,16--25,16--44,16--56,17--19,17--56,18--36,18--46,18--50,19--36,20--24,20--30,20--43,21--25,21--37,21--50,22--30,22--58,23--32,23--51,23--54,23--55,24--38,24--41,24--43,25--35,25--42,26--29,26--44,26--46,27--43,27--57,27--59,28--29,28--42,28--47,29--47,30--32,30--39,31--49,32--36,32--49,33--34,33--37,33--56,34--35,34--39,35--46,35--47,37--57,38--54,38--57,39--55,40--50,40--58,41--52,41--57,44--46,44--51,45--48,45--53,47--48,48--49,51--52,51--53,53--58
